Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,Instrument,st_dev,no_days
10/09/1997,933.75,934.25,914.5,915.25,13764,2325,Future,CME,USD,0.25,12.5,50,46700,ES1 Index,20.1053,1
11/09/1997,916,917.5,900.5,908.5,928,2549,Future,CME,USD,0.25,12.5,50,45762.5,ES1 Index,20.1107,2
12/09/1997,908,926.25,904,924,1136,2163,Future,CME,USD,0.25,12.5,50,45425,ES1 Index,17.759,3
15/09/1997,924.75,930,919.5,921.75,354,2107,Future,CME,USD,0.25,12.5,50,46200,ES1 Index,16.2404,4
16/09/1997,922.5,949.25,921,946.25,699,2264,Future,CME,USD,0.25,12.5,50,46087.5,ES1 Index,13.5255,5
17/09/1997,944.25,952.5,942.25,945.75,687,2290,Future,CME,USD,0.25,12.5,50,47312.5,ES1 Index,13.0921,6
18/09/1997,946.25,959.75,945.25,948,687,2547,Future,CME,USD,0.25,12.5,50,47287.5,ES1 Index,12.4413,7
19/09/1997,957.75,963.25,953,961,22081,5836,Future,CME,USD,0.25,12.5,50,47400,ES1 Index,11.6056,8
22/09/1997,960.25,972,960.25,966.25,10148,5993,Future,CME,USD,0.25,12.5,50,48050,ES1 Index,11.654,9
23/09/1997,965.25,967.25,956.5,962,24778,5679,Future,CME,USD,0.25,12.5,50,48312.5,ES1 Index,12.4983,10
24/09/1997,961.5,970.5,952,954.5,28694,6194,Future,CME,USD,0.25,12.5,50,48100,ES1 Index,12.4923,11
25/09/1997,953.75,957.5,945.5,946.5,12049,6132,Future,CME,USD,0.25,12.5,50,47725,ES1 Index,12.3585,12
26/09/1997,946.25,956.5,946.25,953.25,23201,5666,Future,CME,USD,0.25,12.5,50,47325,ES1 Index,11.1504,13
29/09/1997,953.25,964.5,950.25,961.75,26391,5722,Future,CME,USD,0.25,12.5,50,47662.5,ES1 Index,10.9696,14
30/09/1997,961,965.25,952.75,954.5,29254,5864,Future,CME,USD,0.25,12.5,50,48087.5,ES1 Index,12.4114,15
01/10/1997,955.5,966.5,954.5,963.5,23665,5725,Future,CME,USD,0.25,12.5,50,47725,ES1 Index,25.0853,16
02/10/1997,963.25,969.5,961,969,22923,5132,Future,CME,USD,0.25,12.5,50,48175,ES1 Index,26.7762,17
03/10/1997,969.25,985.5,961.75,975.5,8704,6276,Future,CME,USD,0.25,12.5,50,48450,ES1 Index,28,18
06/10/1997,976.75,981,976.5,980.25,20863,6372,Future,CME,USD,0.25,12.5,50,48775,ES1 Index,19.3043,19
07/10/1997,981.5,992.25,977.5,989.5,16119,7345,Future,CME,USD,0.25,12.5,50,49012.5,ES1 Index,20.1053,20
08/10/1997,989.5,991.75,974.75,982.25,25479,7885,Future,CME,USD,0.25,12.5,50,49475,ES1 Index,20.1107,21
09/10/1997,982.25,983.25,969.25,978,6506,8003,Future,CME,USD,0.25,12.5,50,49112.5,ES1 Index,17.759,22
10/10/1997,978.75,981,964,976.75,3805,8061,Future,CME,USD,0.25,12.5,50,48900,ES1 Index,16.2404,23
13/10/1997,976.75,981.75,974,976.25,11923,8576,Future,CME,USD,0.25,12.5,50,48837.5,ES1 Index,13.5255,24
14/10/1997,976.25,981.5,968.5,977.5,9715,9618,Future,CME,USD,0.25,12.5,50,48812.5,ES1 Index,13.0921,25
15/10/1997,975.75,976.75,968,973.5,12998,10107,Future,CME,USD,0.25,12.5,50,48875,ES1 Index,12.4413,26
16/10/1997,973.5,981.25,955.25,959.75,13452,11013,Future,CME,USD,0.25,12.5,50,48675,ES1 Index,11.6056,27
17/10/1997,959,960,935.5,948.75,11527,11763,Future,CME,USD,0.25,12.5,50,47987.5,ES1 Index,11.654,28
20/10/1997,948.5,963,945,962.25,10576,11917,Future,CME,USD,0.25,12.5,50,47437.5,ES1 Index,12.4983,29
21/10/1997,963.5,963.5,962,979.5,10172,12755,Future,CME,USD,0.25,12.5,50,48112.5,ES1 Index,12.4923,30
22/10/1997,979,980.5,970.5,974.25,23820,12717,Future,CME,USD,0.25,12.5,50,48975,ES1 Index,12.3585,31
23/10/1997,973,974.25,947.5,955.5,14850,13601,Future,CME,USD,0.25,12.5,50,48712.5,ES1 Index,11.1504,32
24/10/1997,956,969,941.5,944,14950,13590,Future,CME,USD,0.25,12.5,50,47775,ES1 Index,10.9696,33
27/10/1997,942.5,944,874,874,32252,14940,Future,CME,USD,0.25,12.5,50,47200,ES1 Index,12.4114,34
