INSTRUMENT,INSTRUMENT_WEIGHTS,CURRENCY,EXCHANGE,SECTYPE,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,EXCHANGE_RATE,STANDARD_COST
AD1_small,0.5,USD,CME,Future,0.005,5,1000,68285,0.6485,0.002
RX1_small,0.5,EUR,EUX,Future,0.01,10,1000,164470,1.1308,0.002
