Date,AD1_small_alpha_forecast,AD1_small_one_perc_change,AD1_small_block_value,AD1_small_price_volatility,AD1_small_cash_vol_daily,AD1_small_std_dev,AD1_small_icv,AD1_small_ivv,AD1_small_vol_scalar,AD1_small_alpha_subsystem_position,AD1_small_alpha_trades_needed,AD1_small_alpha_target_pos,AD1_small_execution_price,AD1_small_daily_instrument_pnls,AD1_small_daily_current_pnls,AD1_small_alpha_current_pos,RX1_small_alpha_forecast,RX1_small_one_perc_change,RX1_small_block_value,RX1_small_price_volatility,RX1_small_cash_vol_daily,RX1_small_std_dev,RX1_small_icv,RX1_small_ivv,RX1_small_vol_scalar,RX1_small_alpha_subsystem_position,RX1_small_alpha_trades_needed,RX1_small_alpha_target_pos,RX1_small_execution_price,RX1_small_daily_instrument_pnls,RX1_small_daily_current_pnls,RX1_small_alpha_current_pos,AUM,NAV
2017-01-03,,0.6754000000000001,675.4000000000001,0.83,125000.0,0.5590872024883597,560.582,363.537427,343.8435514921549,,0.0,0.0,67.54,0.0,0.0,0.0,,1.6321,1632.1000000000001,0.77,125000.0,1.257936405,1256.717,1421.0955836,87.96030431911053,,0.0,0.0,163.21,0.0,0.0,0.0,10000000.0,10000000.0
2017-01-04,,0.68585,685.8499999999999,0.86,125000.0,0.5896780901358368,589.8309999999999,382.50540349999994,326.79276908567914,,0.0,0.0,68.585,0.0,0.0,0.0,,1.6319,1631.8999999999999,0.75,125000.0,1.225921694,1223.925,1384.01439,90.31698001348093,,0.0,0.0,163.19,0.0,-0.0,0.0,10000000.0,10000000.0
2017-01-05,7.507527484143097,0.67755,677.55,0.85,120613.5625,0.5772185461211865,575.9174999999999,373.48249874999993,334.6877040245785,251.26771365692736,180.0,180.0,68.43254999999999,-121958.99999999937,-0.0,0.0,-20.0,1.6354,1635.3999999999999,0.69,120613.5625,1.135498129,1128.426,1276.0241208,97.96053065331678,-195.92106130663356,-140.0,-140.0,161.9046,-228956.00000000058,0.0,0.0,9649085.0,9649085.0
2017-01-06,7.4713651056318655,0.6900000000000001,690.0000000000001,0.92,124400.7275,0.6339311871064877,634.8000000000002,411.6678000000001,292.98760432562364,218.901736334114,-23.0,157.0,68.31,-15869.999999999947,224100.00000000081,180.0,-20.0,1.6284,1628.4,0.66,124400.7275,1.075610214,1074.7440000000001,1215.3205152000003,99.24424132686605,-198.4884826537321,-2.0,-142.0,161.2116,-3256.7999999999984,97999.99999999841,-140.0,9952058.2,9952058.2
2017-01-09,7.162771244289432,0.6951999999999999,695.1999999999999,1.04,124900.90625,0.7222159187663528,723.0079999999999,468.8706879999999,265.3199073515127,190.04258029149514,-21.0,136.0,68.8248,-14599.199999999997,81639.99999999937,157.0,-20.0,1.6295,1629.5,0.65,124900.90625,1.055782174,1059.175,1197.71509,103.86504147660025,-207.7300829532005,-7.0,-149.0,161.32049999999998,-11406.500000000051,-15619.9999999979,-142.0,9992072.5,9992072.5
2017-01-10,7.277473605030577,0.6911,691.1,1.09,123718.635,0.7499626657282047,753.2990000000001,488.5144015,255.67497266505868,186.06678650368787,-3.0,133.0,68.4189,-2073.3000000000175,-55759.999999999534,136.0,-20.0,1.6312,1631.2,0.62,123718.635,1.004879761,1011.344,1143.6277952,109.21464726043762,-218.42929452087523,-7.0,-156.0,161.4888,-11418.400000000049,-25330.000000002372,-149.0,9897490.799999999,9897490.799999999
2017-01-11,7.4253566147448575,0.69285,692.8499999999999,1.15,123173.86875000001,0.7965732860108475,796.7774999999998,516.7102087499999,239.43524417544234,177.7892074141171,-6.0,127.0,68.59214999999999,-4157.100000000042,23274.99999999962,133.0,-20.0,1.6348,1634.8,0.6,123173.86875000001,0.978354401,980.8799999999999,1109.1791039999998,111.54071921643416,-223.0814384328683,-4.0,-160.0,161.84519999999998,-6539.200000000051,-56159.99999999769,-156.0,9853909.5,9853909.5
2017-01-12,7.77287671007817,0.6988,698.8,1.27,123023.68875,0.8876954244856439,887.476,575.528186,214.01882956606406,166.35419758522485,-8.0,119.0,69.18119999999999,-5590.400000000045,75564.99999999985,127.0,-20.0,1.6388999999999998,1638.8999999999999,0.56,123023.68875,0.910149621,917.784,1037.8301472,118.68403426352116,-237.3680685270423,-10.0,-170.0,162.25109999999998,-16389.000000000065,-65599.99999999945,-160.0,9841895.1,9841895.1
2017-01-13,7.852872328588133,0.6988,698.8,1.38,123769.54624999997,0.9648293458704054,964.3439999999998,625.3770839999999,196.71921453073267,154.48108762899832,-8.0,111.0,69.18119999999999,-5590.400000000045,0.0,119.0,-20.0,1.6341,1634.1000000000001,0.53,123769.54624999997,0.872885445,866.0730000000001,979.3553484000001,125.61700811762267,-251.23401623524532,-10.0,-180.0,161.7759,-16340.999999999894,81599.99999999825,-170.0,9901563.699999997,9901563.699999997
2017-01-16,8.074123288872375,0.6993,699.3000000000001,1.46,122857.66749999997,1.0242032675789208,1020.9780000000001,662.104233,186.9336277902938,150.93251576150115,-3.0,108.0,69.23070000000001,-2097.8999999999814,5550.000000001262,111.0,-20.0,1.6358000000000001,1635.8000000000002,0.46,122857.66749999997,0.754192062,752.4680000000001,850.8908144000001,145.45878760869599,-290.91757521739197,-28.0,-208.0,161.94420000000002,-45802.399999999696,-30600.000000002867,-180.0,9828613.399999997,9828613.399999997
