Speed (fast/slow),Status,Scalar,Turnover,Max Payable,Std Cost,Gross SR,Net SR,Avg|Forecast|
2/8,Expensive_discard,10.6,66.29460677358645,0.0019609438282662157,0.002,-0.9174514170181939,-0.9192863198522303,8.041472188050179
4/16,Good_trade,7.5,36.06820012203222,0.003604282985016201,0.002,-0.9540313765362883,-0.9559394392893609,7.44906780754212
8/32,Good_trade,5.3,19.30998968328609,0.006732266672960602,0.002,-1.032824299638494,-1.034889948237771,6.897095464559931
16/64,Good_trade,3.75,12.762885851746379,0.0101857841173289,0.002,-1.116442242197931,-1.118675126682327,6.138261881715954
32/128,Good_trade,2.65,10.916239820348652,0.011908862588166183,0.002,-1.084570583374507,-1.086739724541256,5.0307064689865895
64/256,Good_trade,1.87,9.796485251860753,0.013270065401803947,0.002,-0.9069195078871991,-0.9087333469029735,3.5751253410078627
