Date,PX_CLOSE_1D,ema_fast,ema_slow,raw_cross,std_dev,vol_adj_crossover,forecast_uncapped,capped_forecast,daily_return,forecast*returns,cumulative_performance,forecast_scalar,turnover,signal_sharpe,net_sharpe,max_payable_cost,standard_cost,status
02/01/2017,164.47,164.47,164.47,0.0,0.0,,,,,,0.0,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
03/01/2017,163.21,164.43123076923078,164.46019455252917,-0.02896378329839422,0.2929440496344225,-0.0988713828956054,-0.1848894860147821,-0.1848894860147821,-0.007660971605763955,2.2656636972604793e-05,2.2656636972604793e-05,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
04/01/2017,163.19,164.39303905325445,164.45030977001923,-0.05727071676477635,0.2849545989237074,-0.20098190020828471,-0.37583615338949244,-0.37583615338949244,-0.00012254151093693544,-0.0008060705538716981,-0.0007834139168990933,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
05/01/2017,163.54,164.3667916977697,164.44322564729535,-0.07643394952563654,0.2888452929535199,-0.26461898943922224,-0.4948375102513456,-0.4948375102513456,0.00214473926098413,0.002118052202372132,0.0013346382854730388,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
06/01/2017,162.84,164.31981349168447,164.43074918311407,-0.11093569142960291,0.32466640318237733,-0.34169131866498104,-0.6389627659035145,-0.6389627659035145,-0.0042802983979454146,-0.0004316255480802511,0.0009030127373927878,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
09/01/2017,162.95,164.27766538424802,164.41922584316765,-0.14156045891962776,0.3168036977431601,-0.4468396673652276,-0.8355901779729757,-0.8355901779729757,0.0006755097027757451,-0.0008717418242124434,3.12709131803444e-05,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
10/01/2017,163.12,164.24204491088653,164.40911513621694,-0.16707022533040572,0.3106471188929823,-0.5378135355826728,-1.0057113115395981,-1.0057113115395981,0.001043264805155042,-0.002219568858228447,-0.0021882979450481028,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
11/01/2017,163.48,164.21859737516695,164.40188466823082,-0.18328729306387004,0.3135135298894224,-0.5846232318219768,-1.0932454435070968,-1.0932454435070968,0.002206964198136152,-0.0027418071436132786,-0.004930105088661381,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
12/01/2017,163.89,164.20848668670027,164.39790112995667,-0.18941444325639623,0.3194748930553282,-0.5928930484800021,-1.108710000657604,-1.108710000657604,0.0025079520430633107,0.003247182868482795,-0.0016829222201785858,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
13/01/2017,163.41,164.18391786557103,164.39021318342003,-0.20629531784899768,0.3301534145950673,-0.6248468400728752,-1.1684635909362766,-1.1684635909362766,-0.002928793703093513,-0.0012155854015004535,-0.0028985076216790392,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
