INSTRUMENT,INSTRUMENT_WEIGHTS,CURRENCY,EXCHANGE,SECTYPE,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,EXCHANGE_RATE,STANDARD_COST
ADAUSDT_daily,0.5,USDT,BINANCE,CRYPTO,1,1,1,0.17509,1,0.002
AVAXUSDT_daily,0.5,USDT,BINANCE,CRYPTO,1,1,1,3.6497,1,0.0006
