Date,capped_forecast,forecast*returns
02/01/2017,,
03/01/2017,-0.514078352815559,-0.007953981028905176
04/01/2017,-0.1569759196909648,0.0018996867149303808
05/01/2017,-0.3064999911783122,-0.005631945819747655
06/01/2017,-0.028094794575022616,-0.00021172888665234354
09/01/2017,0.30389898735508286,-0.0017922696319848008
10/01/2017,0.503382941626647,0.001274663793729689
11/01/2017,0.7503483021845612,0.006443779170091841
12/01/2017,1.1046448335541161,0.0
13/01/2017,1.4876353136838207,0.0010644213749887296
16/01/2017,1.8761438983474654,0.0029511773032778296
17/01/2017,2.284900993946188,-0.014517146520646276
18/01/2017,2.4747841194145663,-0.009778944361506217
19/01/2017,2.6179122951116156,0.01963811877464056
20/01/2017,2.8175177596386143,0.0199695202036235
23/01/2017,3.1463522896893994,0.013420141990571727
24/01/2017,3.610697432121476,0.026581194375354143
25/01/2017,4.084177492658352,0.005739832046459463
26/01/2017,4.720061426269106,-0.0013248365521767358
27/01/2017,5.343806500878155,-0.0405089564185338
30/01/2017,5.506475508567491,-0.003894529675766913
31/01/2017,5.9053907162947175,0.05809677327234599
01/02/2017,6.00792140730241,-0.04294981662074953
02/02/2017,6.15359980895117,-0.12771130480245949
03/02/2017,4.697128022832285,-0.0318288663600227
06/02/2017,4.458736865546487,0.03980437178561618
07/02/2017,4.3061363055676525,-0.010532237564873344
08/02/2017,4.265335578124883,0.008612489809439367
09/02/2017,4.263432932128151,-0.016262104742913962
10/02/2017,4.175874008332913,0.02956477769228636
13/02/2017,4.132309788141006,0.015414641964370784
14/02/2017,4.230540709113161,-0.05381905704846633
15/02/2017,3.7926387322863166,-0.002470953278599232
16/02/2017,3.6977792047326696,0.0
17/02/2017,3.6073782211292085,-0.009407143495882508
20/02/2017,3.462170811921012,-0.013075232930488515
21/02/2017,3.241320561343016,-0.02717444518148571
22/02/2017,2.7878006751960513,0.003279283252693479
23/02/2017,2.49156604313808,-0.029273796952716487
24/02/2017,1.8425659596361144,0.0026013340194001038
27/02/2017,1.4152529757184131,-0.00021002492776128862
28/02/2017,0.9974188868407909,0.00244265849838564
01/03/2017,0.6309450521339013,-0.0021953225829355345
02/03/2017,0.21077646983142279,0.0012839811697627432
03/03/2017,-0.07926197076009896,0.0005794089275086663
06/03/2017,-0.4791307371964534,0.009658169427271596
07/03/2017,-1.008127999700249,-0.004438732557702453
08/03/2017,-1.5362955500154023,0.0006966800166346687
09/03/2017,-2.0683587646625345,0.0012511811052780901
10/03/2017,-2.598739786595088,-0.03499853839857182
13/03/2017,-2.663050864978432,-0.004373805078725221
14/03/2017,-2.903643790963474,0.026619079249348147
15/03/2017,-3.162913953710896,-0.011896020587148008
16/03/2017,-3.4460759711636193,-0.0325393864183615
17/03/2017,-3.4427217318181706,-0.0017890907292307163
20/03/2017,-3.571925837038201,0.02729898057542
21/03/2017,-3.7157188102532226,-0.035284603626600235
22/03/2017,-3.6396228360545764,0.028036499144483605
23/03/2017,-3.7387366875228403,0.01674436077117049
24/03/2017,-3.972121261765492,-0.0002978271921543011
27/03/2017,-4.236424581045088,-0.03398541236855808
28/03/2017,-4.218157703629272,0.014431777937295285
29/03/2017,-4.368429206199484,-0.01858351106450963
30/03/2017,-4.425258050813527,0.017758913105226568
31/03/2017,-4.553126907629021,-0.06998538598504553
03/04/2017,-3.92330444214282,0.02537116335306989
04/04/2017,-3.8573527242981047,0.010556364704069593
05/04/2017,-3.9039092274938643,0.0251902471847486
06/04/2017,-3.986201874077113,0.00803429759630383
07/04/2017,-4.175114299594457,0.01623950509229679
10/04/2017,-4.399767886754817,-0.007598908267279829
11/04/2017,-4.617236260698557,-0.032189128354195344
12/04/2017,-4.580462817091293,-0.06103646573805829
13/04/2017,-4.016119796013826,0.049272113277572575
14/04/2017,-3.7953823586533395,0.0025406055208530716
17/04/2017,-3.880053719000069,-0.015016581824054723
18/04/2017,-3.8719381225400857,0.007176635013604794
19/04/2017,-3.9184360964420053,-0.015425767890620369
20/04/2017,-3.87080026604497,0.0332208368497495
21/04/2017,-3.8466445906420677,-0.004018882408132755
24/04/2017,-3.9588613109653226,0.04397423105217147
25/04/2017,-3.986107173799865,0.015325402628254995
26/04/2017,-4.302476042757117,-0.024419986620764812
27/04/2017,-4.467605849149451,0.010758024469318773
28/04/2017,-4.730524330879296,-0.010704965672956843
01/05/2017,-4.948542234174787,-0.023090962483543028
02/05/2017,-5.023760789600719,-0.017311633554694915
03/05/2017,-5.061150402374059,-0.006801097965116386
04/05/2017,-5.105725960131987,-0.04529794894920592
05/05/2017,-4.720150083357999,-0.02197527750898225
08/05/2017,-4.451816585515073,0.015063152845434533
09/05/2017,-4.290863457739705,-0.004116999405905819
10/05/2017,-4.149131736199133,0.04436101620327987
11/05/2017,-3.895040984450029,0.03454646173880541
12/05/2017,-3.9336458970991215,-0.0354968798053767
15/05/2017,-3.8017558562981644,0.023799932324418672
16/05/2017,-3.882856935751182,-0.0005823994203915417
17/05/2017,-4.050045149879982,0.028547108884877756
18/05/2017,-4.210315948955735,-0.023846374880809845
19/05/2017,-4.299654492289394,-0.0
22/05/2017,-4.472268846423968,0.027538187685421878
23/05/2017,-4.639172387409081,0.05327950154032286
24/05/2017,-4.720200587231008,0.023451275561417014
25/05/2017,-5.181974718680006,-0.0
26/05/2017,-5.703674223841935,-0.014020400611686535
29/05/2017,-6.146001866626657,0.008477243953968093
30/05/2017,-6.620672692818806,0.018797183059722496
31/05/2017,-7.109511139937975,-0.08698824711428597
01/06/2017,-6.667613859504788,-0.0390304293128987
02/06/2017,-6.6518967845803525,-0.004524757846061055
05/06/2017,-6.768423891171336,-0.05776675979625127
06/06/2017,-6.392578212673624,0.018192014684459825
07/06/2017,-6.369358598280187,-0.05644643744626816
08/06/2017,-5.882249152774014,-0.021456875492139392
09/06/2017,-5.614746057001931,-0.010411559963287947
12/06/2017,-5.358599688390757,-0.008331279592523031
13/06/2017,-5.083190389733147,-0.04246012078946259
14/06/2017,-4.406012049812291,-0.05555560974765189
15/06/2017,-3.3517351080735693,-0.0
16/06/2017,-2.780203581318154,0.00462931168973541
19/06/2017,-2.2506719522657326,0.030030720755395004
20/06/2017,-1.7801904707808862,-0.004186836326987101
21/06/2017,-1.5219742593418635,0.010043824852674098
22/06/2017,-1.3604049059204681,0.016467847990179692
23/06/2017,-1.3453109728319372,-0.001005163607913784
26/06/2017,-1.4276754252258226,-0.0015988600401961731
27/06/2017,-1.4883337560957213,0.018203202028466016
28/06/2017,-1.6261176515081819,-0.002700988171625664
29/06/2017,-1.8499558861628163,-0.012410196266563102
30/06/2017,-1.9065618079320377,-0.0
03/07/2017,-2.0076464168378667,-0.002856040874507069
04/07/2017,-2.0790123555030564,0.005440406163933066
05/07/2017,-2.1909465995914985,0.00969009365636436
06/07/2017,-2.3629645409652067,-0.024553053734899508
07/07/2017,-2.201573906802442,0.0059063015608380835
10/07/2017,-2.2399902492416492,-0.000836878969304626
11/07/2017,-2.281220012355287,-0.038679186047554145
12/07/2017,-1.6759592698358803,-0.024250016610919415
13/07/2017,-1.0726920048286928,0.008077032182318521
14/07/2017,-0.7468649419790604,0.0019069355828179673
17/07/2017,-0.49590133560097044,0.0006891044669361496
18/07/2017,-0.27549069927645103,0.001513241720062532
19/07/2017,-0.15031444225363952,-8.85570025796585e-05
20/07/2017,-0.022269432066877842,0.0001655415204794755
21/07/2017,-0.025395740594872197,-4.142861434726058e-05
24/07/2017,-0.0010815485223470854,-6.885784196168826e-06
25/07/2017,0.13203929128857916,-0.00011655667908364727
26/07/2017,0.24633488813967166,-0.0027568033424554272
27/07/2017,0.14207161281400305,-0.0011107609341377848
28/07/2017,-0.07545674031544844,-0.0007531517044618927
31/07/2017,-0.10731288847448432,0.0017542603257829398
01/08/2017,-0.368071434954103,0.0035311279830163344
02/08/2017,-0.7507095941344293,-0.0001717739899627294
03/08/2017,-1.135069821526203,-0.004327702537464472
04/08/2017,-1.444541889649769,-0.0002194685338271637
07/08/2017,-1.7522611192526676,0.009582470043004047
08/08/2017,-2.110941852749311,-0.0
09/08/2017,-2.486687597710902,0.0005697313878977704
10/08/2017,-2.8587982574225395,0.01965410153296401
11/08/2017,-3.257576947075782,0.007015779902939801
14/08/2017,-3.745517587574878,0.01010507327257511
15/08/2017,-4.261288884117239,0.024043444778215513
16/08/2017,-4.792648047039838,0.02272456516668781
17/08/2017,-5.402803819722374,-0.008017281519425113
18/08/2017,-6.028560785550348,-0.009402730695704216
21/08/2017,-6.610814486556032,-0.007206369447307786
22/08/2017,-7.165571996347739,-0.05294620359749879
23/08/2017,-7.290839846416467,0.055165403408649
24/08/2017,-7.521415926787037,0.003510852307509477
25/08/2017,-8.033103420679474,-0.005627173940388151
28/08/2017,-8.521048453170923,-0.0682638244284524
29/08/2017,-8.435955407085869,-0.007811069821376401
30/08/2017,-8.715556743873192,0.01074999290024405
31/08/2017,-9.0122643073564,-0.0
01/09/2017,-9.31641117810147,0.033796798809105015
04/09/2017,-9.585118749384838,0.10246699104617862
05/09/2017,-9.273543238412131,0.00580912582470451
06/09/2017,-9.825537746489019,0.001539690942017411
07/09/2017,-10.375134616158377,0.010569449887160125
08/09/2017,-10.928968713225348,-0.09430393461364799
11/09/2017,-10.5968196907386,0.005768995009736377
12/09/2017,-10.94539999629099,-0.022144611306792267
13/09/2017,-11.20719809492862,-0.03394274487087145
14/09/2017,-11.339730324940472,0.007901639278760171
15/09/2017,-11.579831616009557,-0.0008971745266941558
18/09/2017,-11.822906143399647,-0.04030119850554616
19/09/2017,-11.829571360415763,-0.026486841372146627
20/09/2017,-11.864216024902383,0.09688058690699203
21/09/2017,-11.293058268988492,-0.04122514474892973
22/09/2017,-11.330312904107867,0.03858023276433597
25/09/2017,-11.462691551397599,0.04806533186639713
26/09/2017,-11.60927423976477,0.07423272673586437
27/09/2017,-11.597618616314948,-0.12469578954913955
28/09/2017,-10.558481368505486,-0.02541446714990913
29/09/2017,-10.657318947406223,0.11969877981207526
02/10/2017,-9.893574772171325,0.09455668799098275
03/10/2017,-9.750702764408516,-0.026221932610130977
04/10/2017,-10.163841005341572,-0.07937368932151435
05/10/2017,-9.997557823594084,-0.037561269218262305
06/10/2017,-10.097706712362957,-0.025197022363974038
