,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,exchange_rate,point_value,stdev_lookback,stdev_decay,returns,sqreturns,price_diff,distance,net_exp_ret,variance,stdev,stdev_yearly,raw_carry,forecast_scalar,forecast,capped_forecast,forecast*returns,cum_series_carry,1%_move,block_value,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed
0,02/01/2017,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.0,0.0,-3.219999999999999,0.08333333333333333,-38.639999999999986,,,,,30.0,,,,,1.6447,1644.7,1265.908764,1431.4896303312,125000.0,87.32162451716754,,,,
1,03/01/2017,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-1.259999999999991,1.587599999999977,-3.25,0.08333333333333333,-39.0,1.587599999999977,1.259999999999991,20.159999999999854,-1.9345238095238235,30.0,-58.035714285714704,-20.0,775.1999999999975,775.1999999999975,1.6321,1632.1000000000001,1257.936405,1422.4744867739998,125000.0,87.87503829575523,-175.75007659151046,-176.0,,
2,04/01/2017,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.020000000000010232,0.00040000000000040925,-3.2299999999999898,0.08333333333333333,-38.75999999999988,1.5018054054053835,1.225481703415185,19.60770725464296,-1.9767736990678395,30.0,-59.30321097203519,-20.0,780.0,1555.1999999999975,1.6319,1631.8999999999999,1225.921694,1386.2722515752,125000.0,90.16987814476154,-180.33975628952308,-180.0,-175.75007659151046,-5.0
3,05/01/2017,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.3499999999999943,0.12249999999999601,-3.25,0.08333333333333333,-39.0,1.427248356464552,1.1946750003513724,19.11480000562196,-2.040303847726866,30.0,-61.20911543180598,-20.0,772.7999999999997,2327.9999999999973,1.6354,1635.3999999999999,1135.4981289999998,1284.0212842731999,125000.0,97.35041118944869,-194.70082237889739,-195.0,-180.33975628952308,-14.0
4,06/01/2017,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.6999999999999886,0.48999999999998406,-3.219999999999999,0.08333333333333333,-38.639999999999986,1.3765862831421427,1.173280138390718,18.77248221425149,-2.058331954133678,30.0,-61.74995862401035,-20.0,765.5999999999995,3093.5999999999967,1.6284,1628.4,1075.6102139999998,1216.3000299911998,125000.0,102.77069548448864,-205.54139096897728,-206.0,-194.70082237889739,-11.0
5,09/01/2017,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.10999999999998522,0.012099999999996749,-3.1899999999999977,0.08333333333333333,-38.27999999999997,1.3028302678371617,1.141415904846766,18.262654477548256,-2.096080832447476,30.0,-62.88242497342428,-20.0,765.5999999999995,3859.199999999996,1.6295,1629.5,1055.782174,1193.8784823592,125000.0,104.70077302422767,-209.40154604845534,-209.0,-205.54139096897728,-4.0
6,10/01/2017,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.17000000000001592,0.02890000000000541,-3.1899999999999977,0.08333333333333333,-38.27999999999997,1.2339691722783965,1.110841650406752,17.77346640650803,-2.153772321306054,30.0,-64.61316963918162,-20.0,760.799999999997,4619.999999999993,1.6312,1631.2,1004.879761,1136.3180337388,125000.0,110.00441451123986,-220.00882902247972,-220.0,-209.40154604845534,-11.0
7,11/01/2017,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.3599999999999852,0.12959999999998936,-3.1699999999999875,0.08333333333333333,-38.03999999999985,1.1742735413444285,1.0836390272338978,17.338224435742365,-2.19399628497029,30.0,-65.8198885491087,-20.0,755.9999999999945,5375.999999999987,1.6348,1634.8,978.354401,1106.3231566508,125000.0,112.9868784256633,-225.9737568513266,-226.0,-220.00882902247972,-6.0
8,12/01/2017,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.4099999999999966,0.1680999999999972,-3.1499999999999773,0.08333333333333333,-37.79999999999973,1.1198857823528376,1.0582465602839621,16.931944964543394,-2.2324665051271673,30.0,-66.97399515381503,-20.0,753.5999999999967,6129.599999999984,1.6388999999999998,1638.8999999999999,910.1496209999999,1029.1971914268,125000.0,121.4538875943779,-242.9077751887558,-243.0,-225.9737568513266,-17.0
9,13/01/2017,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,-0.47999999999998977,0.23039999999999017,-3.1399999999999864,0.08333333333333333,-37.679999999999836,1.0718054697932242,1.0352803822120964,16.564486115393542,-2.2747460885601174,30.0,-68.24238265680353,-20.0,756.0000000000014,6885.599999999986,1.6341,1634.1000000000001,872.885445,987.0588612060001,125000.0,126.63885094681541,-253.27770189363082,-253.0,-242.9077751887558,-10.0
