Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,normalised_price_chapter17,capped_forecast,forecast*returns,cum_series
2021-01-01,0.18134,0.18473,0.17,0.17509,462201570.9,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.17509,0.17509,0.17509,0.055388912190836595,1,0.002,0.5,1,0.0,0.0,,0.0
2021-01-02,0.17505,0.18457,0.16793,0.17742,660303281.2,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.17742,0.17742,0.17742,0.047461529936858995,2,0.002,0.5,1,0.0,0.0,0.0,0.0
2021-01-03,0.1774,0.2096,0.17255,0.20615,1201451449.3,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.20615,0.20615,0.20615,0.04078738007547244,3,0.0,0.5,1,132.61000877382915,17.59742826694054,0.0,0.0
2021-01-04,0.20625,0.23992,0.19203,0.22528,1463415575.6,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.22528,0.22528,0.22528,0.034831951439054126,4,0.0,0.5,1,231.33131404636623,19.87119575918794,1.6329798823505826,1.6329798823505826
2021-01-05,0.22518,0.26429,0.20696,0.25873,1478887679.33,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.25873,0.25873,0.25873,0.031179753092266935,5,0.0,0.5,1,379.4738837954626,20.0,2.9505126870775764,4.583492569428159
2021-01-06,0.25889,0.34772,0.25347,0.33309,2059110042.76,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.33309,0.33309,0.33309,0.03131343483319299,6,0.0,0.5,1,572.5540488143374,20.0,5.748077146059596,10.331569715487756
2021-01-07,0.33311,0.3553,0.2785,0.29928,1411321698.55,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.29928,0.29928,0.29928,0.03078532639184818,7,0.0,0.5,1,475.5026134009884,20.0,-2.0300819598306763,8.30148775565708
2021-01-08,0.29917,0.32165,0.26175,0.30389,1284205249.4,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.30389,0.30389,0.30389,0.030209505388030872,8,0.0,0.5,1,489.3833635087339,20.0,0.3080727078321299,8.60956046348921
2021-01-09,0.30392,0.33851,0.29583,0.33062,820267450.7,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.33062,0.33062,0.33062,0.030366692799495634,9,0.0,0.5,1,567.1267935824159,20.0,1.759189180295504,10.368749643784714
2021-01-10,0.33062,0.3412,0.27948,0.30153,908667596.0,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.30153,0.30153,0.30153,0.03004703948548172,10,0.0,0.5,1,474.72852312069426,20.0,-1.759724154618596,8.609025489166118
