Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,AssetClass,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret,capped_forecast,forecast*returns
1997-09-10,933.75,934.25,914.5,915.25,13764,2325.0,Future,CME,USD,0.25,12.5,50,46700.0,ES1 Index,20.5476980398497,1,0.001,,1,equity,,,,,,,,,,,,,,
1997-09-11,916.0,917.5,900.5,908.5,928,2549.0,Future,CME,USD,0.25,12.5,50,45762.5,ES1 Index,17.84419041534104,2,0.001,,1,equity,-4.71111111111111,,-2.1176470588234984,,-0.8565656565657702,,-0.3257918552036345,,-0.11952078928813904,,-0.04298593235558201,,-2.1176470588234984,
1997-09-12,908.0,926.25,904.0,924.0,1136,2163.0,Future,CME,USD,0.25,12.5,50,45425.0,ES1 Index,16.193499954903988,3,0.001,,1,equity,5.032520177133133,-0.0803766892924842,1.5535445970198398,-0.03612936644112723,0.44710406532375246,-0.014613943507726341,0.13058569563536238,-0.005558364067866058,0.0401177305397723,-0.0020391549080529966,0.012973272533487998,-0.0007333868481139442,1.5535445970198398,-0.03612936644112723
1997-09-15,924.75,930.0,919.5,921.75,354,2107.0,Future,CME,USD,0.25,12.5,50,46200.0,ES1 Index,13.450267802068854,4,0.001,,1,equity,5.411898946725704,-0.012254513418343776,2.745505323092457,-0.0037829819732626306,1.1019237077031243,-0.0010887274317948614,0.4051191046814684,-0.00031798464846273587,0.14449913280023174,-9.768927891178407e-05,0.05106259314023905,-3.159076103933794e-05,2.745505323092457,-0.0037829819732626306
1997-09-16,922.5,949.25,921.0,946.25,699,2264.0,Future,CME,USD,0.25,12.5,50,46087.5,ES1 Index,13.022349210007006,5,0.001,,1,equity,16.427442870635733,0.14384759880095438,8.286373522350067,0.07297518895119628,3.554003146079747,0.029288994671794452,1.3864958139542822,0.010768015258688333,0.5140909747834322,0.003840768921731138,0.1857465665518251,0.0013572373549616016,8.286373522350067,0.07297518895119628
1997-09-17,944.25,952.5,942.25,945.75,687,2290.0,Future,CME,USD,0.25,12.5,50,47312.5,ES1 Index,12.191853136202818,6,0.001,,1,equity,17.34235873084296,-0.008680286853704056,11.310171551419234,-0.004378532904808274,5.561968086015871,-0.0018779408962111349,2.3352248075938267,-0.0007326265859731647,0.8998853372723129,-0.0002716464860150103,0.3316440518350795,-9.81487802123202e-05,11.310171551419234,-0.004378532904808274
1997-09-18,946.25,959.75,945.25,948.0,687,2547.0,Future,CME,USD,0.25,12.5,50,47287.5,ES1 Index,11.4647916408639,7,0.001,,1,equity,16.510504872455968,0.041258585402481125,13.1298466190643,0.026907624626691183,7.285439540487432,0.01323227934817411,3.2713811610341805,0.005555649819810829,1.3063021963254522,0.002140885021266399,0.4903346671178742,0.0007890025023832157,13.1298466190643,0.026907624626691183
1997-09-19,957.75,963.25,953.0,961.0,22081,5836.0,Future,CME,USD,0.25,12.5,50,47400.0,ES1 Index,12.168303032231416,8,0.001,,1,equity,20.0,0.22640987694296158,15.96938412655623,0.18005063929096612,9.315827504678015,0.09990581648347743,4.351622050868592,0.04486071212388644,1.7790925829124191,0.017913426742859576,0.6763802071681544,0.006723998599717684,15.96938412655623,0.18005063929096612
1997-09-22,960.25,972.0,960.25,966.25,10148,5993.0,Future,CME,USD,0.25,12.5,50,48050.0,ES1 Index,12.222034405122647,9,0.001,,1,equity,20.0,0.10926118626430892,18.52461965806819,0.08724169267889792,11.557755155635961,0.05089291820973984,5.643359802262592,0.02377316937259136,2.3666375875662577,0.009719288304152213,0.9120863445926338,0.0036951051900445783,18.52461965806819,0.08724169267889792
1997-09-23,965.25,967.25,956.5,962.0,24778,5679.0,Future,CME,USD,0.25,12.5,50,48312.5,ES1 Index,12.449760883351674,10,0.001,,1,equity,16.519462047316242,-0.08796895213454059,18.205178813711445,-0.08147956900055851,12.767758133310862,-0.05083618050344398,6.640747925557829,-0.02482202241616142,2.88010677897765,-0.010409531433021037,1.1294766134912895,-0.004011763999501875,18.205178813711445,-0.08147956900055851
