Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd
02/01/2017,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,
03/01/2017,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,
04/01/2017,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,
05/01/2017,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,
06/01/2017,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,
09/01/2017,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,
10/01/2017,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,
11/01/2017,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,
12/01/2017,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,
13/01/2017,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,
16/01/2017,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.754192062,11,0.002,,1.1308,
17/01/2017,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.688355044,12,0.002,,1.1308,
18/01/2017,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.661785967,13,0.002,,1.1308,
19/01/2017,163,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292,14,0.002,,1.1308,
20/01/2017,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.539440142,15,0.002,,1.1308,
23/01/2017,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454,16,0.002,,1.1308,
24/01/2017,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.551983393,17,0.002,,1.1308,
25/01/2017,162.44,162.49,161.52,161.76,1048098,1741948,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161760,161.76,158.64,0.647763589,18,0.002,,1.1308,
26/01/2017,161.6,161.88,161.31,161.43,875402,1719559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161430,161.43,158.32,0.757355707,19,0.002,,1.1308,
27/01/2017,161.54,161.93,161.49,161.85,699866,1720039,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.74,0.812758062,20,0.002,,1.1308,
30/01/2017,161.93,162.22,161.35,162.07,814240,1708279,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162070,162.07,158.96,0.842975484,21,0.002,,1.1308,
31/01/2017,162.07,162.29,161.49,162.13,1001325,1717559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162130,162.13,159.01,0.846005319,22,0.002,,1.1308,
01/02/2017,161.9,162.02,161.51,161.61,737846,1700070,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161610,161.61,158.48,0.875672503,23,0.002,,1.1308,
02/02/2017,161.94,162.56,161.63,162.37,856473,1691350,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162370,162.37,159.24,0.82122226,24,0.002,,1.1308,
03/02/2017,162.15,162.68,162.01,162.49,657266,1685955,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162490,162.49,159.36,0.785932143,25,0.002,,1.1308,
06/02/2017,162.5,163.48,162.44,163.19,938640,1713899,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,160.05,0.716438413,26,0.002,,1.1308,
07/02/2017,163.49,163.74,162.97,163.38,965267,1705739,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163380,163.38,160.2,0.721030975,27,0.002,,1.1308,
08/02/2017,163.53,164.41,163.44,164.22,993921,1701976,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164220,164.22,161.02,0.770075105,28,0.002,,1.1308,
09/02/2017,164.21,164.46,163.97,164.23,771865,1715433,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164230,164.23,161.01,0.80645996,29,0.002,,1.1308,
10/02/2017,163.96,164.17,163.76,163.91,639537,1730715,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163910,163.91,160.7,0.831093657,30,0.002,,1.1308,
13/02/2017,163.93,164.03,163.68,163.76,512868,1743253,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163760,163.76,160.56,0.846974419,31,0.002,,1.1308,
