Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,gbpusd,assetClass
16/04/1990,158.96,159,158.7,158.82,6497,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99263,161.38,158.82,2.2704660314570067,11,0.003,,1.33,,fx
17/04/1990,158.1,159.46,158,159.46,13046,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99663,161.98,159.46,2.2954441835950097,12,0.003,,1.33,,fx
18/04/1990,159.2,159.8,159.2,159.8,10354,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99875,162.3,159.8,2.3588805254470895,13,0.003,,1.33,,fx
19/04/1990,160.6,160.8,160,160.46,13031,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,100288,162.96,160.46,2.4150533465468023,14,0.003,,1.33,,fx
20/04/1990,160.1,160.14,159.4,159.92,7231,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99950,162.42,159.92,2.449451094973512,15,0.003,,1.33,,fx
23/04/1990,159.6,159.64,159.38,159.42,5261,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99638,161.92,159.42,2.441464860829857,16,0.003,,1.33,,fx
24/04/1990,159.26,159.8,159.1,159.42,6821,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99638,161.92,159.42,2.3869347149290947,17,0.003,,1.33,,fx
25/04/1990,158.92,159.8,158.7,159.72,13108,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99825,162.18,159.72,2.3275572316630573,18,0.003,,1.33,,fx
26/04/1990,159.4,159.6,159.26,159.4,8746,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99625,161.86,159.4,2.266378314992229,19,0.003,,1.33,,fx
27/04/1990,159.8,159.98,159.2,159.58,10548,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99738,162.04,159.58,2.087603729957797,20,0.003,,1.33,,fx
30/04/1990,159.74,160.4,159.5,160.34,10548,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,100213,162.8,160.34,1.8911382815649405,21,0.003,,1.33,,fx
01/05/1990,160.06,160.7,159.86,160.6,17414,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,100375,163.12,160.6,1.7205142642052516,22,0.003,,1.33,,fx
02/05/1990,160.36,160.6,160.2,160.44,7747,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,100275,162.94,160.44,1.5566738044091772,23,0.003,,1.33,,fx
03/05/1990,160.5,160.74,160.44,160.54,8567,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,100338,163.02,160.54,1.3316320813199165,24,0.003,,1.33,,fx
04/05/1990,161,163,161,162.82,18885,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,101763,165.36,162.82,0.7946001090695407,25,0.003,,1.33,,fx
07/05/1990,162.9,163.5,162.8,163.1,9125,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,101938,165.64,163.1,1.0105193384261988,26,0.003,,1.33,,fx
08/05/1990,163.5,163.5,163,163.28,10040,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102050,165.84,163.28,1.1837803850376933,27,0.003,,1.33,,fx
09/05/1990,164,164.44,163.7,164.02,12073,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102513,166.62,164.02,1.402368472739362,28,0.003,,1.33,,fx
10/05/1990,163.6,164.1,163.32,164.02,8373,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102513,166.62,164.02,1.5727419792621244,29,0.003,,1.33,,fx
11/05/1990,164,164.9,163.8,163.98,11850,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102488,166.68,163.98,1.7038337164563195,30,0.003,,1.33,,fx
14/05/1990,164.4,164.58,164.2,164.42,7513,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102763,167.12,164.42,1.8147995297920296,31,0.003,,1.33,,fx
15/05/1990,165.06,165.14,163.4,163.62,13447,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102263,166.3,163.62,1.8778622597695294,32,0.003,,1.33,,fx
16/05/1990,164,164.62,164,164.42,21966,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102763,167.08,164.42,1.9742215343437883,33,0.003,,1.33,,fx
17/05/1990,165.88,166.14,165.4,165.76,21966,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103600,168.28,165.76,2.1457797339584435,34,0.003,,1.33,,fx
18/05/1990,165.9,166.02,165.4,165.62,10026,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103513,168.16,165.62,2.2704660314570067,35,0.003,,1.33,,fx
21/05/1990,166,166,165.1,165.3,9280,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103313,167.84,165.3,2.2954441835950097,36,0.003,,1.33,,fx
22/05/1990,165.5,166.1,165.4,165.86,9092,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103663,168.42,165.86,2.3588805254470895,37,0.003,,1.33,,fx
23/05/1990,166.44,166.54,165.3,165.96,18024,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103725,168.58,165.96,2.4150533465468023,38,0.003,,1.33,,fx
24/05/1990,165.6,166.1,165.28,165.5,12189,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103438,168.14,165.5,2.449451094973512,39,0.003,,1.33,,fx
25/05/1990,165.9,165.9,165.54,165.5,12189,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103438,168.14,165.5,2.441464860829857,40,0.003,,1.33,,fx
28/05/1990,165.9,165.9,165.54,165.62,4868,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103513,168.24,165.62,2.3869347149290947,41,0.003,,1.33,,fx
29/05/1990,166.08,166.4,165.98,166.16,7653,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103850,168.78,166.16,2.3275572316630573,42,0.003,,1.33,,fx
30/05/1990,167.24,167.4,165.82,166.38,14860,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103988,169.02,166.38,2.266378314992229,43,0.003,,1.33,,fx
31/05/1990,164.76,165.1,164.3,164.58,14860,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102863,167.24,164.58,2.087603729957797,44,0.003,,1.33,,fx
01/06/1990,164.8,166.2,164.5,164.9,18947,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103063,167.62,164.9,1.8911382815649405,45,0.003,,1.33,,fx
04/06/1990,164.02,164.54,163.66,164.38,11222,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,102738,167.1,164.38,1.7205142642052516,46,0.003,,1.33,,fx
05/06/1990,164.6,165.74,164.36,165.52,12851,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103450,168.22,165.52,1.5566738044091772,47,0.003,,1.33,,fx
06/06/1990,165.7,166.04,165.5,165.8,8552,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103625,168.48,165.8,1.3316320813199165,48,0.003,,1.33,,fx
07/06/1990,165.64,166.1,165.56,166,6998,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103750,168.68,166,1.039671101839621,49,0.003,,1.33,,fx
08/06/1990,165.7,165.7,165,165.5,8296,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103438,168.16,165.5,0.9505261700765575,50,0.003,,1.33,,fx
11/06/1990,165.74,165.96,165.62,165.8,9675,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,103625,168.44,165.8,0.8750999942865997,51,0.003,,1.33,,fx
12/06/1990,167.7,167.8,167.24,167.56,17917,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104725,170.12,167.56,0.9185292591966795,52,0.003,,1.33,,fx
13/06/1990,167.84,168.54,167.82,168.44,17893,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105275,171.04,168.44,1.0762899237660828,53,0.003,,1.33,,fx
14/06/1990,168.64,168.74,167.72,168.16,9590,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105100,170.8,168.16,1.160087927702206,54,0.003,,1.33,,fx
15/06/1990,167.88,168.7,167.3,168.3,11311,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105188,171,168.3,1.2241094722288506,55,0.003,,1.33,,fx
18/06/1990,168.04,168.86,168.02,168.7,6823,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105438,170.66,168.7,1.3183793080901973,56,0.003,,1.33,,fx
19/06/1990,166.3,167.4,166.06,167.2,7787,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104500,169.72,167.2,1.244436686483911,57,0.003,,1.33,,fx
20/06/1990,166.98,167.26,166.8,167.02,8101,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104388,169.52,167.02,1.204733442163477,58,0.003,,1.33,,fx
21/06/1990,167.2,167.6,167.06,167.22,6277,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104513,169.72,167.22,1.2167919570193837,59,0.003,,1.33,,fx
22/06/1990,167.7,168.5,167.6,168.18,8906,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105113,170.68,168.18,1.2657398363541117,60,0.003,,1.33,,fx
25/06/1990,168.06,168.3,167.86,167.94,5917,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,104963,170.42,167.94,1.2817680497397874,61,0.003,,1.33,,fx
26/06/1990,168.22,169.12,168.2,169.06,9577,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105663,171.54,169.06,1.3730535313673742,62,0.003,,1.33,,fx
27/06/1990,169.46,169.7,169.26,169.34,8105,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105838,171.86,169.34,1.468912522923142,63,0.003,,1.33,,fx
28/06/1990,168.78,169.2,168.74,169,7928,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,105625,171.54,169,1.510961283422062,64,0.003,,1.33,,fx
29/06/1990,169.66,170.18,169.5,170.04,7928,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106275,172.56,170.04,1.6066839556470955,65,0.003,,1.33,,fx
02/07/1990,170.9,172.36,170.9,172.22,12144,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107638,174.76,172.22,1.8775604739485314,66,0.003,,1.33,,fx
03/07/1990,172.4,173.3,172.1,172.22,12144,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107638,174.76,172.22,2.0976885691955958,67,0.003,,1.33,,fx
04/07/1990,172.4,173.3,172.1,172.8,14194,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,108000,175.36,172.8,2.3254697016589803,68,0.003,,1.33,,fx
05/07/1990,173.96,174,172.78,173.24,12299,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,108275,175.86,173.24,2.4613947265728506,69,0.003,,1.33,,fx
06/07/1990,173.6,173.9,173.26,173.76,9696,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,108600,176.38,173.76,2.602985465448094,70,0.003,,1.33,,fx
09/07/1990,176,176.18,175.4,176,13459,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,110000,178.62,176,2.8551910619082523,71,0.003,,1.33,,fx
