Date,PX_CLOSE_1D,FX_TO_USD,stdev_signal,st_dev_input,price_volatility,one_pct_move,POINT_VALUE,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,exec_price,trade_pnl_usd,carry_pnl_usd,pnl_usd,nav_usd,Target_Pos_rounded,Current_pos,trades_needed
2017-01-02,164.47,1.1308,,1.265908764,0.77,1.6447,1000.0,1644.7,1266.419,1432.0666052000001,,125000.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,10000000.0,0,0,0
2017-01-03,163.21,1.1308,1.259999999999991,1.257936405,0.77,1.6321,1000.0,1632.1000000000001,1256.717,1421.0955836,-0.119520789288222,125000.0,87.96030431911053,-1.0513084998252293,-1,-1.0,-1.0,164.47,1424.8079999999898,-0.0,1424.8079999999898,10001424.808,-1,0,-1
2017-01-04,163.19,1.1308,1.225481703415185,1.225921694,0.75,1.6319,1000.0,1631.8999999999999,1223.925,1384.01439,-0.2383723373150883,125017.8101,90.32984844904684,-2.1532137104116997,-2,-2.0,-1.0,163.21,22.61600000001157,22.61600000001157,45.23200000002314,10001470.040000001,-2,-1,-1
2017-01-05,163.54,1.1308,1.1946750003513724,1.135498129,0.69,1.6354,1000.0,1635.3999999999999,1128.426,1276.0241208,-0.31883186750837356,125018.37550000002,97.97493124316496,-3.123753029726278,-3,-3.0,-1.0,163.19,-395.7799999999936,-791.5599999999872,-1187.3399999999808,10000282.700000001,-3,-2,-1
2017-01-06,162.84,1.1308,1.173280138390718,1.075610214,0.66,1.6284,1000.0,1628.4,1074.7440000000001,1215.3205152000003,-0.46562882157665064,125003.53375000002,102.8564334976512,-4.789291992108846,-5,-5.0,-2.0,163.54,1583.1199999999744,2374.6799999999616,3957.799999999936,10004240.500000002,-5,-3,-2
2017-01-09,162.95,1.1308,1.141415904846766,1.055782174,0.65,1.6295,1000.0,1629.5,1059.175,1197.71509,-0.6006845521645969,125053.00625000003,104.40964407486929,-6.271726029277782,-6,-6.0,-1.0,162.84,-124.3879999999833,-621.9399999999165,-746.3279999998998,10003494.172000002,-6,-5,-1
2017-01-10,163.12,1.1308,1.110841650406752,1.004879761,0.62,1.6312,1000.0,1631.2,1011.344,1143.6277952,-0.714335311516631,125043.67715000003,109.33948761548956,-7.810505694687956,-8,-8.0,-2.0,162.95,-384.472000000036,-1153.416000000108,-1537.888000000144,10001956.284000002,-8,-6,-2
2017-01-11,163.48,1.1308,1.0836390272338978,0.978354401,0.6,1.6348,1000.0,1634.8,980.8799999999999,1109.1791039999998,-0.7839448891365906,125024.45355000003,112.71800297997684,-8.836470234983583,-9,-9.0,-1.0,163.12,-407.0879999999833,-3256.7039999998665,-3663.79199999985,9998292.492000002,-9,-8,-1
2017-01-12,163.89,1.1308,1.0582465602839621,0.910149621,0.56,1.6388999999999998,1000.0,1638.8999999999999,917.784,1037.8301472,-0.8046346590264449,124978.65615000004,120.42303500932645,-9.689654771365904,-10,-10.0,-1.0,163.48,-463.6279999999962,-4172.6519999999655,-4636.279999999962,9993656.212000003,-10,-9,-1
2017-01-13,163.41,1.1308,1.0352803822120964,0.872885445,0.53,1.6341,1000.0,1634.1000000000001,866.0730000000001,979.3553484000001,-0.878902816769742,124920.70265000005,127.55401076237185,-11.21075793493266,-11,-11.0,-1.0,163.89,542.7839999999884,5427.839999999885,5970.623999999873,9999626.836000003,-11,-10,-1
