Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-01-02,68.285,1.0,1000.0,,0.68285,682.8499999999999,,,0.0,125000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000000.0
2017-01-03,67.54,1.0,1000.0,1.1,0.6754000000000001,675.4000000000001,742.9400000000002,742.9400000000002,168.25046437128162,125000.0,168.25046437128162,78.62723199547709,56,56.0,56.0,0.0,-0.0,0.0,10000000.0
2017-01-04,68.585,1.0,1000.0,1.11,0.68585,685.8499999999999,761.2935,761.2935,164.19422995204872,125000.0,164.19422995204872,104.13884455874253,74,74.0,18.0,0.0,58519.9999999993,58519.9999999993,10060640.0
2017-01-05,67.755,1.0,1000.0,1.13,0.67755,677.55,765.6314999999998,765.6314999999998,164.2539524562404,125758.0,164.2539524562404,83.81912350004983,60,60.0,-14.0,0.0,-61419.999999999876,-61419.999999999876,9958970.0
2017-01-06,69.0,1.0,1000.0,1.16,0.6900000000000001,690.0000000000001,800.4000000000001,800.4000000000001,155.53114067966015,124487.125,155.53114067966015,111.17574476423911,79,79.0,19.0,0.0,74700.00000000028,74700.00000000028,10116269.999999998
2017-01-09,69.52,1.0,1000.0,1.13,0.6951999999999999,695.1999999999999,785.5759999999998,785.5759999999998,160.96898963308453,126453.37499999999,160.96898963308453,147.0491949554367,105,105.0,26.0,0.0,41079.99999999969,41079.99999999969,10143600.0
2017-01-10,69.11,1.0,1000.0,1.12,0.6911,691.1,774.0320000000002,774.0320000000002,163.81105690720793,126795.0,163.81105690720793,147.290658404278,105,105.0,0.0,0.0,-43049.99999999964,-43049.99999999964,10078279.999999998
2017-01-11,69.285,1.0,1000.0,1.09,0.69285,692.8499999999999,755.2065,755.2065,166.8133152985309,125978.49999999999,166.8133152985309,158.99901119141012,113,113.0,8.0,0.0,18374.9999999997,18374.9999999997,10048775.0
2017-01-12,69.88,1.0,1000.0,1.07,0.6988,698.8,747.716,747.716,167.9911724505026,125609.6875,167.9911724505026,183.59060544020667,131,131.0,18.0,0.0,67234.99999999987,67234.99999999987,10062300.0
2017-02-01,71.34,1.0,1000.0,1.12,0.7134,713.4000000000001,799.0080000000002,799.0080000000002,157.41863660939563,125778.75,157.41863660939563,254.10444830499256,181,181.0,50.0,0.0,191260.00000000105,191260.00000000105,10538559.999999998
2017-02-02,70.83,1.0,1000.0,1.11,0.7083,708.3000000000001,786.2130000000002,786.2130000000002,167.55255891215222,131731.99999999997,167.55255891215222,252.1962021929784,180,180.0,-1.0,0.0,-92310.00000000093,-92310.00000000093,10336809.999999998
2017-02-03,69.36,1.0,1000.0,1.21,0.6936,693.6,839.256,839.256,153.95794012792283,129210.12499999999,153.95794012792283,139.68520270353883,100,100.0,-80.0,0.0,-264599.99999999977,-264599.99999999977,10054929.999999998
2017-02-06,68.89,1.0,1000.0,1.19,0.6889000000000001,688.9000000000001,819.791,819.791,153.31544869363043,125686.62499999999,153.31544869363043,103.2157263710033,74,74.0,-26.0,0.0,-46999.99999999988,-46999.99999999988,9910630.0
2017-02-07,69.505,1.0,1000.0,1.17,0.69505,695.05,813.2084999999998,813.2084999999998,152.33839169167567,123882.875,152.33839169167567,102.94978887302447,73,73.0,-1.0,0.0,45509.99999999962,45509.99999999962,9932580.0
2017-02-08,69.335,1.0,1000.0,1.14,0.6933499999999999,693.3499999999999,790.4189999999999,790.4189999999999,157.07776508408833,124157.25,157.07776508408833,107.0393600448601,76,76.0,3.0,0.0,-12410.000000000124,-12410.000000000124,9821050.0
2017-02-09,69.475,1.0,1000.0,1.11,0.69475,694.75,771.1725,771.1725,159.1902265705792,122763.125,159.1902265705792,115.90079633774515,83,83.0,7.0,0.0,10640.000000000044,10640.000000000044,9830650.000000002
2017-02-10,69.21,1.0,1000.0,1.09,0.6920999999999999,692.0999999999999,754.389,754.389,162.89092895044868,122883.12500000003,162.89092895044868,110.48581534989792,79,79.0,-4.0,0.0,-21995.000000000047,-21995.000000000047,9840975.000000002
2017-03-01,67.54,1.0,1000.0,1.23,0.6754000000000001,675.4000000000001,830.7420000000001,830.7420000000001,148.07507926648708,123012.18750000003,148.07507926648708,26.240730742828305,19,19.0,-60.0,0.0,-131929.999999999,-131929.999999999,9599905.000000002
