,carry,EWMA_2/8,EWMA_4/16,EWMA_8/32,EWMA_16/64,EWMA_32/128,EWMA_64/256
carry,1.0,-0.3047,-0.1576,0.0509,0.0457,-0.2743,-0.6265
EWMA_2/8,-0.3047,1.0,0.787,0.3779,0.0807,-0.0298,0.0325
EWMA_4/16,-0.1576,0.787,1.0,0.8227,0.471,0.1141,-0.0678
EWMA_8/32,0.0509,0.3779,0.8227,1.0,0.849,0.4273,0.0012
EWMA_16/64,0.0457,0.0807,0.471,0.849,1.0,0.7905,0.3264
EWMA_32/128,-0.2743,-0.0298,0.1141,0.4273,0.7905,1.0,0.8097
EWMA_64/256,-0.6265,0.0325,-0.0678,0.0012,0.3264,0.8097,1.0
