Date,PX_CLOSE_1D,forecast_combined,carry,EWMA_2/8,EWMA_4/16,EWMA_8/32,EWMA_16/64,EWMA_32/128,EWMA_64/256
2017-01-02,161.61,-18.61863476393507,-20.0,-4.465075281360591,-6.091348038161194,-6.413988713569635,-4.955526273376069,-2.917962680266407,-1.3873082276701332
2017-01-03,164.93,-10.043356549606921,-20.0,0.4588666617571051,9.08293082608528,9.176240755328267,4.258091826714349,0.3919375192864451,-0.6718347215932117
2017-01-05,161.78,10.999680722587183,20.0,-2.826281055428095,-4.195402031615645,-1.4748731821342054,-1.4425166039398916,-3.5678959967782515,-3.7328234699671774
2017-01-06,162.28,16.10033652003047,20.0,10.035476295194314,10.406423714867342,4.412911495885511,-1.738339779179224,-5.357175751001216,-5.8965875136678285
2017-01-08,162.8,-13.265752805823142,-20.0,7.9011033056226845,3.7236964059727367,-0.8894178566357649,-2.267605745522813,-1.7737409097308066,-2.3836321851792035
2017-01-09,164.86,-6.480512448821232,-20.0,1.4460597253321603,9.35410355058556,13.657234995179405,11.657088549122529,6.127421933600338,0.782626476829922
2017-01-11,162.63,-2.475998063353919,-7.02795554579525,9.598134616735482,8.125793777689621,3.1026713470408875,-1.5115417645367244,-2.7214495610875824,-2.6089374237944245
2017-01-12,163.8,0.7871341846388675,-4.430260398873057,9.642008047641616,5.185025702285129,4.7226513599648925,3.214152715230163,0.6904447547343239,-1.2421374577964033
2017-02-01,164.47,,,,,,,,
2017-02-02,162.37,-17.37840743111063,-20.0,0.0359624701600896,-4.10249877693108,-5.76708156684869,-4.885902503886704,-2.988514898703867,-1.4468844606268776
2017-02-03,164.61,-11.883012403066667,-20.0,-4.880044278092713,5.200149547634574,7.883413342562883,4.15695348850141,0.4773355837643832,-0.6379870580345088
2017-02-05,161.69,10.700810216708026,20.0,-3.4679316707404437,-4.330210727141866,-1.878009728362751,-1.7047562903857647,-3.70645189827448,-3.857679248538658
2017-02-06,162.69,17.277474726041824,20.0,12.472249774246386,11.82782061488822,5.804886530107996,-0.8257455913855086,-4.942978981968859,-5.757198190603498
2017-02-08,162.86,-12.31960583572655,-20.0,9.444180192900472,5.671444293194464,0.3662374666668808,-1.739642517296174,-1.6444469855622244,-2.38899635366184
2017-02-10,161.22,-10.241766121714818,-7.387771926996033,-1.893233212373674,-6.611575081857149,-9.429544087344,-6.659112622269692,-2.626856350050698,-1.6644114692997718
2017-02-11,162.69,-2.5641010843177905,-7.222085612053459,8.201448957016876,8.330478787011243,3.888553161634927,-0.9946938626062106,-2.556718591523065,-2.610561229620596
2017-03-01,163.21,-14.99474017167339,-19.34523809523824,-4.7111111111111645,-2.117647058823445,-0.8565656565657206,-0.3257918552036786,-0.119520789288222,-0.0429859323555536
2017-03-02,162.49,-16.716853597723972,-20.0,1.9532752665182325,-2.6011208238691657,-5.213791405907369,-4.876980693704213,-3.1075638981698277,-1.5341508087777838
2017-03-03,160.71,-18.35793788260271,-20.0,-20.0,-5.986029588416629,0.7474572690013448,1.1014123918682714,-0.1154461089553884,-0.4911608764926555
2017-03-04,162.09,12.444628046511724,18.15113312214186,11.264165511544148,6.03551168257761,-2.516649654326345,-6.747106200684016,-5.93219267722718,-3.7037056410863136
2017-03-05,161.69,10.622000312505394,20.0,-3.187787736171576,-4.2534841408737645,-2.1773946386329888,-1.9422638108829209,-3.846061130947859,-3.987708971388529
2017-03-07,161.65,-20.0,-20.0,-20.0,-16.50353402752066,-3.1968582786507023,3.820917156270673,2.224403392779513,-0.9845025857183372
2017-03-08,163.3,-10.82074842069075,-20.0,12.569125671470038,8.277616346657618,2.055445563285968,-0.9508311244827714,-1.3829099956667323,-2.307730995780805
2017-03-10,161.12,-10.35617886897041,-7.587835715387876,-1.7260337956573568,-6.064699724702722,-9.29415550870936,-6.93536675012281,-2.9019913578962138,-1.815028368932972
2017-03-11,162.74,-2.61016474900022,-7.422640438310131,7.303201159199579,8.402375879771187,4.571330327700549,-0.4885157808228577,-2.382863302812683,-2.607624399222254
2017-04-01,163.19,-15.821103709742443,-19.7677369906784,-5.458896496891612,-3.2620800180222664,-1.5262797562024604,-0.6255391320707765,-0.2383723373150883,-0.0873911377474464
2017-04-04,162.53,14.298278336280788,18.88884287254725,13.544904682712303,8.492942811837167,-0.6354321885955638,-5.909601893038647,-5.749568981724825,-3.717800968747616
2017-04-05,160.9,8.742019226634092,20.0,-9.365057071024417,-6.892381825696514,-3.495669009386332,-2.502539500398805,-3.924233493779495,-3.941312989838733
2017-04-07,161.85,-20.0,-20.0,-18.17839635196679,-16.66653130763319,-4.941248564681724,2.7909871537067823,1.9096650662184849,-1.0883237897688771
2017-04-08,163.13,-10.85323551292184,-20.0,10.153084467636148,8.743269408893326,3.0441505971186893,-0.3823967330560919,-1.1991178996488412,-2.2836339968996864
2017-04-09,162.16,-15.869644149388819,-20.0,-17.566760039868356,-4.087769588281528,3.306894004785224,4.694977383791921,2.7829398696209995,0.323257301956684
2017-04-10,161.32,-9.62479042369794,-7.462187960789768,0.4417483469086534,-4.673669021985006,-8.750368065319698,-7.027205865639126,-3.1131135757727164,-1.9442198823834345
2017-04-12,162.97,-1.7134884918782023,-5.419388475177256,2.1471744552847105,3.2214275375969588,3.977578395940242,2.95093680026426,0.7107176998517153,-1.1068278067838615
2017-05-01,163.54,-15.725782837414801,-20.0,-3.5534639685707727,-3.157437138999479,-1.777461150835043,-0.7988057495000715,-0.3188318675083735,-0.1196404759209843
2017-05-04,162.4,14.76154132623725,19.40385681710372,11.49802046657016,9.184783854924104,0.6342494235993242,-5.275396170083683,-5.654701624960498,-3.7783568686851767
2017-05-05,160.46,6.968945749594855,20.0,-13.538235926938745,-9.840366754151352,-5.203623388870963,-3.3202792671062813,-4.243319207750496,-4.091886580862166
