Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA002_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2024-12-16,-2.6485743605669714,1.3706216094326809,0.0,-8.589433533393583,-2.8487116245435558,-0.8599813683614201,-4.208170893045932
2024-12-17,-4.524734485641971,1.370608553417687,20.0,-4.316467257188134,-2.338567572264901,-1.0750055682837012,-4.21407789851316
2024-12-18,2.208277345377506,1.3705994120727514,20.0,-8.812579476249484,-4.7412023593724095,-2.33317953889827,-4.508222590734511
2024-12-19,-0.10832433907188863,1.3705558498822084,20.0,-18.664509624209195,-10.024194473306554,-4.813038577109289,-4.90908374267253
2024-12-20,-5.046696520148904,1.3705784862018384,20.0,-13.139508411364536,-10.131830865364751,-5.745853970667409,-5.353815811535452
2024-12-23,-3.939236758616282,1.3705498140257208,20.0,-14.42924710972512,-11.847933752151931,-7.2304077191368465,-6.081793319552538
2024-12-24,-5.36964503896166,1.3705498892760863,20.0,-12.977408695564284,-12.535869393602178,-8.443958654137182,-6.86486715089935
2024-12-25,-5.707531184709567,1.3705462266708262,20.0,-11.616385590602883,-12.805124499207944,-9.454016343214017,-7.617460119584998
2024-12-26,-5.891327778285137,1.3705233016045801,20.0,-12.758306653292667,-13.7731954276563,-10.624183391670147,-8.416684805332112
2024-12-27,-7.00949064409386,1.3705203248479312,20.0,-12.00224893606156,-14.166572062122809,-11.64486440453115,-9.256965257983367
2024-12-30,-7.4201870540482915,1.3705224796869961,20.0,-6.448412248946375,-12.044374478953678,-11.504369838125386,-9.60766837573171
2024-12-31,-5.3737709460384915,1.3705225529947649,20.0,-4.129738554694911,-10.554998112748478,-11.4606589479054,-10.055143686861804
2025-01-01,-4.4406291566712435,1.370518929596779,20.0,-3.89894759905777,-9.763717623179692,-11.509032453207672,-10.510737177870595
2025-01-02,-4.298596265462441,1.3705130311934919,20.0,-4.863388040524491,-9.650529160405735,-11.725582735975491,-11.004435079742173
2025-01-03,-4.726625097487841,1.3705181250464564,20.0,-2.4128337152764026,-8.288889213607932,-11.404119587825498,-11.273843235516347
2025-01-06,-3.667404305330742,1.3705121230969644,20.0,-3.287445016430201,-8.066736964024624,-11.41613759573788,-11.644911365206545
2025-01-07,-3.951239346363722,1.3705085136777504,20.0,-4.2030899287634975,-8.16299609947195,-11.569480413576656,-12.078552926729554
2025-01-08,-4.389449390759148,1.370493528161729,20.0,-7.40112413438037,-9.410231401829323,-12.088544709506449,-12.534585031010309
2025-01-09,-5.875181030007328,1.3704973443861035,20.0,-5.89415428750413,-9.187523458441987,-12.259172567529529,-12.983467742046944
2025-01-10,-5.570898931066019,1.3705008246395443,20.0,-3.5185154469745523,-8.2021427120167,-12.093514330333765,-13.307820805982344
2025-01-13,-4.693145030106512,1.3705019471631161,20.0,-2.0686380863600378,-7.214944614342839,-11.8359232742697,-13.59155702131706
2025-01-14,-4.03230009467511,1.37049922758543,20.0,-2.369261679054515,-6.836083067130897,-11.720719484802387,-13.896656155930376
2025-01-15,-4.062961401683302,1.3705181288007957,20.0,5.975560754173565,-2.303346124434366,-9.19193485192979,-12.497290027454303
2025-01-16,0.5435603791999561,1.3705577124203914,20.0,12.930864452397064,2.6246003900088355,-6.509693179691153,-11.31615026280883
2025-01-17,4.859894128377961,1.3705577854030635,20.0,13.203681442292892,5.234988350971628,-4.6925576976617815,-10.720691980787784
2025-01-20,6.311697918314881,1.3705934325719045,20.0,6.50271134698757,4.209162090141456,-4.02551375960392,-10.225324867217406
2025-01-21,4.512306982709532,1.3706024665849017,20.0,6.970295056531112,4.920430279363817,-2.9751992964462204,-9.70720469327241
2025-01-22,5.265486291661888,1.3706263542675636,20.0,0.4883553023987266,2.514347717119601,-3.095815092829878,-9.37559114218599
2025-01-23,2.8869106528047714,1.3706339835817092,20.0,2.457046640611656,2.8316236297641746,-2.5225814700484746,-8.983589631511194
2025-01-24,3.7781522872610123,1.3706339615856236,20.0,2.466832392403624,2.8385688244559297,-2.1409183316519105,-8.784046154356686
2025-01-27,3.942129894789906,1.3706572229244913,20.0,9.101789526476589,5.756372508596856,-0.4261394120983329,-7.566644490196635
2025-01-28,7.364782885755489,1.3706829007498151,20.0,3.832890379050143,4.507842477632034,-0.2443377993441009,-7.083183396315973
2025-01-29,5.760493339969767,1.370683699592443,20.0,3.3998988063530486,4.403559077071251,0.1445014015970882,-6.790491636225807
2025-01-30,5.800094199163905,1.3706966957111437,20.0,8.764850751412174,6.726273359840876,1.5246242712314708,-5.821458441727167
2025-01-31,8.551731177274482,1.3707206019940676,20.0,2.9716632230780093,4.976931173618926,1.428301690521149,-5.407033230664633
2025-02-03,6.571197699161776,1.370720754325298,20.0,2.3692926506750704,4.544118823069622,1.6227638036704963,-5.149883339711076
2025-02-04,6.411224545095126,1.3707227640391226,20.0,5.2786585500958365,5.620338665650549,2.35921185351463,-4.619237181734582
2025-02-05,7.851345530094877,1.370745004556971,20.0,14.038053246645651,9.54620548518078,4.28755979915047,-3.102772226144259
2025-02-06,12.27345806336444,1.3707526825336427,20.0,19.919748257031127,13.861102011343426,6.752321785213201,-1.6992606216981914
2025-02-07,16.12934934823827,1.3707527644928712,20.0,19.069220736060075,16.005524280280632,8.747663389434859,-0.5465253501775608
2025-02-10,17.347361862642295,1.3707720086181854,20.0,12.55399924811011,14.799846755207955,9.432726636082876,0.2446346880125444
2025-02-11,15.635484642089246,1.3707832408602767,20.0,6.165941882186158,12.272721002513087,9.361828874392668,0.7394882653458321
2025-02-12,13.308005061971198,1.3708292684989982,20.0,-6.608806936123897,4.797133051316018,6.377691627899782,0.3634714211918278
2025-02-13,6.834962956291685,1.3708590078299878,20.0,-1.5718150980698549,4.3290999308820695,5.891436863986697,0.578528383309095
2025-02-14,8.013288242239591,1.370859081897242,20.0,-0.0931122882356307,4.07446551330485,5.771324585638188,0.7924985652106313
2025-02-17,8.374612405249106,1.3708567765632038,20.0,4.030232344510333,5.391292460114014,6.21847673845563,1.2256657944688585
2025-02-18,10.107495047265589,1.370854751484559,20.0,5.889652988293305,6.534089767672448,6.814586551000208,1.7135943876254969
2025-02-19,11.227793274104963,1.3708505316916066,20.0,7.6380570471888705,7.829284536573741,7.572079469516726,2.286499035835853
2025-02-20,12.426719029514812,1.3708181770036512,20.0,15.031606805487009,11.371376970359927,8.927140803491165,3.140451524807719
2025-02-21,16.030305144253898,1.370801026117928,20.0,18.64395993995672,14.771766819875552,10.9523727026823,4.290069876927471
2025-02-24,18.82350001623999,1.3708128397057664,20.0,13.769373664472724,14.579047705703864,11.798126259312417,5.0789314127157486
2025-02-25,17.88213644585579,1.3707937993284025,20.0,13.682883540560232,15.296239367214188,12.899156154679194,5.986977866708585
2025-02-26,18.605754497206956,1.3707864184930187,20.0,13.23198356829176,15.826708221741049,13.985966557070364,6.939272476990827
2025-02-27,19.186680135972324,1.3707918310703655,20.0,4.938284794701125,12.227624380565036,13.025153599117417,7.056760063126584
2025-02-28,15.695097551069447,1.3708030081438867,20.0,-1.7181894658406835,8.250175502047082,11.736489473553862,7.033973056846802
2025-03-03,12.42012010241611,1.370800088670165,20.0,-1.7776743074898018,6.515990004515976,11.08806891772335,7.21187764983424
2025-03-04,11.799338254428521,1.3707963139741135,20.0,3.6046784733140393,7.453391466428745,11.125247263427042,7.502422014581044
2025-03-05,13.621707396204416,1.3707864279231539,20.0,7.521272861201877,9.086245305081162,11.773796070500795,8.093258180247942
2025-03-06,15.482500669044933,1.3707497026020574,20.0,13.258553462240544,11.9783593424497,12.82773893854084,8.724591056169748
2025-03-07,18.310351314252255,1.3707560189929655,20.0,11.07030377798762,12.4128184984951,13.517653049397854,9.42880851553104
2025-03-10,18.211295763002248,1.37072180118412,20.0,13.283569115812218,13.957896091935687,14.47619855632992,10.16254400352869
2025-03-11,19.70565134500169,1.3707286022816856,20.0,8.467328548234988,12.672869383026214,14.48928000853459,10.615479286246597
2025-03-12,18.161149469997753,1.3707571285787015,0.0,11.581877555883754,13.729295459600628,15.020718020435734,11.103803565418854
2025-03-13,14.101388361678804,1.370778451712764,0.0,14.102307755535035,15.397249698332391,16.173124655128618,12.005706347468388
2025-03-14,15.812014892621523,1.3707053296536196,0.0,7.892718178695557,13.319490088979672,15.77060648300872,12.262256173026294
2025-03-17,13.499654758368184,1.3706605052190557,0.0,1.1741340889156744,9.898725257540876,14.66649653032009,12.26497175859532
2025-03-18,10.418179274143004,1.3706569649250204,20.0,-1.3161026437667742,7.533731662194556,13.848395678686751,12.438119955210514
2025-03-19,14.392996506031913,1.370653364733421,20.0,0.3113902215598846,6.867331600798099,13.439938448762272,12.672064619879364
2025-03-20,14.608616262787415,1.3706528005265222,20.0,0.996480878907314,6.399739852053847,13.141629688711449,12.95984600195873
2025-03-21,14.66542604113806,1.3706595818215659,20.0,-1.8287313139340295,4.560702125900685,12.170957632783583,12.885065230702148
2025-03-24,13.100614189480645,1.3707014232960082,20.0,-10.384325163500764,-0.5864392308988737,8.958760718002342,11.24843619211804
2025-03-25,8.014992611982114,1.3707200096441943,20.0,-6.9511613703526365,-1.265650415024828,7.833637716848663,10.82513153183552
2025-03-26,8.345575314034194,1.3707356572082383,20.0,-9.024146157359516,-3.359954538625008,6.203815672469434,10.179799190896803
