Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA002_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2024-12-16,-8.531326313266206,1.3808061652075412,0.0,-16.345461880507756,-8.653382960148813,-4.1685173538785865,-7.0762192311684045
2024-12-17,-10.009056389731231,1.3808039928737443,0.0,-13.500483158841876,-9.58156342598879,-5.460620397464496,-7.701059593402592
2024-12-18,-10.00905767288101,1.3807986400041312,0.0,-20.0,-13.152739412147676,-7.392720251942802,-7.690871341135229
2024-12-19,-13.321040142238328,1.380809844429833,0.0,-20.0,-17.32713628629519,-10.135222670594777,-8.881150903132461
2024-12-20,-15.559482055129456,1.3807696834812753,-2.779787659087725,-17.509680111407775,-16.799844919218756,-11.248486147405636,-9.613776374638102
2024-12-23,-16.003555531814193,1.380769674796275,-2.7261736050764416,-18.938701492071853,-18.135519862231067,-12.765632391427202,-10.40748588900182
2024-12-24,-17.3903827816526,1.3807696193976486,-2.8029822558205644,-17.058453515357016,-18.672416268701888,-14.251223620422651,-11.52292513297977
2024-12-25,-17.758797742642695,1.3807611435261655,-2.876867772808222,-13.06855987156124,-17.735892107772628,-15.055407071431546,-12.422325060133485
2024-12-26,-16.889111555776104,1.3807532193182503,-2.952411059152096,-9.007217786668509,-16.013078060400137,-15.33918032247869,-13.139660294644528
2024-12-27,-15.589225464893579,1.3807615688876456,-4.00267120434102,-9.57813464093416,-15.664214451278824,-15.84550905310152,-13.862307015259686
2024-12-30,-16.279134147395638,1.3806913416878352,-3.8703165259373513,-1.1044690205480527,-11.016222141109791,-14.032487684527675,-13.288187082790012
2024-12-31,-11.960012553071891,1.380691291030101,-3.9793608618359793,1.206995335860698,-8.545492767158994,-13.265154303111055,-13.511347506814628
2025-01-01,-10.51938997033939,1.3807017550472533,-3.0371592736615374,-1.3032869883689804,-8.118602438809855,-12.985589916423882,-13.766196590001496
2025-01-02,-10.827672427486265,1.3806990300323803,-2.0754630958856097,-0.9439356327287802,-7.244281387767314,-12.621181404834651,-14.050570335153072
2025-01-03,-10.199397242134733,1.380706374545323,-2.11836263762015,-3.1600154319551623,-7.5526684407500575,-12.617486193038452,-14.379156474952188
2025-01-06,-10.998105582054256,1.3807109838602085,-2.178267578364716,-4.935536367180544,-8.179133499105342,-12.850102050078869,-14.828784475163456
2025-01-07,-11.86643385390266,1.3807226174779739,-2.1645206787873086,-9.81886869246994,-10.314498991569694,-13.483139961640047,-15.118424012276847
2025-01-08,-14.055621834705843,1.3807242700486995,-4.442725229172327,-10.373141607587971,-11.502895129194034,-14.29373418553756,-15.853109861727262
2025-01-09,-15.59262261718842,1.3807186106829379,-3.421787810328734,-7.949511281564461,-11.20320186643402,-14.581848394679774,-16.404500819071348
2025-01-10,-14.790276495127962,1.3806984436963103,-3.945396755751986,-16.200880387027183,-13.881444404740115,-14.380733865832427,-14.99774081803427
2025-01-13,-17.509046707695465,1.380704706193092,-4.0344788801787015,-18.69513357491298,-16.743165896300813,-16.209268722078868,-16.130058687432374
2025-01-14,-19.83006042017303,1.3806906377454398,-4.132989418979554,-15.14888251025849,-16.948898703751375,-17.192324554384808,-17.03974361233868
2025-01-15,-19.453380695481744,1.3804000113291635,-3.5130405469875905,1.3139181467477683,-8.512574938382954,-12.708517788417412,-14.017915822682625
2025-01-16,-10.335857671771528,1.380391783667295,-2.673006413801485,8.222187810516642,-3.552431477770977,-10.69085265740008,-13.526141891879693
2025-01-17,-6.134528398933559,1.3803917330771773,-2.748317104100946,9.038025095993287,-0.7159728525001129,-9.194953667015954,-13.252313646131435
2025-01-20,-4.6584223316288265,1.380393353228812,-3.7628103373281214,7.277726176899563,0.542115655738165,-8.113873913129733,-13.0451500184461
2025-01-21,-4.721502647275523,1.3803954904292834,-3.8412987387547055,8.210336516486812,2.3025234002873165,-6.738599961112279,-12.604347683357542
2025-01-22,-3.498320721074687,1.3804017146573,-2.945228182535341,5.092717759911347,2.172053359463121,-6.050406487405625,-12.365331461056195
2025-01-23,-3.8917000640315207,1.380407996917859,-4.004249225746779,1.0388425089965097,0.8835570815998401,-5.924666024694663,-12.295845794339757
2025-01-24,-5.605103314368131,1.3804067391413655,-4.1087010612378485,1.0933308890802695,0.7205025118929981,-5.576590342482007,-12.201223404504852
2025-01-27,-5.541757232001106,1.380422754580037,-2.8576702806426955,9.640894149377448,4.487663843004714,-3.163995943046789,-10.332111211284388
2025-01-28,-0.6143495888476436,1.380424728205932,-2.928611448913164,9.074454104822593,5.7204907119393225,-1.994924851133404,-9.80725485618258
2025-01-29,0.017711865523564033,1.3804251679853419,-3.0006680052309647,6.672874750196619,5.735052213227886,-1.2756847823491104,-9.420058028664142
2025-01-30,-0.35573341656647733,1.3804341272418434,-2.026529476001161,8.861092564984114,7.158737241877571,-0.0073909783786288,-8.652944710285457
2025-01-31,1.4723764145404763,1.3804483184554384,-2.01225880899889,2.7837618913979454,5.129241024129276,-0.0340097690483847,-8.194680911497358
2025-02-03,-0.642722324467896,1.3804490438943575,-1.0283100033804935,2.3410376037650624,4.615445881646311,0.2199007880447915,-7.919040546763046
2025-02-04,-0.48894695295239454,1.3804524665116122,-1.041440881800482,5.379474770269943,5.680092064159707,1.0436048042022863,-7.331008676337001
2025-02-05,1.030034846417413,1.3804765192813513,0.0,12.46847743033138,8.992969967041262,2.894223726504457,-5.930229834914036
2025-02-06,5.087174513552979,1.38047562437493,0.0,10.430381423430177,9.612613234605622,3.901248983581729,-5.238624074470803
2025-02-07,5.1645373445856055,1.3804774886088902,-1.019590533803463,3.585397452177557,7.273893845573091,3.684835336400277,-4.846243058779626
2025-02-10,2.396037257637333,1.3804772702192942,-1.0549751013594086,1.095834101332148,5.754372500362778,3.5346662731345737,-4.634209100575976
2025-02-11,1.2964592259825325,1.380478260267072,-1.0589080282034755,-3.511721922132117,2.919864010723082,2.648602881076598,-4.624623326114526
2025-02-12,-1.0013518754469815,1.380494698674533,-0.975434657598902,-12.859619888250922,-2.8936485978558832,0.149888328152254,-4.82244282468519
2025-02-13,-5.908838010000731,1.3804884996316604,0.0,-3.952836541085457,-1.4672268352677764,0.138485940698171,-4.330998280131756
2025-02-14,-2.6540099558277097,1.3804884529902872,0.0,-1.3225368104154924,-0.7689578109598445,0.1396124250986819,-4.295055065694216
2025-02-17,-1.7247623431657937,1.380486365427049,0.0,3.911345245263921,1.6031558801609465,0.9233960632282622,-3.8634354895887753
2025-02-18,0.710803209959722,1.3804889974048784,-0.9301955355221596,-1.194786955428884,0.1297777473740929,0.4036515401204321,-3.813942063583593
2025-02-19,-1.49244473828478,1.3804884331181724,0.0,-0.9953806641069044,-0.0349567089645535,0.2822493705125127,-3.809441906158216
