Date,FinalForecast,Multiplier,ewma_EWMA002_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2024-12-11,9.39258509123369,1.1225201513239669,3.723180958000115,7.371442082767201,11.88420422985819,15.676699527524663
2024-12-12,10.847905421718806,1.1225205108044654,0.4259152109763477,5.678159735940141,11.098638452876171,15.497457082412572
2024-12-13,9.17665452263436,1.1225206948236688,-1.1934657609179202,4.302880198284203,10.470178189359812,15.558483871756913
2024-12-16,8.177037020224516,1.1225225550698557,1.826382991960636,4.8146912794014085,10.384261029602648,15.63704033313326
2024-12-17,9.166077976759007,1.1225243478236238,-1.1880287167065549,3.284573910087485,9.54572170782933,15.396030762091376
2024-12-18,7.588721262295929,1.12266258132011,-16.869645048794066,-5.569387162735727,2.808378072408299,8.645773414385292
2024-12-19,-3.0830792418114776,1.1226628013789444,-19.375305584854885,-9.789315546785415,0.2404842067248667,7.637299448597845
2024-12-20,-5.974546158423688,1.1226742657420286,-19.95243169175892,-12.86847854010215,-2.1998458692562672,6.490479565611619
2024-12-23,-8.01096510854047,1.1231528160718502,0.5381604918492863,-4.439674532178504,-0.5570882034458655,5.030394190463061
2024-12-24,0.16055331608189943,1.1231589882430595,8.885938631624256,0.5568998803567772,1.0571325559919134,5.39536416654945
2024-12-26,4.463247226586311,1.123159005012433,9.810071238885708,3.187901142342678,2.250955406856108,5.8140282951496784
2024-12-27,5.914257985838095,1.1231582048534514,3.640359871878343,2.22271091677031,2.178809672177231,5.672077624463962
2024-12-30,3.8507343255739332,1.1231576767627396,-3.361003872013028,-0.5792390735875648,1.211579103837792,5.19323175913643
2024-12-31,0.6920251595029979,1.1231585944532714,-6.471456504223101,-2.8382904536245706,0.1982759584926078,4.775566934548283
2025-01-02,-1.217478111077913,1.1231596390333576,-7.900550164721791,-4.640795489174132,-0.8432044978613957,4.301698718118338
2025-01-03,-2.5504048772568457,1.1231736623198485,-1.5751654828725026,-2.853814626649953,-0.5967759150502566,4.11614341469587
2025-01-06,-0.25541342287427904,1.1231745035234753,2.634433178424353,-0.7783158545955005,0.00396482112926,4.223515674267702
2025-01-07,1.7082390317849474,1.1231768322267788,-1.6704560878454862,-1.860828660179152,-0.4590882532201606,3.863922174249897
2025-01-08,-0.035506659683784275,1.1231768277866856,-2.2194498044016164,-2.239110786428628,-0.7427973386817808,3.681937743338332
2025-01-09,-0.42664438683037936,1.1231768294583055,-2.077790559510539,-2.3714204919005306,-0.9569170974827071,3.5168688412250813
2025-01-10,-0.5304967418109088,1.1231846039504874,-8.793783526836895,-5.419843337559301,-2.34264567189686,2.6566129119266577
2025-01-13,-3.902971240152377,1.1231846953461753,-8.857273984326081,-6.722172591298239,-3.324225705335726,2.125992714485224
