Date,FinalForecast,Multiplier,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2024-12-16,3.473565507532744,1.0523719829471643,3.8537644727542695,1.3964484304971612
2024-12-17,2.762588925236279,1.0523721518132805,3.4634174776947857,1.404304527664975
2024-12-18,2.5613288621991592,1.0523726948165595,1.6896727792194823,0.8477660273970579
2024-12-19,1.3351656069788322,1.052372655054616,-1.3010561950673474,-0.280055710306456
2024-12-20,-0.8319594746425986,1.0523726648505733,-3.1484239696214638,-1.0960385444690857
2024-12-23,-2.2333782007304235,1.052372682437962,-4.759133845498462,-1.91092996742196
2024-12-24,-3.5096964583211396,1.0523726779112939,-5.974623988998589,-2.648641525743174
2024-12-25,-4.537444491532117,1.0523726733857846,-6.872600516832227,-3.314735457568194
2024-12-26,-5.360436982432162,1.0523726705200085,-7.502847733857652,-3.909641202081757
2024-12-27,-6.0050956893374785,1.05237266349966,-7.955036562393736,-4.452569531227349
2024-12-30,-6.528705185732446,1.0523714464289675,-7.0497881109258005,-4.426870355931824
2024-12-31,-6.038853809408786,1.0523714418875199,-6.502181273839315,-4.533116635240084
2025-01-01,-5.806615616697936,1.052371338687737,-5.756125991495487,-4.515781265786159
2025-01-02,-5.404930347932587,1.0523713294044956,-5.1713295003156565,-4.515937997898914
2025-01-03,-5.0973012765052435,1.052371327093984,-4.570946189169439,-4.470307525107986
2025-01-06,-4.757376954898777,1.0523710771186972,-4.384925158176352,-4.535229831110809
2025-01-07,-4.6936565816251274,1.052371082624028,-4.145807024974208,-4.577279521501215
2025-01-08,-4.589959923186897,1.052370602706327,-4.411331877814185,-4.76565818125678
2025-01-09,-4.82879707579688,1.0523705582581233,-4.718248073211738,-5.012261709698016
2025-01-10,-5.1200176614589346,1.0523637046131975,-6.095782420434537,-5.253891559545171
2025-01-13,-5.971973222941245,1.0523603115782048,-8.315693650959131,-6.194840220040834
2025-01-14,-7.635041038254267,1.05234460787322,-10.70404477122171,-7.045386596009464
2025-01-15,-9.338759841024013,1.0522883407144117,-7.693873570345025,-5.546660004455679
2025-01-16,-6.96637693109074,1.0522803921360242,-5.823168619669563,-5.0124558897242775
2025-01-17,-5.7010469833175765,1.0522784318292147,-5.147096499493027,-4.927123389102093
2025-01-20,-5.300441280497404,1.0522782585871404,-4.3878436142325885,-4.800489930877453
2025-01-21,-4.834321591887394,1.0522738575288622,-2.409765389037405,-4.003592448483524
2025-01-22,-3.374299408363149,1.0522723022320792,-2.313806806626104,-3.77742065878478
2025-01-23,-3.2048150626591183,1.0522723312690925,-1.7795819809507651,-3.57088796194621
2025-01-24,-2.815075533121774,1.0522722539013352,-1.6260301842974447,-3.509505683874369
2025-01-27,-2.701997019562798,1.0522746170691921,0.3215874654914523,-2.4578146220080423
2025-01-28,-1.1239511702370313,1.052276830025686,0.8138657857894531,-2.115272831530646
2025-01-29,-0.684723379004684,1.0522816535309476,2.1764130301122933,-1.3967421719068185
2025-01-30,0.41021739885755715,1.0522835233363264,3.744783316993463,-0.6081457296830571
2025-01-31,1.6503184244692026,1.052285052723807,5.346855895038184,0.2550868251643986
2025-02-03,2.9474626237245434,1.052300164760683,7.418185874668347,1.4382318664371592
2025-02-04,4.659806357298661,1.052300488417792,9.01112149794542,2.449270909082973
2025-02-05,6.029907542396918,1.052303852824257,10.627770931341209,3.537762892940685
2025-02-06,7.453224661640517,1.0523041000918085,11.710553268343446,4.480204803628028
2025-02-07,8.51888735001594,1.0523148220914198,10.638599452830508,4.604512527453623
2025-02-10,8.020286055098344,1.0523160973260588,9.4004916523899,4.602723577704478
2025-02-11,7.367903821706937,1.0523160146639094,7.896575902854104,4.417546308971389
2025-02-12,6.479173927265276,1.0523160020359712,6.636172602476042,4.245160001780037
2025-02-13,5.725276363469911,1.052311618749812,6.463279867578431,4.321710195324222
2025-02-14,5.674573076711348,1.0523093750879364,5.531453882869613,4.13600291582942
2025-02-17,5.086577621946794,1.0523093566099626,4.780419068477051,4.018868381336443
2025-02-18,4.6297854036993,1.0523091625555272,3.848804542384975,3.783410008544176
2025-02-19,4.015724663646897,1.0523091657998582,3.0744166917491094,3.5660633972248164
2025-02-20,3.4939190161392406,1.0523091611826862,2.2549845294687656,3.288906842822484
2025-02-21,2.9169396528391327,1.0523076506939504,2.8059387144082604,3.340636017948352
2025-02-24,3.234043680884035,1.052307609263898,3.4204380686888207,3.613178339734668
2025-02-25,3.7007631624610657,1.052307361552733,4.171923404946213,3.964721131968826
2025-02-26,4.28112493361853,1.052307229152152,4.917339486973988,4.359746371452355
2025-02-27,4.881172071813301,1.0523071891977265,5.537838351452098,4.74788230752381
2025-02-28,5.4118601276366105,1.0523054838970203,6.570102811571018,5.271295582891309
2025-03-03,6.230369609971292,1.0523030139556737,8.003061149963884,5.9847150433630105
2025-03-04,7.359686250491109,1.05230254599043,9.420367753255558,6.818771210960762
2025-03-05,8.544162574536655,1.0522925622305597,8.55799931206595,6.638940398681147
2025-03-06,7.995659697704842,1.0522723456026355,5.699370051713283,5.465916955105509
2025-03-07,5.874456403758569,1.052271455300873,4.559080403168573,5.184223267261501
2025-03-10,5.126282495939703,1.052267828107923,4.550901753196602,5.152731600602925
2025-03-11,5.105405710923551,1.0522668210510022,3.9275671680163167,4.975056876285364
2025-03-12,4.683963222354317,1.0522657587348958,2.5975954986660383,4.468513947536756
2025-03-13,3.717711725278658,1.052265536950179,2.033970854183952,4.248150412707544
2025-03-14,3.305229839469757,1.0522655323096757,1.597836984310642,4.073965768917765
2025-03-17,2.9841213140557303,1.0522655472661349,1.6535515828806813,4.04714991688864
2025-03-18,2.999326010898366,1.052265589075216,1.5826488500862788,4.001158648759184
2025-03-19,2.9378241939820753,1.0522655713290672,1.8631844368169777,4.0758244741379785
2025-03-20,3.1247072325949476,1.0522655478193292,2.138293606164663,4.183011716493343
2025-03-21,3.325846087431884,1.0522656058111175,2.147346696871862,4.202932743536235
2025-03-24,3.341091246641007,1.0522658972709062,1.3843704385751656,3.8712437138827376
2025-03-25,2.765151701844468,1.0522658709834258,0.9221202175671628,3.68120463209004
