Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2018-12-17,5.249046941954167,1.3206691507239585,-20.0,9.086610258456576,14.23525740660092,12.735720518342696
2018-12-18,5.30169035473318,1.3206691550886562,-20.0,8.63077422163839,14.151313422163698,13.15705000222606
2018-12-19,5.2625818793407895,1.320669159451588,-20.0,8.068866897294807,13.98970417505259,13.533736403006634
2018-12-20,5.148062513962962,1.3206672641878678,-20.0,8.309893654602137,14.059980205867328,13.94042156802355
2018-12-21,5.385117847381651,1.3206671506327725,-20.0,8.34909410174177,14.13849806842165,14.385394559851454
2018-12-24,5.570899845481037,1.320667155049941,-20.0,8.0751648882776,14.104588596059534,14.785531643737649
2018-12-25,5.601373729903456,1.3206671594653236,-20.0,7.6348141136907,13.981945055316142,15.142535523255198
2018-12-26,5.53336254746019,1.3206671638789211,-20.0,7.116976059725905,13.791602836776123,15.460429196009516
2018-12-27,5.404406985237003,1.3206437322758486,-20.0,9.590027824007509,13.919221365046996,15.05585830321522
2018-12-28,6.129470650269004,1.32064318029319,-20.0,10.350967738821623,14.49447674669058,15.658218171288256
2018-12-31,6.769505588218054,1.3206431848843962,-20.0,10.419488155061094,14.860890688068691,16.224619691173142
2019-01-01,7.100107463492524,1.320643189473748,-20.0,10.087461970827608,15.042281315811753,16.731476432657402
2019-01-02,7.217168510986261,1.3205426968223024,-20.0,13.121142745403583,14.182226422771526,14.450518743145786
2019-01-03,7.181681083830714,1.3205328837045833,-20.0,16.930164968467285,16.254696293805953,15.540316553473374
2019-01-04,9.482579255415532,1.3204554299005742,-20.0,12.727851017238136,14.510479556384624,14.440088290321398
2019-01-07,7.156329631401702,1.3204523219733901,-20.0,9.879527448031634,13.871587262296352,14.63164557015444
2019-01-08,6.068391230913312,1.3204526715949878,-20.0,6.441291070217467,12.598030357490774,14.464674319844905
2019-01-09,4.4578029644216075,1.32043968252266,-20.0,5.898246218654814,12.1290278686374,14.493335088820077
2019-01-10,4.133146553441738,1.320429859380085,-20.0,6.840380357262187,12.276541885347935,14.75365683887908
2019-01-11,4.578778695757354,1.32042899401883,-20.0,7.334525700720979,12.495213199434964,15.179375204844296
2019-01-14,4.954561621177949,1.320414139440076,-20.0,9.055627513565774,13.067461987344393,15.519995549460935
2019-01-15,5.823867597676337,1.3203739779180712,-20.0,12.302081832867549,14.063333448235376,15.62481208141244
2019-01-16,7.258778072183847,1.320364351404059,-20.0,11.050113359978226,13.802910680380148,15.581691104202196
2019-01-17,6.745287330143517,1.3203584747671937,-20.0,7.82390174219118,12.672452693600384,15.290494809659588
2019-01-18,5.2110729183117055,1.3203579352132555,-20.0,4.173225469074685,11.14310240260042,14.900686046618244
2019-01-21,3.3725248738926146,1.320356378434282,-20.0,2.388360451064285,10.174554005249291,14.81059717927881
2019-01-22,2.4339004624804668,1.320348069016061,-20.0,2.9833398442831696,9.88590243085251,14.73621156265266
2019-01-23,2.510462193624423,1.3203483958582354,-20.0,3.058404702670884,9.660981218234523,14.86992863158585
2019-01-24,2.5050885547016555,1.3203240094347326,-20.0,6.371125652846773,10.110412756081304,14.307166957648722
2019-01-25,3.5611327579350363,1.3203188471407725,-20.0,5.014055469692878,9.381738461099983,13.78860274500448
2019-01-28,2.7015039455903467,1.3203191646754635,-20.0,4.075535617826887,9.049691180175978,13.889795032286832
2019-01-29,2.3155120966924647,1.3203164025488665,-20.0,4.077615463118419,8.983649686839081,14.044546280407468
2019-01-30,2.3454817310213425,1.3203174635332948,-20.0,3.409202576662896,8.663886422349359,14.110841320828031
2019-01-31,2.041175460661479,1.3203094828624764,-20.0,4.626030410642356,8.92413047970567,14.190162351880325
2019-02-01,2.554899138958401,1.320306172755067,-20.0,6.055393552038145,9.510459215141562,14.56621632867784
2019-02-04,3.3443579890746116,1.320306033223535,-20.0,4.701192157765107,8.997095023447793,14.3838839580869
2019-02-05,2.6677323920110747,1.3203048270230984,-20.0,4.214619984418113,8.830598903237593,14.524632167568294
2019-02-06,2.4986301461271414,1.320306107953245,-20.0,2.621773845852536,8.116801746117806,14.366455125372434
2019-02-07,1.6850027922501891,1.320268484595721,-20.0,6.80007635866762,8.258981252737557,12.28642754153659
2019-02-08,2.424486590082424,1.3202594734598028,-20.0,10.760348924897768,10.09944976527273,13.040994459151667
