Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2024-12-17,-7.133461183141256,1.3580245128981887,0.0,-9.27862137501687,-5.892296452361831,-8.968103404099846
2024-12-18,-8.195436593751307,1.3580395849793658,0.0,-13.10651304675151,-7.740452977559198,-8.582369219620524
2024-12-19,-9.991626957207897,1.3580499694458195,0.0,-16.766361583541617,-10.342029759744149,-9.82986437918338
2024-12-20,-12.54073093120203,1.3580209120241307,0.0,-16.20272727597453,-11.39861312153829,-10.546465355285806
2024-12-23,-12.95156165388423,1.3580400128711538,0.0,-17.357633991067615,-12.821590133194782,-11.31480375870417
2024-12-24,-14.087636029580572,1.358039867261341,0.0,-17.718280661401877,-14.154651773496653,-12.35414004349818
2024-12-25,-15.015490310012428,1.3580361049080913,0.0,-17.057790769551893,-14.9909363532734,-13.250730740987969
2024-12-26,-15.379500670580596,1.3580295567171687,0.0,-15.68027622689086,-15.36582606202133,-13.987666043965946
2024-12-27,-15.289411377914073,1.358039706106639,0.0,-15.170596007230154,-15.843250871086545,-14.727203400409907
2024-12-30,-15.528392899983572,1.3579393394213835,0.0,-9.810132535780022,-13.521642933099171,-13.739572055522435
2024-12-31,-12.585159010342593,1.3579392011103573,0.0,-7.106709619429625,-12.566124097360897,-13.85428676231892
2025-01-01,-11.382024046637463,1.3579482978539166,0.0,-6.266615552375308,-12.063716799696811,-14.023560891952206
2025-01-02,-10.98369324879393,1.3579439316253028,10.42187809725447,-5.180646641120575,-11.46933229078448,-14.163767646384926
2025-01-03,-6.922768514564441,1.357946873971384,0.0,-4.725918049702193,-11.069916255411917,-14.34080662730753
2025-01-06,-10.231088918141149,1.3579600913165244,10.85288350209814,-5.776736259576411,-11.159266419910896,-14.533966181433591
2025-01-07,-6.9993655439108755,1.3579738206624064,8.190722979442938,-7.948061277981942,-11.79229060953416,-14.856480270721535
2025-01-08,-8.964689143538484,1.3579719878970333,5.617274389320911,-8.773221312765827,-12.313756131851544,-15.39782237689641
2025-01-09,-10.479191189694099,1.3579567578507563,0.0,-7.582916568641346,-12.005374411462174,-15.53986775046256
2025-01-10,-11.925831340805312,1.3579796689347436,0.0,-10.898401505173627,-11.525065272715638,-13.265385473052527
2025-01-13,-12.116291671504369,1.357991743338805,4.69543221887547,-14.463431712231976,-13.467628710470938,-14.280674223607052
2025-01-14,-12.736555367294251,1.3579755512345382,-0.8091812593279558,-15.026044779225128,-14.530896595799428,-15.106713217527172
2025-01-15,-15.435227051600863,1.3577536357643134,0.6846258416115425,-7.340478268949681,-10.719123477630458,-12.487660719117596
2025-01-16,-10.136354202501762,1.3577306424880276,2.089076395571088,-2.54771100451808,-8.793482024782433,-11.964157483911904
2025-01-17,-7.201495655697659,1.3577305073956631,2.1479351340411603,0.1637966146129672,-7.369728109252951,-11.655743504901926
2025-01-20,-5.673219344329787,1.3577378587876725,2.917933325755384,0.7740027312873735,-6.551024858672779,-11.455776144011512
2025-01-21,-4.85894850658294,1.3577350607313556,3.7429703717740663,1.6508999753004712,-5.661616803682408,-11.213504277586384
2025-01-22,-3.8971471711283487,1.3577430756813265,3.821238147764656,0.9883130523898348,-5.347883510281454,-11.099268921652252
2025-01-23,-3.950223862383823,1.3577450485575344,3.150585260185659,0.2179763434787863,-5.245494620783605,-11.111883777628508
2025-01-24,-4.408865722993874,1.3577420615484246,2.425256866388482,0.4630121801161124,-4.843310008393599,-10.991654276071747
2025-01-27,-4.394585955948921,1.357747556477159,4.516705873062838,4.354170010586676,-2.5473060780874515,-9.31145184371065
2025-01-28,-1.0141990093862645,1.3577497323350867,4.634495540478757,5.806758721526735,-1.3350264399749132,-8.779361699045076
2025-01-29,0.11095073687925305,1.3577514349405213,4.754845432803681,5.808137867842468,-0.6339345144556449,-8.386565567422203
2025-01-30,0.5235802344035297,1.3577593014505975,7.992723841034261,7.238075077623264,0.6114660203951015,-7.632891528258064
2025-01-31,2.7866196732041866,1.357774599235572,7.182393722566523,5.433717724387593,0.6336365422354387,-7.21666187137692
2025-02-03,2.0478925865816304,1.3577744766713973,8.214619965358686,4.348355711580892,0.6601410926824891,-7.03840833354172
2025-02-04,2.0993681576313388,1.3577798722953835,8.270575995525965,5.307365505866228,1.3873530289117268,-6.465225435179566
