,idm
2020-04-23,1.3867504905630728
2020-04-24,1.3867504905630728
2020-04-27,1.3867504905630728
2020-04-28,1.3867504905630728
2020-04-29,1.3867504905630728
2020-04-30,1.3867504905630728
2020-05-01,1.3867504905630728
2020-05-04,1.3867504905630728
2020-05-05,1.3867504905630728
2020-05-06,1.3867504905630728
2020-05-07,1.3867504905630728
2020-05-08,1.3867504905630728
2020-05-11,1.3867504905630728
2020-05-12,1.3867504905630728
2020-05-13,1.3867504905630728
2020-05-14,1.3867504905630728
2020-05-15,1.3867504905630728
2020-05-18,1.3867504905630728
2020-05-19,1.3867504905630728
2020-05-20,1.3867504905630728
2020-05-21,1.3867504905630728
2020-05-22,1.3867504905630728
2020-05-25,1.3867504905630728
2020-05-26,1.3867504905630728
2020-05-27,1.3867504905630728
2020-05-28,1.3867504905630728
2020-05-29,1.3867504905630728
2020-06-01,1.3867504905630728
2020-06-02,1.3867504905630728
2020-06-03,1.3867504905630728
2020-06-04,1.3867504905630728
2020-06-05,1.3867504905630728
2020-06-08,1.3867504905630728
2020-06-09,1.3867504905630728
2020-06-10,1.3867504905630728
2020-06-11,1.3867504905630728
2020-06-12,1.3867504905630728
2020-06-15,1.3867504905630728
2020-06-16,1.3867504905630728
2020-06-17,1.3867504905630728
2020-06-18,1.3867504905630728
2020-06-19,1.3867504905630728
2020-06-22,1.3867504905630728
2020-06-23,1.3867504905630728
2020-06-24,1.3867504905630728
2020-06-25,1.3867504905630728
2020-06-26,1.3867504905630728
2020-06-29,1.3867504905630728
2020-06-30,1.3867504905630728
2020-07-01,1.3867504905630728
2020-07-02,1.3867504905630728
2020-07-03,1.3867504905630728
2020-07-06,1.3867504905630728
2020-07-07,1.3867504905630728
2020-07-08,1.3867504905630728
2020-07-09,1.3867504905630728
2020-07-10,1.3867504905630728
2020-07-13,1.3867504905630728
2020-07-14,1.3867504905630728
2020-07-15,1.3867504905630728
2020-07-16,1.3867504905630728
2020-07-17,1.3867504905630728
2020-07-20,1.3867504905630728
2020-07-21,1.3867504905630728
2020-07-22,1.3867504905630728
2020-07-23,1.3867504905630728
2020-07-24,1.3867504905630728
2020-07-27,1.3867504905630728
2020-07-28,1.3867504905630728
2020-07-29,1.3867504905630728
2020-07-30,1.3867504905630728
2020-07-31,1.3867504905630728
2020-08-03,1.3867504905630728
2020-08-04,1.3867504905630728
2020-08-05,1.3867504905630728
2020-08-06,1.3867504905630728
2020-08-07,1.3867504905630728
2020-08-10,1.3867504905630728
2020-08-11,1.3867504905630728
2020-08-12,1.3867504905630728
2020-08-13,1.3867504905630728
2020-08-14,1.3867504905630728
2020-08-17,1.3867504905630728
2020-08-18,1.3867504905630728
2020-08-19,1.3867504905630728
2020-08-20,1.3867504905630728
2020-08-21,1.3867504905630728
2020-08-24,1.3867504905630728
2020-08-25,1.3867504905630728
2020-08-26,1.3867504905630728
2020-08-27,1.3867504905630728
2020-08-28,1.3867504905630728
2020-08-31,1.3867504905630728
2020-09-01,1.3867504905630728
2020-09-02,1.3867504905630728
2020-09-03,1.3867504905630728
2020-09-04,1.375162916783335
2020-09-07,1.373795865314565
2020-09-08,1.3501528412127928
2020-09-09,1.347954568893981
2020-09-10,1.3390434222871423
2020-09-11,1.3336211665342776
2020-09-14,1.3317367479510265
2020-09-15,1.3271364093834832
2020-09-16,1.328498316424785
2020-09-17,1.3287116687171026
2020-09-18,1.3270244498628212
2020-09-21,1.3312052524739282
2020-09-22,1.3350886356116944
2020-09-23,1.3266269696203778
2020-09-24,1.3244489459122537
2020-09-25,1.3232077550524264
2020-09-28,1.320473781436233
2020-09-29,1.319606276449493
2020-09-30,1.3228956853629643
2020-10-01,1.3150391013217213
2020-10-02,1.3148543509004391
2020-10-05,1.3116671422141861
2020-10-06,1.309003329024785
2020-10-07,1.3002512591469773
2020-10-08,1.2977553091116893
2020-10-09,1.302553901472861
2020-10-12,1.2916797606992223
2020-10-13,1.2747615137494983
2020-10-14,1.2794808589504278
2020-10-15,1.2836731498432796
2020-10-16,1.2739360555388142
2020-10-19,1.2837262093606567
2020-10-20,1.2592297162886303
2020-10-21,1.2556914260705905
2020-10-22,1.253163240367742
2020-10-23,1.2651129286812917
2020-10-26,1.25086650850069
2020-10-27,1.2533722794168045
2020-10-28,1.243429325097277
2020-10-29,1.2482803247865
2020-10-30,1.248594680426933
2020-11-02,1.2480429533633157
2020-11-03,1.2433547912887781
2020-11-04,1.2523354325701879
2020-11-05,1.238828384551156
2020-11-06,1.2423483505139907
2020-11-09,1.2511604376394954
2020-11-10,1.2558210645014654
2020-11-11,1.2423237304114514
2020-11-12,1.2369962634715717
2020-11-13,1.2400645647891009
2020-11-16,1.2331764458424226
2020-11-17,1.241707322100745
2020-11-18,1.243165760844707
2020-11-19,1.2525907909757341
2020-11-20,1.2523423474093922
2020-11-23,1.2460792855096798
2020-11-24,1.2379244263562557
2020-11-25,1.23593547950465
2020-11-26,1.2556100411513722
2020-11-27,1.2547736441900652
2020-11-30,1.2635651095168765
2020-12-01,1.2610240802504624
2020-12-02,1.2540576211498051
2020-12-03,1.2541454325915593
2020-12-04,1.2559049433939102
2020-12-07,1.2545818916513305
2020-12-08,1.2579402691656445
2020-12-09,1.2555438622029984
2020-12-10,1.2555892959801973
2020-12-11,1.2535602334888296
2020-12-14,1.2566660373483305
2020-12-15,1.2595885633856638
2020-12-16,1.2569010924532442
2020-12-17,1.2616785052205648
2020-12-18,1.2735084474724014
2020-12-21,1.2705646289091561
2020-12-22,1.2618542962418084
2020-12-23,1.275596068728276
2020-12-24,1.2720615925469498
2020-12-25,1.2862510206407496
2020-12-28,1.2896858711063308
2020-12-29,1.2804546938123638
2020-12-30,1.2692984853590425
2020-12-31,1.2772697394174273
2021-01-01,1.3353949577606288
2021-01-04,1.334835298477849
2021-01-05,1.3352267033597214
2021-01-06,1.3266592736832243
2021-01-07,1.3273318490978312
2021-01-08,1.3587504511051163
2021-01-11,1.3551687918567397
2021-01-12,1.3761026032800385
2021-01-13,1.3722564456047976
2021-01-14,1.3733248178632784
2021-01-15,1.3720734046671303
2021-01-18,1.3736608320763437
2021-01-19,1.3794930286970821
2021-01-20,1.3867504905630728
2021-01-21,1.3867504905630728
2021-01-22,1.3867504905630728
2021-01-25,1.3829817664191648
2021-01-26,1.3799623608981384
2021-01-27,1.380938073292541
2021-01-28,1.3867504905630728
2021-01-29,1.3867504905630728
2021-02-01,1.3867504905630728
2021-02-02,1.3801537804717134
2021-02-03,1.3867504905630728
2021-02-04,1.3867504905630728
2021-02-05,1.3867504905630728
2021-02-08,1.3867504905630728
2021-02-09,1.384525894991309
2021-02-10,1.384200116786994
2021-02-11,1.3867504905630728
2021-02-12,1.384715230996759
2021-02-15,1.382021756956541
2021-02-16,1.3867504905630728
2021-02-17,1.3867504905630728
2021-02-18,1.3867504905630728
2021-02-19,1.3867504905630728
2021-02-22,1.3867504905630728
2021-02-23,1.3867504905630728
2021-02-24,1.3867504905630728
2021-02-25,1.3867504905630728
2021-02-26,1.3867504905630728
2021-03-01,1.3867504905630728
2021-03-02,1.3867504905630728
2021-03-03,1.3867504905630728
2021-03-04,1.3867504905630728
2021-03-05,1.3867504905630728
2021-03-08,1.3867504905630728
2021-03-09,1.3867504905630728
2021-03-10,1.3867504905630728
2021-03-11,1.3867504905630728
2021-03-12,1.3867504905630728
2021-03-15,1.3867504905630728
2021-03-16,1.3867504905630728
2021-03-17,1.3867504905630728
2021-03-18,1.3867504905630728
2021-03-19,1.3867504905630728
2021-03-22,1.3867504905630728
2021-03-23,1.3867504905630728
2021-03-24,1.3867504905630728
2021-03-25,1.3867504905630728
2021-03-26,1.3867504905630728
2021-03-29,1.3867504905630728
2021-03-30,1.3867504905630728
2021-03-31,1.3867504905630728
2021-04-01,1.3867504905630728
2021-04-02,1.3867504905630728
2021-04-05,1.3867504905630728
2021-04-06,1.3867504905630728
2021-04-07,1.3867504905630728
2021-04-08,1.3867504905630728
2021-04-09,1.3867504905630728
2021-04-12,1.3867504905630728
2021-04-13,1.3867504905630728
2021-04-14,1.3867504905630728
2021-04-15,1.3867504905630728
2021-04-16,1.3867504905630728
2021-04-19,1.3867504905630728
2021-04-20,1.3867504905630728
2021-04-21,1.3867504905630728
2021-04-22,1.3867504905630728
2021-04-23,1.3867504905630728
2021-04-26,1.3867504905630728
2021-04-27,1.3867504905630728
2021-04-28,1.3867504905630728
2021-04-29,1.3867504905630728
2021-04-30,1.3867504905630728
2021-05-03,1.3867504905630728
2021-05-04,1.3867504905630728
2021-05-05,1.3867504905630728
2021-05-06,1.3867504905630728
2021-05-07,1.3867504905630728
2021-05-10,1.3867504905630728
2021-05-11,1.3867504905630728
2021-05-12,1.3867504905630728
2021-05-13,1.3867504905630728
2021-05-14,1.3867504905630728
2021-05-17,1.3867504905630728
2021-05-18,1.3867504905630728
2021-05-19,1.3867504905630728
2021-05-20,1.3867504905630728
2021-05-21,1.3867504905630728
2021-05-24,1.3867504905630728
2021-05-25,1.3867504905630728
2021-05-26,1.3867504905630728
2021-05-27,1.3867504905630728
2021-05-28,1.3867504905630728
2021-05-31,1.3867504905630728
2021-06-01,1.3867504905630728
2021-06-02,1.3867504905630728
2021-06-03,1.3867504905630728
2021-06-04,1.3867504905630728
2021-06-07,1.3867504905630728
2021-06-08,1.3867504905630728
2021-06-09,1.3867504905630728
2021-06-10,1.3867504905630728
2021-06-11,1.3867504905630728
2021-06-14,1.3867504905630728
2021-06-15,1.3867504905630728
2021-06-16,1.3867504905630728
2021-06-17,1.3867504905630728
2021-06-18,1.3867504905630728
2021-06-21,1.3867504905630728
2021-06-22,1.3867504905630728
2021-06-23,1.3867504905630728
2021-06-24,1.3867504905630728
2021-06-25,1.3867504905630728
2021-06-28,1.3867504905630728
2021-06-29,1.3867504905630728
2021-06-30,1.3867504905630728
2021-07-01,1.3867504905630728
2021-07-02,1.3867504905630728
2021-07-05,1.3867504905630728
2021-07-06,1.3867504905630728
2021-07-07,1.3867504905630728
2021-07-08,1.3867504905630728
2021-07-09,1.3867504905630728
2021-07-12,1.3867504905630728
2021-07-13,1.3867504905630728
2021-07-14,1.3867504905630728
2021-07-15,1.3867504905630728
2021-07-16,1.3867504905630728
2021-07-19,1.3867504905630728
2021-07-20,1.3867504905630728
2021-07-21,1.3867504905630728
2021-07-22,1.3867504905630728
2021-07-23,1.3867504905630728
2021-07-26,1.3867504905630728
2021-07-27,1.3867504905630728
2021-07-28,1.3867504905630728
2021-07-29,1.3867504905630728
2021-07-30,1.3867504905630728
2021-08-02,1.3867504905630728
2021-08-03,1.3867504905630728
2021-08-04,1.3867504905630728
2021-08-05,1.3867504905630728
2021-08-06,1.3867504905630728
2021-08-09,1.3867504905630728
2021-08-10,1.3867504905630728
2021-08-11,1.3867504905630728
2021-08-12,1.3867504905630728
2021-08-13,1.3867504905630728
2021-08-16,1.3867504905630728
2021-08-17,1.3867504905630728
2021-08-18,1.3867504905630728
2021-08-19,1.3867504905630728
2021-08-20,1.3867504905630728
2021-08-23,1.3867504905630728
2021-08-24,1.3867504905630728
2021-08-25,1.3867504905630728
2021-08-26,1.3867504905630728
2021-08-27,1.3867504905630728
2021-08-30,1.3867504905630728
2021-08-31,1.3867504905630728
2021-09-01,1.3867504905630728
2021-09-02,1.3867504905630728
2021-09-03,1.3867504905630728
2021-09-06,1.3867504905630728
2021-09-07,1.3867504905630728
2021-09-08,1.3867504905630728
2021-09-09,1.3867504905630728
2021-09-10,1.3867504905630728
2021-09-13,1.3867504905630728
2021-09-14,1.3867504905630728
2021-09-15,1.3867504905630728
2021-09-16,1.3867504905630728
2021-09-17,1.3867504905630728
2021-09-20,1.3867504905630728
2021-09-21,1.3867504905630728
2021-09-22,1.3867504905630728
2021-09-23,1.3867504905630728
2021-09-24,1.3867504905630728
2021-09-27,1.3867504905630728
2021-09-28,1.3867504905630728
2021-09-29,1.3867504905630728
2021-09-30,1.3867504905630728
2021-10-01,1.3867504905630728
2021-10-04,1.3867504905630728
2021-10-05,1.3867504905630728
2021-10-06,1.3867504905630728
2021-10-07,1.3867504905630728
2021-10-08,1.3867504905630728
2021-10-11,1.3867504905630728
2021-10-12,1.3867504905630728
2021-10-13,1.3867504905630728
2021-10-14,1.3867504905630728
2021-10-15,1.3867504905630728
2021-10-18,1.3867504905630728
2021-10-19,1.3867504905630728
2021-10-20,1.3867504905630728
2021-10-21,1.3867504905630728
2021-10-22,1.3867504905630728
2021-10-25,1.3867504905630728
2021-10-26,1.3867504905630728
2021-10-27,1.3867504905630728
2021-10-28,1.3867504905630728
2021-10-29,1.3867504905630728
2021-11-01,1.3867504905630728
2021-11-02,1.3867504905630728
2021-11-03,1.3867504905630728
2021-11-04,1.3867504905630728
2021-11-05,1.3867504905630728
2021-11-08,1.3867504905630728
2021-11-09,1.3867504905630728
2021-11-10,1.3867504905630728
2021-11-11,1.3867504905630728
2021-11-12,1.3867504905630728
2021-11-15,1.3867504905630728
2021-11-16,1.3867504905630728
2021-11-17,1.3867504905630728
2021-11-18,1.3867504905630728
2021-11-19,1.3867504905630728
2021-11-22,1.3867504905630728
2021-11-23,1.3867504905630728
2021-11-24,1.3867504905630728
2021-11-25,1.3867504905630728
2021-11-26,1.3867504905630728
2021-11-29,1.3867504905630728
2021-11-30,1.3867504905630728
