,AD1,RX1
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-20,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,11.987660675150458,5.756411409061533
2020-02-06,12.258191333053874,5.224777524874758
2020-02-07,12.154144483275001,5.07635957802788
2020-02-10,11.277107471588446,4.9955861594662645
2020-02-11,11.274869043213938,5.039781351361404
2020-02-12,11.299527030592682,5.215847153938356
2020-02-13,11.778938834565533,5.523150696950481
2020-02-14,11.47163057983528,5.493003762475005
2020-02-17,11.626109037907671,5.597330950225565
2020-02-18,11.829305113740867,5.578818543876936
2020-02-19,12.050878720041595,5.538949294663127
2020-02-20,12.149475168235375,5.557982052474342
2020-02-21,12.76096496770468,5.552307615288544
2020-02-24,12.481600754167681,5.84520461990057
2020-02-25,12.126014225419668,5.84685665472903
2020-02-26,12.462358776098254,5.888032687752
2020-02-27,12.378065164654133,5.865153153688374
2020-02-28,12.289429627989442,5.94672888481807
2020-03-02,12.174956032623898,6.418172321902811
2020-03-03,12.276355019180293,6.914791350993473
2020-03-04,11.40479586788422,6.724319483691095
2020-03-05,11.405867421002597,6.7399549975274144
2020-03-06,12.004162690443872,6.732982326743748
2020-03-09,11.742873308918165,6.688927256182025
2020-03-10,12.460644402487462,6.676928383648882
2020-03-11,12.529866349968783,6.392036180918121
2020-03-12,12.310758042171797,6.110340591542142
2020-03-13,12.243380621067388,6.4072688378396245
2020-03-16,12.461061191682685,6.407262994534493
2020-03-17,12.949325986383775,6.3634500609693125
2020-03-18,13.251158530690777,6.275637686422359
2020-03-19,12.17880475775004,5.935416741884516
2020-03-20,12.165030810773757,5.949147833290428
2020-03-23,12.053981326305834,5.793333945995899
2020-03-24,12.18408479285187,5.757490388703903
2020-03-25,11.884489256764084,5.7777642142485
2020-03-26,11.841608385179228,6.37910947097308
