Date,proba_buy,proba_sell
2023-09-15,0.5754596084610599,0.4245403915389401
2023-10-06,0.5080591907455259,0.49194080925447414
2023-10-13,0.6547692121870464,0.3452307878129536
2023-11-03,0.4709283859479892,0.5290716140520109
2023-11-10,0.2702798993646953,0.7297201006353047
2023-11-17,0.6501402036998845,0.34985979630011554
2023-12-01,0.4102912954120861,0.5897087045879139
2023-12-08,0.46585397973560005,0.5341460202644
2023-12-15,0.570742647840911,0.429257352159089
2024-01-05,0.42984327054268967,0.5701567294573103
2024-01-12,0.6008852405262265,0.3991147594737735
2024-02-02,0.5439040800378571,0.45609591996214294
2024-02-09,0.38033382651008807,0.6196661734899119
2024-02-16,0.5367598517387292,0.4632401482612708
2024-03-01,0.554054460430524,0.445945539569476
2024-03-08,0.5598410689985817,0.44015893100141834
2024-03-15,0.591194627012912,0.40880537298708797
2024-04-05,0.31651771622154234,0.6834822837784577
2024-04-12,0.5382975014719025,0.4617024985280975
2024-05-03,0.340930962916811,0.659069037083189
2024-05-10,0.37275727119671437,0.6272427288032856
2024-05-17,0.5166771361454693,0.4833228638545307
2024-06-07,0.2299647270267835,0.7700352729732165
2024-06-14,0.6178117955075852,0.38218820449241475
2024-07-05,0.3489584579016827,0.6510415420983173
2024-07-12,0.6579307129307407,0.3420692870692593
2024-08-02,0.5401520644320014,0.45984793556799863
2024-08-09,0.44989260388780894,0.5501073961121911
2024-08-16,0.5248659228738953,0.47513407712610467
2024-09-06,0.5070861158119354,0.4929138841880646
2024-09-13,0.5482266248910056,0.4517733751089944
2024-10-04,0.513575373403098,0.486424626596902
2024-10-11,0.34109131714633995,0.6589086828536601
2024-10-18,0.6587509637176345,0.34124903628236547
2024-11-01,0.4022062466197898,0.5977937533802102
2024-11-08,0.40512758744050725,0.5948724125594927
2024-11-15,0.42794597748209606,0.5720540225179039
2024-12-06,0.3254795415354033,0.6745204584645967
2024-12-13,0.5943420394876684,0.4056579605123316
2025-01-03,0.48640409875871854,0.5135959012412814
2025-02-07,0.3797063938076705,0.6202936061923294
2025-03-07,0.4621331606685863,0.5378668393314137
2025-04-04,0.3706724869417319,0.6293275130582681
2025-05-02,0.5086841152696268,0.49131588473037324
2025-05-09,0.4866797519735845,0.5133202480264155
2025-06-06,0.539741763592581,0.46025823640741903
2025-07-04,0.6732944503252377,0.3267055496747623
2025-08-01,0.652893551988187,0.347106448011813
2025-09-05,0.40369463716097653,0.5963053628390235
2025-10-03,0.62730676166612,0.37269323833388
2025-11-07,0.5632190433230623,0.4367809566769377
2025-12-05,0.6225229447675958,0.37747705523240416
