Date,Close,ret_1w,ATR14,EMA20,ATR_Momentum,ADX14,+DI,-DI,MACD,MACD_signal,MACD_hist,mom_4w,mom_12w,mom_52w
1990-01-05,18.88,,,18.88,,,,,0.0,0.0,0.0,,,
1990-01-12,35.17,0.8628177966101698,,20.43142857142857,,,,,1.2994871794871798,0.25989743589743597,1.0395897435897439,,,
1990-02-02,23.02,-0.34546488484503846,,20.677959183673465,,,,,1.3335641756154573,0.47463078384104024,0.8589333917744171,,,
1990-02-09,23.11,0.003909643788010397,,20.909582118561705,,,,,1.3522448514924221,0.6501535973713166,0.7020912541211055,,,
1990-02-16,34.0,0.47122457810471663,,22.15628858346059,,,,,2.220188459641129,0.9641605698252792,1.25602788981585,0.8008474576271187,,
1990-03-02,23.68,-0.30352941176470594,,22.301403956464345,,,,,2.0516521018130085,1.181658876222825,0.8699932255901834,-0.32669889110036965,,
1990-03-09,27.32,0.15371621621621623,,22.779365484420122,,,,,2.186597666456926,1.3826466342696453,0.8039510321872807,0.18679409209383158,,
1990-03-16,29.15,0.06698389458272325,,23.386092581142016,,,,,2.4133886625003704,1.5887950399157904,0.82459362258458,0.26135871916919085,,
1990-04-06,17.14,-0.41200686106346474,,22.791226621033253,,,,,1.605508233047221,1.5921376785420767,0.01337055450514435,-0.49588235294117644,,
1990-04-13,30.66,0.7887981330221703,,23.54063360950628,,,,,2.0327756090249913,1.6802652646386598,0.35251034438633155,0.2947635135135136,,
1990-05-04,19.43,-0.3662752772341814,,23.149144694315204,,,,,1.4485232613263754,1.633916863976203,-0.18539360264982752,-0.2887994143484627,,
1990-05-11,31.96,0.6448790530108082,,23.98827377104709,,,,,1.9738124674163338,1.7018959846642292,0.27191648275210456,0.09639794168096061,,
1990-05-18,27.29,-0.14612015018773472,,24.302723888090224,,,,,1.990334637801162,1.7595837152916158,0.2307509225095461,0.5921820303383896,0.44544491525423724,
1990-06-08,28.05,0.027849028948332855,,24.659607327319726,,,,,2.041224262600654,1.8159118247534236,0.2253124378472302,-0.08512720156555775,-0.20244526585157807,
1990-06-15,26.4,-0.05882352941176483,12.709285714285715,24.82535901043213,0.12389689120561792,,572.8882144663631,351.86871241499466,1.9262093046788813,1.8379713207385153,0.08823798394036597,0.35872362326299534,0.1468288444830581,
1990-07-06,16.67,-0.3685606060606059,11.934285714285716,24.048658152295737,-0.6182739653069454,,478.03447450323193,447.1989466124012,1.0379644310401268,1.6779699427988377,-0.6400055117587109,-0.4784105131414268,-0.2786672436174815,
1990-07-13,26.58,0.5944811037792439,12.297142857142859,24.28973832826757,0.1862433980114229,,575.3368959107806,434.003252788104,1.1207587388041773,1.5665277019999058,-0.44576896319572845,-0.026016855991205623,-0.21823529411764708,
1990-08-03,20.78,-0.21820917983446186,12.191428571428572,23.95547753509923,-0.26046804246392463,,580.325755800328,442.4419967190063,0.7101758319092966,1.395257327981784,-0.6850814960724874,-0.25918003565062386,-0.12246621621621612,
1990-08-10,38.95,0.8743984600577479,12.83,25.38352729366121,1.0574023932409502,,588.8542478565862,420.42088854247856,1.8298595848331445,1.482177779352056,0.3476818054810884,0.47537878787878807,0.42569546120058566,
1990-08-17,35.53,-0.08780487804878057,12.397857142857143,26.349858027598238,0.7404619899939979,,609.3795010658524,347.56006222273436,2.41343107689789,1.668428438861223,0.745002638036667,1.131373725254949,0.21886792452830206,
1990-09-07,16.58,-0.5333520968195891,13.000714285714285,25.419395358303166,-0.6799161310187657,,581.121916378221,421.1307071040053,1.3314608091207205,1.6010349129131225,-0.269574103792402,-0.37622272385252076,-0.03267211201866993,
1990-09-14,33.89,1.044028950542823,14.017857142857142,26.226119609893342,0.5467226774717916,,607.0828025477707,390.57324840764335,1.8494446641771205,1.6507168631659224,0.19872780101119814,0.6308950914340712,0.10534898891063271,
1990-10-05,19.02,-0.4387724992623193,14.272142857142857,25.539822504189214,-0.4568215557392198,,596.266453130474,347.39002051949353,1.0479853521651528,1.5301705609657685,-0.48218520880061577,-0.5116816431322209,-0.021101389603705667,
1990-10-12,26.9,0.41430073606729745,14.42357142857143,25.669363218075958,0.08532122490834483,,623.4239587976031,343.74288119645416,1.036722525350477,1.4314809538427105,-0.3947584284922334,-0.24289332958063614,-0.15832290362953694,
1990-11-02,23.14,-0.13977695167286242,14.017142857142858,25.428471483021106,-0.16326233571142376,,641.5002038320424,353.70974317162654,0.7161408516312839,1.2884129334004253,-0.5722720817691413,0.3956574185765984,-0.15207035544155367,
1990-11-09,30.76,0.32929991356957644,13.462142857142856,25.936236103685765,0.3583206586904167,,616.5437470154403,368.2920358677774,1.064674972203072,1.2436653411609548,-0.1789903689578829,-0.09235762761876654,0.09661319073083785,
1990-11-16,26.41,-0.14141742522756828,14.195714285714287,25.981356474763313,0.030195277009615003,,653.7184260843313,349.26034014290025,0.9786014202612705,1.190652556981018,-0.2120511367197475,0.38853838065194535,0.00037878787878797837,
1990-12-07,18.46,-0.30102234002271866,14.018571428571429,25.26503681050014,-0.485430119943982,22.044449153393323,661.9790074391115,337.8375624172017,0.2658246895916392,1.0056869835031423,-0.7398622939115032,-0.31375464684014864,0.10737852429514083,
1990-12-14,25.35,0.37323943661971826,15.05,25.273128542833458,0.0051077380173711415,23.075668228360605,705.9800664451827,314.68438538205976,0.2539816705246487,0.8553459209074437,-0.601364250382795,0.09550561797752821,-0.04627539503385991,
