Date,Close,Underlying_ret,Forecast_-20_+20,Strat_ret,Equity_$
2012-04-06,83.98,0.05382233865205999,-12.381328587808751,-0.0024546063630366878,1000000.0
2012-04-13,88.5,0.14655367231638428,-17.530486444311432,-0.01959134850234281,980408.6514976573
2012-05-04,101.47,-0.15590815019217497,-6.2789293592860895,0.03087757816106512,1010681.2962640607
2012-05-11,85.65,0.026036193812025488,5.342630372829374,-0.0018148870307235151,1008847.0238872762
2012-05-18,87.88,0.155666818388712,-9.245387942042504,0.0089822826685796,1017908.7730251872
2012-06-01,101.56,-0.09216226860968879,15.126393934349561,0.00959049632430991,1027671.023371368
2012-06-08,92.2,-0.0644251626898047,-4.788344278474209,-0.011098002185896981,1016265.9281076095
2012-06-15,86.26,-0.0166937166705311,-15.409080602511667,0.0008834323441531579,1017163.7302987606
2012-07-06,84.82,0.013086536194294007,6.828637072519549,-0.0025655396813205633,1014554.1563862792
2012-07-13,85.93,0.2403118817642267,10.86286995235225,0.022290029842145318,1037168.598808602
2012-08-03,106.58,-0.16185025333083125,-10.230421153621636,-0.024480157777108928,1011778.5478683045
2012-08-10,89.33,-0.047464457629015966,-20.0,0.005986212538197867,1017835.2692974336
2012-08-17,85.09,0.010577036079445268,9.089708585263953,-0.002396788329753848,1015395.7336023696
2012-09-07,85.99,0.0009303407372949213,10.138987892439834,9.68184210017641e-05,1015494.0426139887
2012-09-14,86.07,0.12791913558731283,10.649470358522164,0.015018270119807846,1030745.0064510213
2012-10-05,97.08,-0.1186650185414091,-13.784379866820085,-0.014729234440306667,1015562.9216028287
2012-10-12,85.56,0.17893875642823742,12.106758259068982,-0.02918021073630879,985928.5815344767
2012-11-02,100.87,-0.036680876375532856,15.472348521132995,-0.00543009241805631,980574.8982191412
2012-11-09,97.17,-0.11711433570031893,3.854214341853775,-0.020394875353847073,960576.1953948505
2012-11-16,85.79,0.003380347359831948,-6.34716027023747,0.0001549614764372339,960725.0477003194
2012-12-07,86.08,0.00801579925650553,7.7572744552251045,-0.0005955318158169882,960152.9053681616
2012-12-14,86.77,0.11870462141293081,8.677889429626235,0.010928210413700333,970645.6583473507
2013-01-04,97.07,-0.025342536314000186,4.031414683732867,-0.002614390310616969,968108.0117431249
2013-01-11,94.61,-0.015748863756473885,6.309400731636149,-0.0007296951224628723,967401.5880489387
2013-02-01,93.12,0.14841065292096212,11.259008989489793,0.01295132028613198,979930.7158610731
2013-02-08,106.94,-0.12268561810360956,8.211344196737349,-0.02160184569548824,958762.4037447729
2013-02-15,93.82,-0.009592837348113337,-15.799372179481782,-0.0011485360624152335,957661.2305487841
2013-03-01,92.92,0.07188979767541959,7.454461735464389,-0.015255041899613816,943052.0683511266
2013-03-08,99.6,-0.035742971887550046,10.051350152326659,-0.0035740556921489705,939681.5477382435
2013-03-15,96.04,-0.0289462723865056,-0.8872261221319683,-0.004068448604161617,935858.5016569913
2013-04-05,93.26,0.042247480162985074,-0.3369359096777207,-0.0005593698546466416,935335.0106229496
2013-04-12,97.2,-0.06563786008230466,5.83362088135353,0.0003893952722001227,935699.2256540093
2013-05-03,90.82,0.1932393745870955,-0.2252556280598794,0.019786767572996532,954213.6887502581
2013-05-10,108.37,-0.10141182984220731,8.528879658687286,0.0004304427246058718,954624.4230902999
2013-05-17,97.38,-0.026904908605463018,-18.160760667159998,-0.0035402257596385974,951244.8371168955
2013-06-07,94.76,0.03049810046433099,0.6070969288360885,-0.007988028630109894,943646.2661237614
2013-06-14,97.65,-0.02078853046594986,1.9366632724184396,-0.00019196855316674057,943465.1157153525
2013-07-05,95.62,-0.014850449696716228,2.0260789955132044,-0.0004378066205584744,943052.0604414262
2013-07-12,94.2,0.016135881104033967,-5.803213868329512,0.0004970573152365098,943520.8113667176
2013-08-02,95.72,0.08023401587964907,7.178245621436576,-0.008016636404821373,935956.9480816084
2013-08-09,103.4,-0.08510638297872353,5.163689154624959,-0.011649059318189065,925053.9300741346
2013-08-16,94.6,0.018921775898520066,-20.0,0.0017933487339591287,926712.874368477
2013-09-06,96.39,0.00985579416951965,15.46213495437417,-0.003527476143069396,923443.916812667
2013-09-13,97.34,-0.027737826176289282,17.565613079109003,-0.007729254776888259,916306.3835074543
2013-10-04,94.64,0.08844040574809808,12.700745040225513,0.0282123615947178,942157.5505305148
2013-10-11,103.01,-0.043685079118532144,10.857466669004214,-0.010117229887381236,932625.5260016655
2013-10-18,98.51,-0.05024870571515583,-18.13638913733903,-0.00984020652145635,923448.2982186272
2013-11-01,93.56,0.12131252672082082,-4.660445060816458,-0.05491910856926436,872733.340870656
