INSTRUMENT,INSTRUMENT_WEIGHTS,CURRENCY,EXCHANGE,SECTYPE,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,EXCHANGE_RATE,STANDARD_COST
AD1,0.6,USD,CME,Future,0.005,5.0,1000,73890,0.6485,0.002
FV1,0.4,USD,CBT,Future,0.008,7.813,1000,110500,1.0,0.004
