Date,AD1_alpha_forecast,AD1_one_perc_change,AD1_block_value,AD1_price_volatility,AD1_cash_vol_daily,AD1_std_dev,AD1_icv,AD1_ivv,AD1_vol_scalar,AD1_alpha_subsystem_position,AD1_alpha_trades_needed,AD1_alpha_target_pos,AD1_daily_instrument_pnls,AD1_daily_current_pnls,RX1_alpha_forecast,RX1_one_perc_change,RX1_block_value,RX1_price_volatility,RX1_cash_vol_daily,RX1_std_dev,RX1_icv,RX1_ivv,RX1_vol_scalar,RX1_alpha_subsystem_position,RX1_alpha_trades_needed,RX1_alpha_target_pos,RX1_daily_instrument_pnls,RX1_daily_current_pnls,AUM
2024-12-16,,0.637,637.0,0.88,125000.0,0.5619965895395556,560.5600000000001,363.52316,343.8570461370329,,,,,0.0,8.404672615041916,1.6314,1631.3999999999999,0.75,125000.0,1.2212136040215122,1223.55,1383.59034,90.34466083363954,75.93172968237403,84.7398103255294,84.7398103255294,138244.52656506983,0.0,10138244.52656507
2024-12-17,-9.232704515757126,0.6336,633.6,0.93,126728.05658206338,0.5904448887526405,589.248,382.12732800000003,331.63829775101397,-306.19184092437933,-571.6637757847711,-227.80672964773828,362206.16833723173,-116911.39568659237,8.019115858852254,1.6334,1633.3999999999999,0.74,126728.05658206338,1.2035112518435158,1208.716,1366.8160527999999,92.71771159144188,74.35140714194212,-7.368490463232121,82.97617037040742,12035.692322643306,18068.93216672945,10512486.387224944
2024-12-18,-13.426369067862538,0.6241,624.1,1.15,131406.0798403118,0.7185507404868152,717.7149999999999,465.43817749999994,282.32767785859556,-379.0635601002107,-613.6615864655707,-282.02328871455677,382986.1961131618,-315056.3828634642,8.759681600080548,1.6338,1633.8,0.72,131406.0798403118,1.1765115100643988,1176.336,1330.2007488000002,98.78665303628478,86.53396269354849,3.8541907745582336,96.57190236600012,6296.976887473273,3708.7084636569375,10901769.56022558
2024-12-19,-14.471032278998424,0.6243500000000001,624.35,1.31,136272.11950281975,0.8161330569546732,817.8985,530.40717725,256.9198256504546,-371.78950901023757,-558.9390725622123,-276.6113947036168,348973.6099542171,7058.191946466494,9.031464441721644,1.6356000000000002,1635.6000000000001,0.72,136272.11950281975,1.1830381791447253,1177.632,1331.6662656,102.3320354529072,92.420813944193,4.354975325434609,103.14162836171938,7122.997642280893,17781.597546531935,11257866.167822078
2024-12-20,-16.08262117802845,0.62675,626.75,1.4,140723.32709777597,0.8774143832805217,877.4499999999999,569.0263249999999,247.30547764688387,-397.7320312246216,-552.8324568815731,-295.9126312311185,346487.7423505266,61660.75815610778,9.940548125709691,1.6336000000000002,1633.6000000000001,0.71,140723.32709777597,1.1616558583823875,1159.856,1311.5651648,107.29419389484532,106.65630980209369,16.696406286229347,119.02844173913655,27275.249309184284,-20466.407090580276,11631629.159481788
2024-12-23,-16.222413139758903,0.6249,624.9,1.48,145395.36449352236,0.9267258674068106,924.852,599.7665219999999,242.41994036059648,-393.263642584531,-539.893627729775,-292.5881500828911,337379.5279683384,-45751.51336467232,8.511350251505814,1.6336000000000002,1633.6000000000001,0.69,145395.36449352236,1.1258207376461755,1127.184,1274.6196672,114.06960698552318,97.0886378105402,1.0567259017175559,108.35091979656288,1726.2674330458005,0.0,11970734.954883173
2024-12-24,-16.628563463960212,0.6249,624.9,1.52,149634.18693603968,0.9487451361250526,949.848,615.9764279999999,242.92193683755653,-403.9442843491443,-542.9544879163599,-300.5345475557634,339292.2594989353,0.0,7.773999396167477,1.6336000000000002,1633.6000000000001,0.67,149634.18693603968,1.0965532362730477,1094.5120000000002,1237.6741696000001,120.89949892417927,93.98726316335203,-9.179821295222325,104.88978569030085,14996.156067875203,0.0,12325023.370449984
2024-12-25,-16.903083879777416,0.6229,622.9,1.59,154062.79213062482,0.9877330948461308,990.4110000000001,642.2815335,239.86800817872933,-405.45090623201975,-544.5774110741793,-301.6554742366227,339217.269358107,-48584.387367512,7.255421377086454,1.6336000000000002,1633.6000000000001,0.63,154062.79213062482,1.0339192424850936,1029.1680000000001,1163.7831744000002,132.38101007092956,96.04800103889195,-13.709929764775836,107.18956915940343,22396.541263737825,0.0,12686637.181071829
2024-12-26,-17.433442458638186,0.6222500000000001,622.2500000000001,1.62,158582.96476339787,1.007609051164037,1008.0450000000003,653.7171825000001,242.58650224999684,-422.91178282176224,-554.5143745981204,-314.64636641939114,345046.569593681,-15591.42053161686,6.831992214542767,1.6373,1637.3,0.59,158582.96476339787,0.9716269860296236,966.007,1092.3607156,145.1745403314812,99.18313292945047,-21.692633721662844,110.68837634926672,35517.3491924788,48980.97372624078,13067201.09985799
2024-12-27,-17.90742020746474,0.62195,621.95,1.65,163340.01374822488,1.025003780474849,1026.2175,665.50204875,245.43878423067724,-439.5175444428008,-569.5875553154406,-327.0010530654438,354254.9800284373,-7277.595067500181,8.718771208777873,1.6354,1635.3999999999999,0.56,163340.01374822488,0.9228566157938026,915.824,1035.6137792,157.72290503357652,137.51499233715538,8.29219111678421,153.46673144826542,13561.04935238893,-27583.1626629811,13435017.129238816
