Date,AD1_alpha_forecast,AD1_one_perc_change,AD1_ block_value,AD1_ price_volatility,AD1_cash_vol_daily,AD1_std_dev,AD1_icv,AD1_ivv,AD1_vol_scalar,AD1_alpha_subsystem_position,AD1_alpha_trades_needed,AD1_alpha_target_pos,AD1_daily_instrument_pnls,AD1_daily_current_pnls,RX1_alpha_forecast,RX1_one_perc_change,RX1_ block_value,RX1_ price_volatility,RX1_cash_vol_daily,RX1_std_dev,RX1_icv,RX1_ivv,RX1_vol_scalar,RX1_alpha_subsystem_position,RX1_alpha_trades_needed,RX1_alpha_target_pos,RX1_daily_instrument_pnls,RX1_daily_current_pnls,AUM
2024-12-19,-14.471032278998424,0.6243500000000001,624.35,1.31,124930.96625,0.8161330569546732,817.8985,530.40717725,235.53785018092907,-340.84758328941194,1.4596393350804746,-25.359060196732248,-624.3499999999997,633.9765049184504,9.031464441721644,1.6356000000000002,1635.6000000000001,0.72,124930.96625,1.1830381791447253,1177.632,1331.6662656,93.81552231009672,84.72915538251821,0.1815821080371931,6.3038491604593565,-1635.6000000000108,-1134.6928488827273,9992217.35
2024-12-20,-16.08262117802845,0.62675,626.75,1.4,124902.716875,0.8774143832805217,877.4499999999999,569.0263249999999,219.502528068451,-353.01760065444546,-0.9054492919584938,-26.26450948869074,-626.7500000000013,6303.482277285643,9.940548125709691,1.6336000000000002,1633.6000000000001,0.71,124902.716875,1.1616558583823875,1159.856,1311.5651648,95.23180412773951,94.66563320299534,0.7392739498434979,7.043123110302854,-1633.6000000000013,1408.6246220604908,9989957.0
2024-12-23,-16.222413139758903,0.6249,624.9,1.48,124874.46250000001,0.9267258674068106,924.852,599.7665219999999,208.2051230261899,-337.7589523545182,1.1352434335145816,-25.12926605517616,-624.9000000000037,-4648.914220207468,8.511350251505814,1.6336000000000002,1633.6000000000001,0.69,124874.46250000001,1.1258207376461755,1127.184,1274.6196672,97.96997936985858,83.38568085496652,-0.8392284546933446,6.20389465560951,-1633.6000000000013,0.0,9987698.5
2024-12-24,-16.628563463960212,0.6249,624.9,1.52,124846.23125000001,0.9487451361250526,949.848,615.9764279999999,202.68020913618471,-337.0280720509776,0.05437749458342367,-25.074888560592736,-624.9000000000037,0.0,7.773999396167477,1.6336000000000002,1633.6000000000001,0.67,124846.23125000001,1.0965532362730477,1094.5120000000002,1237.6741696000001,100.87164644499987,78.41761185538482,-0.36962433356887914,5.834270322040631,-1633.6000000000013,0.0,9985440.0
2024-12-25,-16.903083879777416,0.6229,622.9,1.59,124818.0,0.9877330948461308,990.4110000000001,642.2815335,194.33533970660235,-328.4866547865738,0.6354814444716439,-24.439407116121092,-622.9000000000013,-4887.881423224288,7.255421377086454,1.6336000000000002,1633.6000000000001,0.63,124818.0,1.0339192424850936,1029.1680000000001,1163.7831744000002,107.25193725571015,77.81579982990145,-0.04477481469596256,5.789495507344668,-1633.6000000000013,0.0,9983183.5
2024-12-26,-17.433442458638186,0.6222500000000001,622.2500000000001,1.62,124789.79375000001,1.007609051164037,1008.0450000000003,653.7171825000001,190.8926323043375,-332.79157210556446,-0.32028584853290454,-24.759692964653997,-622.250000000001,-1609.3800427024535,6.831992214542767,1.6373,1637.3,0.59,124789.79375000001,0.9716269860296236,966.007,1092.3607156,114.23863195360045,78.04774441070148,0.017256676811522098,5.80675218415619,-1637.3000000000104,-2148.4983081376517,9980923.95
2024-12-27,-17.90742020746474,0.62195,621.95,1.65,124761.549375,1.025003780474849,1026.2175,665.50204875,187.46982012953572,-335.71008452774277,-0.21713732421006426,-24.97683028886406,-621.9499999999982,-749.3049086659503,8.718771208777873,1.6354,1635.3999999999999,0.56,124761.549375,0.9228566157938026,915.824,1035.6137792,120.47111759306341,105.03601115596948,2.0079270458479392,7.8146792300041295,-1635.4000000000042,1484.7890537007668,9978666.6
2024-12-30,-18.162782018798936,0.62245,622.4499999999999,1.64,124733.3325,1.023269148361161,1020.8179999999999,662.0004729999998,188.41879664336741,-342.2209531677887,-0.48440862681941965,-25.46123891568348,-622.4500000000006,1273.0619457841017,7.763321302510844,1.6354,1635.3999999999999,0.5,124733.3325,0.8241264061504453,817.6999999999999,924.6551599999999,134.89713559809692,104.72498064363997,-0.02314067011731602,7.791538559886813,-1635.4000000000042,0.0,9976408.75
2024-12-31,-18.011067594350088,0.62245,622.4499999999999,1.66,124705.109375,1.0329878992455863,1033.2669999999998,670.0736494999999,186.1065712225116,-335.19780340413854,0.5225223424155736,-24.938716573267907,-622.4500000000006,0.0,7.240967180607876,1.6354,1635.3999999999999,0.45,124705.109375,0.7287031860191797,735.93,832.1896439999999,149.8517919252069,108.50719072857035,0.28139643031882144,8.072934990205635,-1635.4000000000042,0.0,9974150.9
2025-01-01,-17.78028893520707,0.619,619.0,1.7,124676.88625000001,1.0516642366528006,1052.3,682.4165499999999,182.6990952227053,-324.844270126061,0.7703028758889658,-24.16841369737894,-618.9999999999998,-8338.102725595707,6.817484431658543,1.6463999999999999,1646.3999999999999,0.4,124676.88625000001,0.6517609479821411,658.56,744.6996479999999,167.41902132603133,114.13765714537283,0.4189067014101049,8.49184169161574,-1646.3999999999999,-9341.025860777265,9971885.5
2025-01-02,-18.082999823905183,0.6193500000000001,619.35,1.67,124648.56875,1.0346928690781774,1034.3145,670.7529532499999,185.83379789241357,-336.0432534564146,-0.833204359778307,-25.00161805715725,-619.3499999999972,875.0566320005961,10.07854451758647,1.6481999999999999,1648.1999999999998,0.38,124648.56875,0.6207656562514628,626.3159999999999,708.2381327999999,175.9981042777312,177.38047289739396,4.705265491950371,13.19710718356611,-1648.2000000000028,-2375.47929304199,9969617.95
2025-01-03,-18.21608348502788,0.6217,621.7,1.56,124620.22437499999,0.9703434958755296,969.8520000000001,628.949022,198.14042158571,-360.9342461363914,-1.8518898553902723,-26.85350791254752,-621.699999999997,6310.574359448652,13.070845137605636,1.6397,1639.7,0.31,124620.22437499999,0.5105790829845609,508.307,574.7935556,216.8086666262547,283.38725059625426,7.886904260795209,21.08401144436132,-1639.7000000000048,17921.409727707003,9967356.549999999
2025-01-06,-17.0855669867429,0.6242,624.1999999999999,1.47,124591.95687499999,0.9206724444600152,917.5739999999998,595.0467389999999,209.38179929257626,-357.7406757618069,0.23760163586908334,-26.615906276678437,-624.2000000000019,6653.976569169609,6.764840022518676,1.6396000000000002,1639.6000000000001,0.29,124591.95687499999,0.4729894290376759,475.484,537.6773072,231.72255032265195,156.7565982542774,-9.42132053424308,11.66269091011824,-1639.6000000000015,116.62690910107632,9965092.749999998
2025-01-07,-15.355959081293877,0.624,624.0,1.36,124563.65937499999,0.8513179488228914,848.6400000000001,550.3430400000001,226.33821148169687,-347.5640314046177,0.7571423401748767,-25.85876393650356,-624.0000000000023,-517.1752787301521,4.979517073494592,1.6374000000000002,1637.4,0.28,124563.65937499999,0.4627083314372061,458.4720000000001,518.4401376000001,240.26623392170006,119.6409813997351,-2.7614018939779488,8.901289016140291,-1637.4000000000137,1958.283583550854,9962831.349999998
2025-01-08,-14.330920650787927,0.62115,621.15,1.31,124535.39187499997,0.812963355050346,813.7065,527.68866525,236.00164277926942,-338.21208161253077,0.6957850645312682,-25.162978871972292,-621.1500000000001,-7171.448978512018,2.74069538142839,1.6396000000000002,1639.6000000000001,0.27,124535.39187499997,0.4494441010642225,442.69200000000006,500.5961136000001,248.77418839593633,68.18142691553388,-3.8285908536245703,5.072698162515721,-1639.6000000000015,-1115.9935957534528,9960570.599999998
2025-01-09,-14.24070743973419,0.61985,619.85,1.21,124507.13249999998,0.7499995555474805,750.0185,486.38699725,255.98367802584175,-364.53886681131263,-1.9587128187893725,-27.121691690761665,-619.8499999999996,-3525.8199197990857,3.055254727555943,1.6421000000000001,1642.1000000000001,0.28,124507.13249999998,0.4679572629861004,459.78800000000007,519.9282704000001,239.4698261054588,73.16413183157026,0.37071324575310705,5.443411408268828,-1642.0999999999992,-1360.8528520672069,9958308.649999999
2025-01-10,-14.665047103164293,0.6149,614.9,1.23,124478.85812499998,0.7541834436360868,756.327,490.4780595,253.79087955921094,-372.18552030893244,-0.5689110202229131,-27.690602710984578,-614.8999999999986,-13706.848341937295,4.467565080245449,1.6441,1644.1,0.3,124478.85812499998,0.4875106836246121,493.22999999999996,557.7444839999999,223.18258933242987,99.7082742620324,1.974884196826383,7.418295605095211,-1644.1000000000088,-1483.6591210189579,9956049.649999999
2025-01-13,-15.757219936203771,0.6156,615.6,1.12,124450.62062499998,0.687110374433999,689.4720000000001,447.12259200000005,278.3366862951984,-438.5812382267595,-4.939841413086334,-32.63044412407091,-615.6000000000006,2284.1310886849733,6.012259557872533,1.6457,1645.7,0.32,124450.62062499998,0.519237582083733,526.624,595.5064192000001,208.98283647754164,125.64590560434124,1.9297597718677784,9.34805537696299,-1645.700000000005,-1495.6888603140465,9953788.349999998
2025-01-14,-16.48665489131644,0.6187,618.7,1.04,124422.35437499998,0.6455389866782075,643.4480000000001,417.27602800000005,298.17757557594456,-491.59507848500243,-3.944229715213268,-36.57467383928418,-618.700000000004,11338.14889017792,7.356614302953905,1.6488999999999998,1648.8999999999999,0.35,124422.35437499998,0.5705590825218624,577.1149999999999,652.6016419999999,190.65590149863584,140.25819319074353,1.0871541964283296,10.435209573391319,-1648.8999999999976,-3339.2670634851506,9951520.749999998
2025-01-15,-15.33722582456834,0.62295,622.95,0.95,124394.00937499998,0.5908309825899576,591.8025,383.78392125,324.1251195981415,-497.1180154691918,-0.4109065116236934,-36.985580350907874,-622.950000000003,15718.871649136005,9.404696548133453,1.6459000000000001,1645.9,0.35,124394.00937499998,0.5723903097085269,576.0649999999999,651.4143019999999,190.95989908892113,179.5919903793489,2.926434510832241,13.36164408422356,-1645.9000000000117,4008.49322526684,9949251.899999999
2025-01-16,-12.7467126491272,0.6213000000000001,621.3000000000001,0.86,124365.64875,0.5332356420835321,534.3180000000001,346.50522300000006,358.9142110853549,-457.49763143932034,2.9477565718224383,-34.037823779085436,-621.2999999999979,-5616.240923549068,7.745788207526934,1.6430000000000002,1643.0000000000002,0.33,124365.64875,0.5462700797056222,542.19,613.108452,202.84445328442476,157.11901742127455,-1.6719891880807332,11.689654896142827,-1643.0000000000007,3389.9999198813266,9946987.599999998
2025-01-17,-11.980960712977124,0.6213000000000001,621.3000000000001,0.75,124337.34499999997,0.4681224020719281,465.975,302.18478749999997,411.46129832892393,-492.9701650189398,-2.639156498323686,-36.67698027740912,-621.2999999999979,0.0,4.883200428682144,1.6407,1640.7,0.32,124337.34499999997,0.5300226410084805,525.024,593.6971392,209.42891045010438,102.26833452883842,-4.080890807197247,7.60876408894558,-1640.7000000000096,1750.0157404576216,9944725.599999998
2025-01-20,-11.396453936389232,0.62,620.0,0.59,124309.06999999998,0.3667132167261178,365.79999999999995,237.22129999999996,524.0215360087817,-597.1987296800012,-7.754605210782962,-44.431585488192084,-619.9999999999974,-5776.1061134650845,2.1062584128022306,1.6413,1641.3,0.31,124309.06999999998,0.5078936896454073,508.803,575.3544324000001,216.0565088226823,45.5070839348454,-4.223037044193082,3.385727044752498,-1641.300000000001,-203.14362268515757,9942464.299999997
2025-01-21,-11.37141125268791,0.6267,626.7,0.47,124280.80374999996,0.2964465943835865,294.549,191.01502649999998,650.6336492328261,-739.8622800263557,-10.614168145768787,-55.04575363396087,-626.6999999999996,36880.654934753875,1.4188823206211467,1.6447,1644.7,0.31,124280.80374999996,0.5031623329652005,509.857,576.5462956,215.56083995069895,30.585546482429134,-1.1101623864597698,2.275564658292728,-1644.7000000000003,-773.6919838195353,9940192.899999997
2025-01-22,-7.43045356585109,0.62795,627.95,0.51,124252.41124999996,0.317556687834295,320.2545,207.68504325,598.2732762341082,-444.54417987471436,21.97166665128212,-33.07408698267875,-627.9499999999985,4134.260872834844,3.203620284283002,1.6457,1645.7,0.3,124252.41124999996,0.5004747745707833,493.71,558.287268,222.5599944185006,71.29977125890203,3.029138323369583,5.304702981662311,-1645.700000000005,-530.470298166201,9937919.249999996
2025-01-23,-5.356611285229849,0.62895,628.95,0.55,124223.99062499996,0.3436232190276844,345.92250000000007,224.33074125000005,553.7537563189411,-296.624362033646,11.005234447375486,-22.068852535303265,-628.9500000000032,2206.8852535303577,4.472033754722936,1.6532,1653.2,0.33,124223.99062499996,0.5532018920024147,545.556,616.9147248,201.36330943514537,90.05035167566896,1.3950431830074592,6.6997461646697705,-1653.1999999999982,-5024.809623502328,9935637.099999996
