Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,ret_pct_for_sig,ret_net_for_var,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,current_position,trades,strategy_ret,cumulative_pnl_usd,pdm_used,eff_multiplier
2017-01-02,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.5756596216396209,8546,0.002,,0.6485,,,,,68.285,68.285,0.0,,,,,0.84,0.68285,682.8499999999999,573.5939999999999,884.4934464148033,10000000.0,125000.0,141.32382835245838,0.0,0.0,0,0,0,0.0,0.0,1.6,0.8
2017-01-03,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.5590872024883597,8547,0.002,,0.6485,-0.010910155963974377,-0.7449999999999903,0.5550249999999856,0.7449999999999903,68.26207692307693,68.27920233463036,-0.01712541155342251,-0.022987129601909708,-0.04298593235557115,-0.04298593235557115,,0.83,0.6754000000000001,675.4000000000001,560.582,864.4286815728605,10000000.0,125000.0,144.6041792280166,-0.6215945466628409,-0.4972756373302727,0,0,0,-0.0,0.0,1.6,0.8
2017-01-04,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.5896780901358368,8548,0.002,,0.6485,0.015472312703582958,1.0449999999999875,0.5840520270270119,0.7642329664618059,68.27201301775148,68.281582082999,-0.009569065247518438,-0.012521136443276779,-0.023414525148927577,-0.023414525148927577,-0.0006650917872604613,0.86,0.68585,685.8499999999999,589.8309999999999,909.5312259059367,10000000.0,125000.0,137.4334343227128,-0.32179386042526453,-0.2574350883402116,0,0,0,0.0,0.0,1.6,0.8
2017-01-05,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.5772185461211865,8549,0.002,,0.6485,-0.01210177152438574,-0.8299999999999983,0.5897194850255517,0.7679319533822979,68.25610492489758,68.2774841679562,-0.021379243058618158,-0.02784002275781716,-0.05206084255711809,-0.05206084255711809,0.00028335723370430556,0.85,0.67755,677.55,575.9174999999999,888.0763299922897,10000000.0,125000.0,140.75366697487055,-0.7327754495715768,-0.5862203596572615,-1,-1,-1,-0.0,0.0,1.6,0.8
2017-01-06,67.705,69.045,67.32,69.0,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69.0,69.255,0.6339311871064877,8550,0.002,,0.6485,0.018375027673234623,1.2450000000000045,0.6416278912403873,0.8010167858668052,68.2789940041315,68.28310685925616,-0.004112855124660086,-0.005134542992391149,-0.00960159539577145,-0.00960159539577145,-0.0009566194226789557,0.92,0.6900000000000001,690.0000000000001,634.8000000000002,978.8743253662301,9998080.185042406,125000.0,127.69770006301192,-0.1226101648975619,-0.09808813191804952,0,0,1,-0.00019198149575944557,-1919.814957594499,1.6,0.8
2017-01-09,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.7222159187663528,8551,0.002,,0.6485,0.007536231884057942,0.519999999999996,0.6215615187409067,0.7883917292443565,68.31717880400439,68.2927324868106,0.0244463171937781,0.031007830608787545,0.05798464323843271,0.05798464323843271,-7.235984935943674e-05,1.04,0.6951999999999999,695.1999999999999,723.0079999999999,1114.8928296067847,9998080.185042406,124976.00231303007,112.09687513831106,0.6499897313038104,0.5199917850430483,1,1,1,0.0,-1919.814957594499,1.6,0.8
2017-01-10,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.7499626657282047,8552,0.002,,0.6485,-0.00589758342922897,-0.4099999999999966,0.5970500852954521,0.7726901612518773,68.34157330234271,68.299092545279,0.042480757063714236,0.054977737771228836,0.10280836963219793,0.10280836963219793,-0.0003419692711127344,1.09,0.6911,691.1,753.2990000000001,1161.602158828065,9997447.956823438,124976.00231303007,107.58933371742161,1.1061083989302576,0.8848867191442061,1,1,0,-6.323496183924232e-05,-2552.043176561594,1.6,0.8
2017-01-11,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.7965732860108475,8553,0.002,,0.6485,0.0025321950513672586,0.17499999999999716,0.5664325131173195,0.752617109237705,68.37060181611677,68.30676497683325,0.06383683928352468,0.08481980877126538,0.15861304240226629,0.15861304240226629,0.00026033084482178753,1.15,0.69285,692.8499999999999,796.7774999999998,1228.646877409406,9997717.810331535,124968.09946029299,101.71197417095742,1.6132845671996283,1.2906276537597028,1,1,0,2.699223934558429e-05,-2282.1896684654057,1.6,0.8
2017-01-12,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.8876954244856439,8554,0.002,,0.6485,0.008587717399148431,0.5949999999999989,0.5549510259217887,0.7449503513132864,68.41704483715932,68.3190080509435,0.0980367862158289,0.1316017719073467,0.24609531346673835,0.24609531346673835,0.0013621239839698102,1.27,0.6988,698.8,887.476,1368.5057825751735,9998635.31225906,124971.47262914419,91.3196525877883,2.2473338529265403,1.7978670823412324,2,2,1,9.177113666650197e-05,-1364.6877409406006,1.6,0.8
2017-01-13,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.9648293458704054,8555,0.002,,0.6485,0.0,0.0,0.5249536731692596,0.7245368680538344,68.4620588421698,68.33115584821242,0.1309029939573776,0.18067126702467715,0.3378552693361463,0.3378552693361463,0.0,1.38,0.6988,698.8,964.3439999999998,1487.0377794911333,9998635.31225906,124982.94140323825,84.04826234206881,2.839614831081474,2.271691864865179,2,2,0,0.0,-1364.6877409406006,1.6,0.8
