Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,ret_pct_for_sig,ret_net_for_var,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,current_position,trades,strategy_ret,cumulative_pnl_usd,pdm_used,eff_multiplier
2017-01-02,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.5756596216396209,8546,0.002,,0.6485,,,,,68.285,68.285,0.0,,,,,0.84,0.68285,682.8499999999999,573.5939999999999,884.4934464148033,10000000.0,125000.0,141.32382835245838,0.0,0.0,0,0,0,0.0,0.0,1.6,0.8
2017-01-03,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.5590872024883597,8547,0.002,,0.6485,-0.010910155963974377,-0.7449999999999903,0.5550249999999856,0.7449999999999903,67.78833333333334,68.11944444444444,-0.3311111111110989,-0.4444444444444339,-4.7111111111109985,-4.7111111111109985,,0.83,0.6754000000000001,675.4000000000001,560.582,864.4286815728605,10000000.0,125000.0,144.6041792280166,-68.12463554741952,-54.49970843793562,-54,-54,-54,-0.0,0.0,1.6,0.8
2017-01-04,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.5896780901358368,8548,0.002,,0.6485,0.015472312703582958,1.0449999999999875,0.5840520270270119,0.7642329664618059,68.31944444444444,68.2229012345679,0.0965432098765433,0.1263269370902861,1.3390655331570327,1.3390655331570327,-0.07289178429243352,0.86,0.68585,685.8499999999999,589.8309999999999,909.5312259059367,9912983.808789516,125000.0,137.4334343227128,18.403237500494548,14.72259000039564,15,15,69,-0.00870161912104847,-87016.19121048413,1.6,0.8
2017-01-05,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.5772185461211865,8549,0.002,,0.6485,-0.01210177152438574,-0.8299999999999983,0.5897194850255517,0.7679319533822979,67.94314814814814,68.1189231824417,-0.1757750342935651,-0.22889402312194113,-2.426276645092576,-2.426276645092576,-0.016205065138446186,0.85,0.67755,677.55,575.9174999999999,888.0763299922897,9893785.65921357,123912.29760986895,139.52888217496434,-33.853566813698976,-27.08285345095918,-27,-27,-42,-0.0019366670970371283,-106214.34078642912,1.6,0.8
2017-01-06,67.705,69.045,67.32,69.0,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69.0,69.255,0.6339311871064877,8550,0.002,,0.6485,0.018375027673234623,1.2450000000000045,0.6416278912403873,0.8010167858668052,68.64771604938272,68.31471803078799,0.3329980185947363,0.41571915154610495,4.406623006388712,4.406623006388712,-0.04458290049649894,0.92,0.6900000000000001,690.0000000000001,634.8000000000002,978.8743253662301,9841950.655358521,123672.32074016964,126.34136735979834,55.673877606629524,44.539102085303625,45,45,72,-0.005239147646864479,-158049.34464147873,1.6,0.8
2017-01-09,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.7222159187663528,8551,0.002,,0.6485,0.007536231884057942,0.519999999999996,0.6215615187409067,0.7883917292443565,69.22923868312758,68.58255846839066,0.646680214736918,0.8202524084781259,8.694675529868134,8.694675529868134,0.03320933280176988,1.04,0.6951999999999999,695.1999999999999,723.0079999999999,1114.8928296067847,9878033.92444102,123024.38319198153,110.34637583539882,95.94259337856744,76.75407470285396,77,77,32,0.003666272098494215,-121966.07555898093,1.6,0.8
2017-01-10,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.7499626657282047,8552,0.002,,0.6485,-0.00589758342922897,-0.4099999999999966,0.5970500852954521,0.7726901612518773,69.14974622770919,68.69976769763718,0.44997853007200206,0.5823531250132231,6.172943125140165,6.172943125140165,-0.051277574327472916,1.09,0.6911,691.1,753.2990000000001,1161.602158828065,9829352.351580571,123475.42405551275,106.29751599298551,65.61685205683766,52.493481645470126,52,52,-25,-0.004928265405122264,-170647.64841942862,1.6,0.8
2017-01-11,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.7965732860108475,8553,0.002,,0.6485,0.0025321950513672586,0.17499999999999716,0.5664325131173195,0.752617109237705,69.2399154092364,68.82981932038447,0.4100960888519296,0.5448933910993587,5.775869945653202,5.775869945653202,0.015631096033851467,1.15,0.69285,692.8499999999999,796.7774999999998,1228.646877409406,9843384.734001543,122866.90439475715,100.00180414231079,57.75974150566708,46.207793204533665,46,46,-6,0.001427599898656072,-156615.26599845663,1.6,0.8
2017-01-12,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.8876954244856439,8554,0.002,,0.6485,0.008587717399148431,0.5949999999999989,0.5549510259217887,0.7449503513132864,69.66663846974546,69.06319280474348,0.6034456650019848,0.8100481648718731,8.586510547641854,8.586510547641854,0.04960153882750451,1.27,0.6988,698.8,887.476,1368.5057825751735,9885589.822667696,123042.3091750193,89.90996657937794,77.20128763719552,61.76103010975642,62,62,16,0.004287660170425475,-114410.17733230442,1.6,0.8
2017-01-13,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.9648293458704054,8555,0.002,,0.6485,0.0,0.0,0.5249536731692596,0.7245368680538344,69.80887948991514,69.24470551480047,0.5641739751146702,0.7786684156323029,8.25388520570241,8.25388520570241,0.0,1.38,0.6988,698.8,964.3439999999998,1487.0377794911333,9885589.822667696,123569.8727833462,83.09800496503324,68.58813938042734,54.87051150434187,55,55,-7,0.0,-114410.17733230442,1.6,0.8
