entry_date,exit_date,side,entry_price,min_price,max_price,MAE,MFE,edge_ratio
2017-01-03,2017-02-06,short,163.21,161.43,163.9,0.6899999999999977,1.7800000000000011,2.5797101449275464
2017-02-06,2017-03-03,long,163.19,160.71,166.21,2.4799999999999898,3.0200000000000102,1.21774193548388
2017-03-03,2017-03-29,short,160.71,159.01,161.3,0.5900000000000034,1.700000000000017,2.881355932203402
2017-03-29,2017-04-24,long,161.15,161.15,163.68,0.0,2.530000000000001,
2017-04-24,2017-05-19,short,161.35,160.29,162.01,0.6599999999999966,1.0600000000000023,1.6060606060606177
2017-05-19,2017-05-22,long,161.3,160.99,161.3,0.3100000000000023,0.0,0.0
2017-05-22,2017-05-25,short,160.99,160.8,161.31,0.3199999999999932,0.18999999999999773,0.5937500000000056
2017-05-25,2017-06-28,long,161.31,161.31,165.46,0.0,4.150000000000006,
2017-06-28,2017-07-21,short,163.45,160.49,163.45,0.0,2.9599999999999795,
2017-07-21,2017-07-26,long,162.48,161.6,162.54,0.8799999999999955,0.060000000000002274,0.06818181818182112
2017-07-26,2017-07-27,short,161.78,161.78,162.23,0.44999999999998863,0.0,0.0
2017-07-27,2017-09-04,long,162.23,161.95,165.43,0.28000000000000114,3.200000000000017,11.428571428571443
2017-09-04,2017-10-13,short,162.16,160.8,163.18,1.0200000000000102,1.3599999999999852,1.3333333333333055
2017-10-13,2017-10-24,long,162.02,161.11,162.62,0.9099999999999966,0.5999999999999943,0.6593406593406556
2017-10-24,2017-10-27,short,161.11,161.04,162.38,1.2699999999999818,0.0700000000000216,0.05511811023623827
2017-10-27,2017-11-13,long,162.38,162.08,163.4,0.29999999999998295,1.0200000000000102,3.4000000000002273
2017-11-13,2017-11-15,short,162.08,162.08,162.64,0.5599999999999739,0.0,0.0
2017-11-15,2017-12-08,long,162.64,160.74,163.8,1.8999999999999773,1.160000000000025,0.6105263157894941
2017-12-08,2017-12-12,short,160.74,160.74,163.64,2.8999999999999773,0.0,0.0
2017-12-12,2017-12-19,long,163.27,162.38,163.47,0.8900000000000148,0.19999999999998863,0.224719101123579
2017-12-19,2018-02-23,short,162.38,157.74,162.38,0.0,4.639999999999986,
2018-02-23,2018-03-05,long,159.48,157.19,159.77,2.289999999999992,0.29000000000002046,0.1266375545851622
2018-03-05,2018-03-19,short,157.19,156.57,158.23,1.039999999999992,0.6200000000000045,0.5961538461538551
2018-03-19,2018-03-21,long,158.23,157.88,158.23,0.3499999999999943,0.0,0.0
2018-03-21,2018-03-22,short,157.88,157.88,158.96,1.0800000000000125,0.0,0.0
2018-03-22,2018-04-19,long,158.96,158.17,159.5,0.7900000000000205,0.539999999999992,0.6835443037974406
2018-04-19,2018-05-03,short,158.17,157.72,159.26,1.0900000000000034,0.44999999999998863,0.41284403669723596
2018-05-03,2018-05-14,long,159.26,158.14,159.31,1.1200000000000045,0.05000000000001137,0.044642857142867115
2018-05-14,2018-05-21,short,158.14,157.76,159.24,1.1000000000000227,0.37999999999999545,0.3454545454545342
2018-05-21,2018-06-07,long,159.24,158.9,162.8,0.3400000000000034,3.5600000000000023,10.47058823529402
2018-06-07,2018-06-15,short,159.64,159.64,161.16,1.5200000000000102,0.0,0.0
2018-06-15,2018-07-23,long,161.16,161.15,163.08,0.009999999999990905,1.920000000000016,192.00000000017621
2018-07-23,2018-08-09,short,162.1,160.91,162.5,0.4000000000000057,1.1899999999999977,2.974999999999952
2018-08-09,2018-08-27,long,162.5,162.5,163.73,0.0,1.2299999999999898,
2018-08-27,2018-08-31,short,162.64,162.18,163.27,0.6300000000000239,0.45999999999997954,0.73015873015867
2018-08-31,2018-09-03,long,163.27,160.71,163.27,2.5600000000000023,0.0,0.0
2018-09-03,2018-10-17,short,160.71,157.61,160.71,0.0,3.0999999999999943,
2018-10-17,2018-11-07,long,159.16,159.16,160.87,0.0,1.710000000000008,
2018-11-07,2018-11-09,short,159.5,159.37,160.03,0.5300000000000011,0.12999999999999545,0.24528301886791543
2018-11-09,2019-02-27,long,160.03,160.03,166.75,0.0,6.719999999999999,
2019-02-28,2019-03-22,short,165.31,162.96,165.74,0.4300000000000068,2.3499999999999943,5.465116279069668
2019-03-22,2019-03-25,long,165.74,165.66,165.74,0.0800000000000125,0.0,0.0
