Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,ret_pct_for_sig,ret_net_for_var,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,current_position,trades,strategy_ret,cumulative_pnl_usd,pdm_used,eff_multiplier
2017-01-02,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.5756596216396209,8546,0.002,,0.6485,,,,,68.285,68.285,0.0,,,,,0.84,0.68285,682.8499999999999,573.5939999999999,884.4934464148033,10000000.0,125000.0,141.32382835245838,0.0,0.0,0,0,0,0.0,0.0,1.6,0.8
2017-01-03,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.5590872024883597,8547,0.002,,0.6485,-0.010910155963974377,-0.7449999999999903,0.5550249999999856,0.7449999999999903,68.11944444444444,68.23984848484848,-0.12040404040403985,-0.16161616161616296,-0.8565656565656636,-0.8565656565656636,,0.83,0.6754000000000001,675.4000000000001,560.582,864.4286815728605,10000000.0,125000.0,144.6041792280166,-12.386297372258493,-9.909037897806796,-10,-10,-10,-0.0,0.0,1.6,0.8
2017-01-04,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.5896780901358368,8548,0.002,,0.6485,0.015472312703582958,1.0449999999999875,0.5840520270270119,0.7642329664618059,68.2229012345679,68.26076675849403,-0.037865523926129185,-0.04954709569967444,-0.2625996072082745,-0.2625996072082745,-0.013253051689533795,0.86,0.68585,685.8499999999999,589.8309999999999,909.5312259059367,9983885.890516577,125000.0,137.4334343227128,-3.6089965870428578,-2.8871972696342865,-3,-3,7,-0.0016114109483423092,-16114.109483422711,1.6,0.8
2017-01-05,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.5772185461211865,8549,0.002,,0.6485,-0.01210177152438574,-0.8299999999999983,0.5897194850255517,0.7679319533822979,68.1189231824417,68.23011422767621,-0.11119104523450574,-0.14479283580371052,-0.7674020297596658,-0.7674020297596658,0.003177920448827977,0.85,0.67755,677.55,575.9174999999999,888.0763299922897,9987725.520431766,124798.57363145723,140.52685497488795,-10.78405937434712,-8.627247499477695,-9,-9,-6,0.0003845827123120518,-12274.479568233714,1.6,0.8
2017-01-06,67.705,69.045,67.32,69.0,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69.0,69.255,0.6339311871064877,8550,0.002,,0.6485,0.018375027673234623,1.2450000000000045,0.6416278912403873,0.8010167858668052,68.31471803078799,68.27677397145342,0.03794405933456346,0.04736986790295913,0.25106029988568335,0.25106029988568335,-0.014101033533330278,0.92,0.6900000000000001,690.0000000000001,634.8000000000002,978.8743253662301,9970447.185813416,124846.56900539709,127.54095778197855,3.2020471108450814,2.5616376886760652,3,3,12,-0.0017299568938898078,-29552.814186584204,1.6,0.8
2017-01-09,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.7222159187663528,8551,0.002,,0.6485,0.007536231884057942,0.519999999999996,0.6215615187409067,0.7883917292443565,68.58255846839066,68.35212100348656,0.23043746490409944,0.29228802935942133,1.549126555604933,1.549126555604933,0.0018920486368196353,1.04,0.6951999999999999,695.1999999999999,723.0079999999999,1114.8928296067847,9972852.737085583,124630.58982266771,111.78705837279811,17.31723006982603,13.853784055860826,14,14,11,0.00024126814247502266,-27147.26291441731,1.6,0.8
2017-01-10,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.7499626657282047,8552,0.002,,0.6485,-0.00589758342922897,-0.4099999999999966,0.5970500852954521,0.7726901612518773,68.69976769763718,68.39805306388132,0.30171463375586427,0.390472985015158,2.069506820580337,2.069506820580337,-0.009136103104114203,1.09,0.6911,691.1,753.2990000000001,1161.602158828065,9964001.542020047,124660.65921356979,107.31786116800896,22.209504565728825,17.76760365258306,18,18,4,-0.0008875289046053245,-35998.45797995292,1.6,0.8
2017-01-11,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.7965732860108475,8553,0.002,,0.6485,0.0025321950513672586,0.17499999999999716,0.5664325131173195,0.752617109237705,68.82981932038447,68.4518074236461,0.37801189673837143,0.5022632253487357,2.661995094348299,2.661995094348299,0.0052403949298443185,1.15,0.69285,692.8499999999999,796.7774999999998,1228.646877409406,9968858.905165767,124550.0192752506,101.37169724295683,26.985096076651207,21.588076861320967,22,22,4,0.00048749120774785234,-31141.094834232703,1.6,0.8
2017-01-12,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.8876954244856439,8554,0.002,,0.6485,0.008587717399148431,0.5949999999999989,0.5549510259217887,0.7449503513132864,69.06319280474348,68.53836454948573,0.524828255257745,0.7045144073460947,3.7339263589343017,3.7339263589343017,0.022860461588182657,1.27,0.6988,698.8,887.476,1368.5057825751735,9989043.947571319,124610.7363145721,91.05605391019026,33.99965998358022,27.19972798686418,27,27,5,0.0020248097197053854,-10956.052428681403,1.6,0.8
2017-01-13,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.9648293458704054,8555,0.002,,0.6485,0.0,0.0,0.5249536731692596,0.7245368680538344,69.24470551480047,68.61967578891084,0.6250297258896325,0.86266103693041,4.572103495731173,4.572103495731173,0.0,1.38,0.6988,698.8,964.3439999999998,1487.0377794911333,9989043.947571319,124863.04934464149,83.9676375857578,38.39087293341315,30.71269834673052,31,31,4,0.0,-10956.052428681403,1.6,0.8
