instrument,type,fast,slow,scaler,ann_return,ann_vol,sharpe,sortino,max_dd,calmar,hit_rate,skew,kurt,daily_vol,ann_vol_check,mae_mean,mfe_mean,edge_ratio,turnover,avg_yearly_lots,avg_abs_pos
RX1,raw,2,8,10.6,0.025551745994668286,0.4846670178688371,0.052720208003886125,0.05963910390103559,-0.6364665675147634,0.04014625009203738,0.5094991364421416,-0.3853402665880053,15.204102997648926,0.030291688616802318,0.4846670178688371,0.44783783783783804,1.0159459459459461,2.2685576342788165,58.52131880316706,11627.511187607573,99.34423407917384
RX1,exec,2,8,10.6,0.0011324912965802597,0.1085263659042615,0.010435172016902394,0.010531583169628015,-0.22257208642150228,0.005088200028981046,0.5025817555938038,-1.4129892903518833,35.77122553117419,0.006782897869016344,0.1085263659042615,,,,58.52131880316706,11627.511187607573,99.34423407917384
AD1,raw,2,8,10.6,-0.6345146737252024,0.8017103025440757,-0.7914513156581503,-0.9996986069081775,-0.8865089552890787,-0.7157453626831053,0.47079037800687284,-0.300162919738598,3.5583993030919467,0.05010689390900473,0.8017103025440757,0.404941176470587,0.714235294117648,1.7638001162115124,66.3444048037787,9043.287671232876,68.1541095890411
AD1,exec,2,8,10.6,-0.0840865239789546,0.08545217492000379,-0.9840185350188261,-1.1329730212243978,-0.21408018504240478,-0.3927805086785534,0.4691780821917808,-0.8799637009356825,6.3906775089597305,0.005340760932500237,0.08545217492000379,,,,66.3444048037787,9043.287671232876,68.1541095890411
PORT,raw,2,8,10.6,-0.30130998312471247,0.4643309149432822,-0.6489121732536748,-0.8287244420079508,-0.691218029644128,-0.43591163743202876,0.4991394148020654,-0.4801876624561821,2.235572134590277,0.02902068218395514,0.4643309149432822,,,,,,
PORT,exec,2,8,10.6,-0.04123429584375554,0.06805753471808167,-0.6058740742602939,-0.6829710922181643,-0.17752830301546085,-0.23226885597033206,0.4974182444061962,-1.2233672666634057,12.282004136300149,0.004253595919880104,0.06805753471808167,,,,,,
RX1,raw,4,16,7.5,-0.24672130962983188,0.4350178188885257,-0.5671521922026251,-0.6339882295039002,-0.6293246936979926,-0.39204136132028417,0.4939550949913644,-0.5748636127882878,7.870231951741582,0.027188613680532856,0.4350178188885257,0.756428571428571,1.295238095238096,1.7123072080579183,30.49830968160895,5496.729776247848,90.11531841652324
RX1,exec,4,16,7.5,-0.028872569308409583,0.08367402335391078,-0.34506012919074164,-0.3694960391804882,-0.18054034395933016,-0.15992308796594312,0.49225473321858865,-1.187764045686558,16.377132198600183,0.0052296264596194235,0.08367402335391078,,,,30.49830968160895,5496.729776247848,90.11531841652324
AD1,raw,4,16,7.5,-0.6917985447450814,0.7535145568393132,-0.9180957931946194,-1.1792166452053712,-0.9077102207224413,-0.7621358986070278,0.4587628865979381,-0.14500485452025524,4.543786556207368,0.04709465980245708,0.7535145568393132,0.5670754716981132,0.8850943396226417,1.5608051904841127,37.35569887497469,4423.45205479452,59.207191780821915
AD1,exec,4,16,7.5,-0.07549522685695281,0.06874770888276503,-1.0981489868366998,-1.4195493587267742,-0.1829934314228645,-0.4125570315280721,0.4571917808219178,-0.21441956529814177,4.290039210477779,0.0042967318051728145,0.06874770888276503,,,,37.35569887497469,4423.45205479452,59.207191780821915
PORT,raw,4,16,7.5,-0.46805503362723494,0.435449880222946,-1.0748769373586586,-1.4226922272371365,-0.7356405685591734,-0.6362550593749448,0.46987951807228917,-0.263817853497243,2.459503319411721,0.027215617513934125,0.435449880222946,,,,,,
PORT,exec,4,16,7.5,-0.05220652539161357,0.053857701367308594,-0.9693418780643082,-1.2044437739206288,-0.14855703389819197,-0.3514241232588917,0.47676419965576594,-0.6883573613676366,5.731838390566023,0.003366106335456787,0.053857701367308594,,,,,,
RX1,raw,8,32,5.3,-0.5071822572864568,0.4053261772500458,-1.2512941076923734,-1.2737130996813435,-0.7805309513027012,-0.6497913458011791,0.48013816925734026,-2.1970645996067013,17.114649552738015,0.025332886078127864,0.4053261772500458,1.2157692307692325,1.5100000000000007,1.2420120215121784,16.85811832836337,2685.576592082616,79.65232358003442
RX1,exec,8,32,5.3,-0.07446868254306567,0.07473721214582259,-0.9964070160627215,-1.0397507645836657,-0.21577615147686735,-0.34512007945905554,0.4784853700516351,-2.0230624493889398,21.266929090888837,0.004671075759113912,0.07473721214582259,,,,16.85811832836337,2685.576592082616,79.65232358003442
AD1,raw,8,32,5.3,-0.7373333422678613,0.7111940722167358,-1.036754060631652,-1.3034558533456408,-0.9205922673896482,-0.8009336688853361,0.4690721649484536,-0.11569673916330585,4.1484701620884845,0.04444962951354599,0.7111940722167358,0.844375,1.3904166666666675,1.6466814705156685,19.16855372783593,2151.013698630137,56.10787671232877
AD1,exec,8,32,5.3,-0.06775700384040252,0.06371348706476873,-1.0634640632920203,-1.3955436749514922,-0.16457084341124328,-0.4117193692146652,0.4606164383561644,-0.02724464755631021,4.292849970851072,0.003982092941548046,0.06371348706476873,,,,19.16855372783593,2151.013698630137,56.10787671232877
PORT,raw,8,32,5.3,-0.6223474033958096,0.417210149483017,-1.4916880717475043,-1.9451822124773646,-0.846353370097689,-0.7353280856245379,0.4578313253012048,-0.19183581624662727,3.2043236078012978,0.026075634342688562,0.417210149483017,,,,,,
PORT,exec,8,32,5.3,-0.07132683089311385,0.0501608376729309,-1.4219625150240485,-1.783366347685681,-0.1879577517863641,-0.3794833158793319,0.45438898450946646,-0.6345014503063509,7.1547696513453785,0.003135052354558181,0.0501608376729309,,,,,,
RX1,raw,16,64,3.75,-0.5093524715114292,0.378255537654969,-1.3465829863832477,-1.3920322987998406,-0.7604178640625472,-0.6698323324365418,0.4749568221070812,-1.5855429896080964,19.330942941285656,0.023640971103435562,0.378255537654969,2.027142857142855,1.999285714285717,0.9862579281183956,13.333093460465955,2040.95008605852,76.53700516351118
RX1,exec,16,64,3.75,-0.09128563468249923,0.08613648400745082,-1.0597789744308928,-1.0660699830162992,-0.2232120445086504,-0.40896374961953064,0.47160068846815834,-1.8765917770892515,30.663250772872505,0.005383530250465676,0.08613648400745082,,,,13.333093460465955,2040.95008605852,76.53700516351118
AD1,raw,16,64,3.75,-0.7098651388749793,0.6394141916991123,-1.1101804559399253,-1.371384848250159,-0.9023456394936991,-0.7866887230410738,0.4690721649484536,-0.25167353257867436,4.784142330287907,0.03996338698119452,0.6394141916991123,1.1343749999999995,1.4578125000000002,1.2851239669421495,11.998467658759392,1394.4109589041095,58.10787671232877
AD1,exec,16,64,3.75,-0.06355937720015925,0.07267081497740167,-0.8746203991234198,-1.0144063524125253,-0.15039866758071174,-0.422605985960946,0.464041095890411,-0.8089976494353908,10.8705792900676,0.004541925936087605,0.07267081497740167,,,,11.998467658759392,1394.4109589041095,58.10787671232877
PORT,raw,16,64,3.75,-0.6088403090898967,0.3800996690633233,-1.601791210684969,-2.0988335012909642,-0.8284780907260634,-0.7348900543119009,0.45438898450946646,-0.04695130559608576,3.660843500945524,0.023756229316457707,0.3800996690633233,,,,,,
