entry_date,exit_date,side,entry_price,min_price,max_price,MAE,MFE,edge_ratio
2017-01-03,2017-02-09,short,163.21,161.43,164.23,1.0199999999999818,1.7800000000000011,1.7450980392157185
2017-02-09,2017-03-06,long,164.23,160.71,166.21,3.519999999999982,1.9800000000000182,0.5625000000000081
2017-03-06,2017-04-05,short,160.88,159.01,162.53,1.6500000000000057,1.8700000000000045,1.1333333333333322
2017-04-05,2017-04-26,long,162.4,160.98,163.68,1.420000000000016,1.2800000000000011,0.901408450704216
2017-04-26,2017-05-29,short,161.27,160.29,162.28,1.009999999999991,0.9800000000000182,0.970297029702997
2017-05-29,2017-06-30,long,162.28,161.87,165.46,0.4099999999999966,3.180000000000007,7.756097560975691
2017-06-30,2017-08-02,short,161.87,160.49,162.86,0.9900000000000091,1.3799999999999955,1.3939393939393765
2017-08-02,2017-09-06,long,162.86,162.16,165.43,0.700000000000017,2.569999999999993,3.6714285714284722
2017-09-06,2017-10-18,short,162.57,160.8,163.18,0.6100000000000136,1.7699999999999818,2.9016393442622004
2017-10-18,2017-10-20,long,162.18,161.44,162.28,0.7400000000000091,0.09999999999999432,0.1351351351351258
2017-10-20,2017-10-30,short,161.44,161.04,162.71,1.2700000000000102,0.4000000000000057,0.3149606299212618
2017-10-30,2017-12-20,long,162.71,160.74,163.8,1.9699999999999989,1.0900000000000034,0.5532994923857889
2017-12-20,2018-03-02,short,161.74,157.74,162.29,0.549999999999983,4.0,7.272727272727498
2018-03-02,2018-03-05,long,159.77,157.19,159.77,2.5800000000000125,0.0,0.0
2018-03-05,2018-03-27,short,157.19,156.57,159.23,2.039999999999992,0.6200000000000045,0.3039215686274544
2018-03-27,2018-04-20,long,159.23,158.13,159.5,1.0999999999999943,0.27000000000001023,0.24545454545455603
2018-04-20,2018-05-04,short,158.13,157.72,159.26,1.1299999999999955,0.4099999999999966,0.3628318584070781
2018-05-04,2018-05-14,long,159.08,158.14,159.31,0.9400000000000261,0.22999999999998977,0.2446808510638121
2018-05-14,2018-05-23,short,158.14,157.76,159.76,1.6200000000000045,0.37999999999999545,0.23456790123456445
2018-05-23,2018-07-31,long,159.76,159.64,163.08,0.12000000000000455,3.3200000000000216,27.666666666665797
2018-07-31,2018-08-09,short,161.58,160.91,162.5,0.9199999999999875,0.6700000000000159,0.7282608695652446
2018-08-09,2018-09-03,long,162.5,160.71,163.73,1.789999999999992,1.2299999999999898,0.6871508379888241
2018-09-03,2018-10-24,short,160.71,157.61,160.71,0.0,3.0999999999999943,
2018-10-24,2019-03-04,long,160.18,159.37,166.75,0.8100000000000023,6.569999999999993,8.11111111111108
2019-03-04,2019-03-25,short,163.04,162.96,165.74,2.700000000000017,0.07999999999998408,0.02962962962962355
2019-03-25,2019-03-25,long,165.66,165.66,165.66,0.0,0.0,
