Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_pct_for_sig,ret_net_for_var,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,current_position,trades,strategy_ret,cumulative_pnl_usd,pdm_used,eff_multiplier
2017-01-02,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,,,,,164.47,164.47,0.0,,,,,0.77,1.6447,1644.7,1266.419,1119.9319066147862,10000000.0,125000.0,111.61392872343195,0.0,0.0,0,0,0,0.0,0.0,1.6,0.8
2017-01-03,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,-0.007660971605763955,-1.259999999999991,1.587599999999977,1.259999999999991,164.32176470588234,164.43123076923078,-0.10946606334843523,-0.0868778280543143,-0.3257918552036786,-0.3257918552036786,,0.77,1.6321,1632.1000000000001,1256.717,1111.352140077821,10000000.0,125000.0,112.47560110987597,-3.664363475073542,-2.9314907800588337,-3,-3,-3,-0.0,0.0,1.6,0.8
2017-01-04,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,-0.00012254151093693544,-0.020000000000010232,1.5018054054053835,1.225481703415185,164.188615916955,164.39303905325445,-0.20442313629945374,-0.16681043521887373,-0.6255391320707765,-0.6255391320707765,3.992302618760607e-05,0.75,1.6319,1631.8999999999999,1223.925,1082.3532012734347,10000053.059780687,125000.0,115.48910268194538,-7.224295305529689,-5.779436244423752,-6,-6,-3,5.305978068626698e-06,53.059780687093735,1.6,0.8
2017-01-05,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,0.00214473926098413,0.3499999999999943,1.427248356464552,1.1946750003513724,164.11230816201913,164.3667916977697,-0.25448353575058036,-0.21301486653335241,-0.7988057495000715,-0.7988057495000715,-0.001341618335834131,0.69,1.6354,1635.3999999999999,1128.426,997.900601344181,9998195.967456669,125000.66324725859,125.26364156798941,-10.00613170878261,-8.004905367026089,-8,-8,-2,-0.00018570824703795043,-1804.0325433313847,1.6,0.8
2017-01-06,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,-0.0042802983979454146,-0.6999999999999886,1.3765862831421427,1.173280138390718,163.9626248488404,164.31981349168447,-0.35718864284407914,-0.30443594087768533,-1.14163477829132,-1.14163477829132,0.0034191269698547423,0.66,1.6284,1628.4,1074.7440000000001,950.4280155642024,10003148.21365405,124977.44959320837,131.4959655508661,-15.012036747786606,-12.009629398229286,-12,-12,-4,0.0004953139759914159,3148.2136540506035,1.6,0.8
2017-01-09,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,0.0006755097027757451,0.10999999999998522,1.3028302678371617,1.141415904846766,163.8434925136827,164.27766538424802,-0.4341728705653338,-0.380380953797574,-1.4264285767409024,-1.4264285767409024,-0.0007711853697620233,0.65,1.6295,1629.5,1059.175,936.6598868058012,10001980.898478953,125039.35267067564,133.49493709726912,-19.04209931257739,-15.233679450061912,-15,-15,-3,-0.00011669477949989415,1980.8984789531678,1.6,0.8
2017-01-10,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,0.001043264805155042,0.17000000000001592,1.2339691722783965,1.110841650406752,163.75837574736707,164.24204491088653,-0.48366916351946543,-0.43540783994042936,-1.63277939977661,-1.63277939977661,-0.0014881427311811814,0.62,1.6312,1631.2,1011.344,894.3615139724089,9999725.857799787,125024.76123098691,139.79219731367368,-22.824982002327353,-18.25998560186188,-18,-18,-3,-0.00022545940669696125,-274.1422002129257,1.6,0.8
2017-01-11,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,0.002206964198136152,0.3599999999999852,1.1742735413444285,1.0836390272338978,163.7256256594415,164.21859737516695,-0.49297171572544585,-0.454922444961961,-1.7059591686073536,-1.7059591686073536,-0.003603485678761214,0.6,1.6348,1634.8,980.8799999999999,867.4212946586487,9993995.401485674,124996.57322249735,144.10134267188647,-24.583100673973483,-19.66648053917879,-20,-20,-2,-0.0005730613414410666,-6004.598514325917,1.6,0.8
2017-01-12,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,0.0025079520430633107,0.4099999999999966,1.1198857823528376,1.0582465602839621,163.74496381715426,164.20848668670027,-0.4635228695460114,-0.43801027751191846,-1.6425385406696942,-1.6425385406696942,-0.0042784637822914,0.56,1.6388999999999998,1638.8999999999999,917.784,811.6236292889989,9986743.898125222,124924.94251857093,153.91979485369106,-25.28191952191604,-20.225535617532834,-20,-20,0,-0.0007255860213198347,-13256.101874778047,1.6,0.8
2017-01-13,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,-0.002928793703093513,-0.47999999999998977,1.0718054697932242,1.0352803822120964,163.70555630925375,164.18391786557103,-0.4783615563172816,-0.4620599062209221,-1.7327246483284577,-1.7327246483284577,0.0048106565350018084,0.53,1.6341,1634.1000000000001,866.0730000000001,765.8940573045631,9995233.463035021,124834.29872656528,162.9916011698783,-28.24195648175696,-22.59356518540557,-23,-23,-3,0.0008500833701555029,-4766.536964979023,1.6,0.8
2017-01-16,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.754192062,11,0.002,,1.1308,,0.0010403280093018719,0.17000000000001592,1.0154322011557528,1.007686558983374,163.6907849787533,164.16533577739963,-0.47455079864633376,-0.47093096004485213,-1.7659911001681956,-1.7659911001681956,-0.0018026019840638305,0.46,1.6358000000000001,1635.8000000000002,752.4680000000001,665.4297842235586,9991775.733993635,124940.41828793776,187.7589811128181,-33.15806896218851,-26.526455169750808,-27,-27,-4,-0.00034593779666823555,-8224.266006365418,1.6,0.8
2017-01-17,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.688355044,12,0.002,,1.1308,,0.001956229367893414,0.3199999999999932,0.9660791092013876,0.982893233877102,163.71539851066467,164.15717159963347,-0.44177308896880163,-0.4494619290705582,-1.6854822340145932,-1.6854822340145932,-0.003454683653587424,0.42,1.639,1639.0,688.38,608.7548638132296,9984135.125574816,124897.19667492044,205.16829367500515,-34.580751397230976,-27.664601117784784,-28,-28,-1,-0.0007646897430677702,-15864.874425183982,1.6,0.8
2017-01-18,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.661785967,13,0.002,,1.1308,,-0.0029286150091519803,-0.4800000000000182,0.9263126708661784,0.9624513862352625,163.68064574470412,164.13448939656783,-0.453843651863707,-0.47154968900711736,-1.76831133377669,-1.76831133377669,0.004936128568194148,0.4,1.6341999999999999,1634.1999999999998,653.68,578.0686239830208,9996020.516448535,124801.6890696852,215.89424489046638,-38.17682401369719,-30.541459210957754,-31,-31,-3,0.001190427685946798,-3979.483551464975,1.6,0.8
2017-01-19,163.0,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292,14,0.002,,1.1308,,-0.0023864888018602093,-0.38999999999998636,0.8844633373058439,0.9404591098531844,163.60409918650365,164.10050510744267,-0.4964059209390257,-0.5278336035434011,-1.9793760132877543,-1.9793760132877543,0.004220055196260562,0.34,1.6303,1630.3000000000002,554.3020000000001,490.18570923240196,10006712.062256811,124950.2564556067,254.90391519424432,-50.45506954286231,-40.364055634289855,-40,-40,-9,0.0010695802185163512,6712.062256811187,1.6,0.8
2017-01-20,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.539440142,15,0.002,,1.1308,,-0.004539041894130014,-0.7400000000000091,0.8662545082622856,0.9307279453536815,163.4494992822091,164.0447972579829,-0.5952979757738035,-0.6396047080627703,-2.3985176552353886,-2.3985176552353886,0.008984470648549164,0.33,1.6229,1622.9,535.557,473.6089494163424,10032888.22072869,125083.90077821014,264.10797543492106,-63.34676419691325,-50.6774113575306,-51,-51,-11,0.0026158600656263045,32888.220728689805,1.6,0.8
2017-01-23,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454,16,0.002,,1.1308,,0.005175919650009186,0.8400000000000034,0.8575704807886488,0.9260510141394203,163.41191113136097,164.01664965004497,-0.6047385186840017,-0.6530293789980735,-2.4488601712427753,-2.4488601712427753,-0.012414534662626807,0.33,1.6313,1631.3,538.3290000000001,476.06031128404675,9995003.537318714,125411.10275910863,263.43532486639214,-64.51162747637092,-51.609301981096735,-52,-52,-1,-0.0037760495857716058,-4996.462681286037,1.6,0.8
2017-01-24,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.551983393,17,0.002,,1.1308,,-0.002268129712499234,-0.37000000000000455,0.8186153196649383,0.9047736289619289,163.33521570414203,163.97798350696667,-0.6427678028246362,-0.7104183657099964,-2.6640688714124865,-2.6640688714124865,0.005554332516151701,0.34,1.6276,1627.6,553.384,489.3738945879024,10012018.040325435,124937.54421648393,255.30079474650518,-68.01389001310329,-54.41111201048264,-54,-54,-2,0.0017023008489385157,12018.040325434878,1.6,0.8
