Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_net_for_var,ret_pct_for_sig,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,trades,execution_price,delta_price,carry_pnl_eur,trade_pnl_eur,carry_pnl_usd,trade_pnl_usd,pnl_usd,strategy_ret,sharpe_usd,tickValue,tickSize
2017-01-02,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,,,,,164.47,164.47,0.0,,,,,0.7696897695628382,1.6447,1644.7,1265.908764,1952.056690824981,125000.0,64.03502551310245,,,,,,,,,,,,-0.10322257450115174,10,0.01
2017-01-03,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,-1.259999999999991,-0.007660971605763955,1.587599999999977,1.259999999999991,163.966,164.32176470588234,-0.35576470588233633,-0.2823529411764594,-2.1176470588234455,-2.1176470588234455,,0.7707471386557195,1.6321,1632.1000000000001,1257.936405,1939.7631534309946,125000.0,64.44085700818874,-13.646299131145309,,,164.47,-1.259999999999991,,,,,,,-0.10322257450115174,10,0.01
2017-01-04,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,-0.020000000000010232,-0.00012254151093693544,1.5018054054053835,1.225481703415185,163.6556,164.188615916955,-0.5330159169550086,-0.4349440024029689,-3.2620800180222664,-3.2620800180222664,0.00025949967021938244,0.7512235394325633,1.6319,1631.8999999999999,1225.921694,1890.3958272937548,125000.0,66.12371768665348,-21.570085818297784,-14.0,,163.21,-0.020000000000010232,,,,,,,-0.10322257450115174,10,0.01
2017-01-05,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,0.3499999999999943,0.00214473926098413,1.427248356464552,1.1946750003513724,163.60935999999998,164.11230816201913,-0.5029481620191518,-0.42099161853326383,-3.157437138999479,-3.157437138999479,-0.006996311087124172,0.694324403204109,1.6354,1635.3999999999999,1135.4981289999998,1750.960877409406,125000.0,71.38937346500904,-22.54074591083235,-22.0,-8.0,163.19,0.3499999999999943,-4899.99999999992,2799.9999999999545,-7555.8982266768235,4317.656129529614,-3238.2420971472093,-0.0003238242097147209,-0.10322257450115174,10,0.01
2017-01-06,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,-0.6999999999999886,-0.0042802983979454146,1.3765862831421427,1.173280138390718,163.301616,163.9626248488404,-0.661008848840396,-0.5633853563284911,-4.225390172463683,-4.225390172463683,0.013514773127672823,0.6605319417833455,1.6284,1628.4,1075.6102139999998,1658.612511950655,125000.0,75.36419694132806,-31.844313711150516,-23.0,-1.0,163.54,-0.6999999999999886,15399.999999999749,-699.9999999999886,23747.108712412875,-1079.4140323824035,22667.694680030472,0.0022667694680030474,-0.10322257450115174,10,0.01
2017-01-09,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,0.10999999999998522,0.0006755097027757451,1.3028302678371617,1.141415904846766,163.1609696,163.8434925136827,-0.6825229136827033,-0.5979616288721081,-4.484712216540811,-4.484712216540811,-0.002854292059512497,0.6479178729671679,1.6295,1629.5,1055.782174,1628.0372767925983,125000.0,76.77956873706412,-34.433426989584646,-32.0,-9.0,162.84,0.10999999999998522,-2529.99999999966,989.999999999867,-3901.310717038797,1526.5998457977903,-2374.7108712410068,-0.0002374710871241007,-0.10322257450115174,10,0.01
2017-01-10,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,0.17000000000001592,0.001043264805155042,1.2339691722783965,1.110841650406752,163.14458176,163.75837574736707,-0.6137939873670746,-0.552548589749335,-4.144114423120012,-4.144114423120012,-0.004678742416765885,0.6160371266552231,1.6312,1631.2,1004.879761,1549.5447355435622,125000.0,80.66885526615755,-33.43009666050642,-34.0,-2.0,162.95,0.17000000000001592,-5440.000000000509,340.00000000003183,-8388.589051658457,524.2868157286536,-7864.302235929803,-0.0007864302235929802,-0.10322257450115174,10,0.01
2017-01-11,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,0.3599999999999852,0.002206964198136152,1.1742735413444285,1.0836390272338978,163.27874905599998,163.7256256594415,-0.4468766034415239,-0.41238511368700265,-3.09288835265252,-3.09288835265252,-0.009145912164805519,0.5984551021531687,1.6348,1634.8,978.354401,1508.642098689283,125000.0,82.85596703724542,-25.62642553972575,-33.0,1.0,163.12,0.3599999999999852,-12239.999999999498,-359.9999999999852,-18874.325366228986,-555.1272166537938,-19429.45258288278,-0.0019429452582882779,-0.10322257450115174,10,0.01
2017-01-12,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,0.4099999999999966,0.0025079520430633107,1.1198857823528376,1.0582465602839621,163.52324943359997,163.74496381715426,-0.22171438355428563,-0.2095110835935932,-1.5713331269519488,-1.5713331269519488,-0.007756815663001604,0.5553417664287021,1.6388999999999998,1638.8999999999999,910.1496209999999,1403.4689606784887,125000.0,89.06502637548206,-13.995082639664403,-26.0,7.0,163.48,0.4099999999999966,-13529.999999999887,-2869.9999999999764,-20863.531225905765,-4425.59753276789,-25289.128758673654,-0.0025289128758673655,-0.10322257450115174,10,0.01
2017-01-13,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,-0.47999999999998977,-0.002928793703093513,1.0718054697932242,1.0352803822120964,163.47794966016,163.70555630925375,-0.22760664909375805,-0.2198502483041629,-1.6488768622812215,-1.6488768622812215,0.004602110567679107,0.5341689278501928,1.6341,1634.1000000000001,872.8854450000001,1346.006854279106,125000.0,92.86728340395226,-15.312671486768977,-14.0,12.0,163.89,-0.47999999999998977,12479.999999999734,5759.999999999877,19244.410177331898,8882.035466460875,28126.445643792773,0.0028126445643792772,-0.10322257450115174,10,0.01
