date,value
2025-03-10,10.40999984741211
2025-03-11,10.449999809265137
2025-03-12,10.550000190734863
2025-03-13,10.645999908447266
2025-03-14,10.538999557495117
2025-03-17,10.694999694824219
2025-03-18,10.845000267028809
2025-03-19,10.84000015258789
2025-03-20,10.994000434875488
2025-03-21,10.8149995803833
2025-03-24,10.734999656677246
2025-03-25,10.579999923706055
2025-03-26,10.78499984741211
2025-03-27,11.125
2025-03-28,10.984999656677246
2025-03-31,10.90999984741211
2025-04-01,10.8100004196167
2025-04-02,10.8149995803833
2025-04-03,10.725000381469727
2025-04-04,10.529999732971191
2025-04-07,10.204999923706055
2025-04-08,10.135000228881836
2025-04-09,10.225000381469727
2025-04-10,10.600000381469727
2025-04-11,10.595000267028809
2025-04-14,10.6899995803833
2025-04-15,10.65999984741211
2025-04-16,11.649999618530273
2025-04-17,11.375
2025-04-21,11.369999885559082
2025-04-22,11.119999885559082
2025-04-23,11.524999618530273
2025-04-24,11.420000076293945
2025-04-25,11.595000267028809
2025-04-28,11.595000267028809
2025-04-29,11.420000076293945
2025-04-30,11.430000305175781
2025-05-01,11.670000076293945
2025-05-02,12.029999732971191
2025-05-05,11.960000038146973
2025-05-06,11.755000114440918
2025-05-07,11.524999618530273
2025-05-08,11.53499984741211
2025-05-09,11.739999771118164
2025-05-12,11.914999961853027
2025-05-13,11.739999771118164
2025-05-14,11.875
2025-05-15,12.125
2025-05-16,12.079000473022461
2025-05-19,11.859999656677246
2025-05-20,11.675000190734863
2025-05-21,11.649999618530273
2025-05-22,11.5
2025-05-23,11.359999656677246
2025-05-27,10.449999809265137
2025-05-28,10.520000457763672
2025-05-29,10.550000190734863
2025-05-30,10.75
2025-06-02,10.329999923706055
2025-06-03,9.890000343322754
2025-06-04,9.930000305175781
2025-06-05,10.095000267028809
2025-06-06,10.125
2025-06-09,10.170000076293945
2025-06-10,10.145000457763672
2025-06-11,9.845000267028809
2025-06-12,9.928000450134277
2025-06-13,11.055000305175781
2025-06-16,11.25
2025-06-17,11.751999855041504
2025-06-18,11.479999542236328
2025-06-20,12.510000228881836
2025-06-23,13.5
2025-06-24,12.0
2025-06-25,10.880000114440918
2025-06-26,10.739999771118164
2025-06-27,10.680000305175781
2025-06-30,10.645000457763672
2025-07-01,10.411999702453613
2025-07-02,10.255999565124512
2025-07-03,10.604999542236328
2025-07-07,11.180000305175781
2025-07-08,10.880000114440918
2025-07-09,11.244999885559082
2025-07-10,11.270000457763672
2025-07-11,11.329999923706055
2025-07-14,11.369999885559082
2025-07-15,11.795000076293945
2025-07-16,11.475000381469727
2025-07-17,11.38700008392334
2025-07-18,11.508999824523926
2025-07-21,11.437999725341797
2025-07-22,11.079999923706055
2025-07-23,10.885000228881836
2025-07-24,10.8149995803833
2025-07-25,10.885000228881836
2025-07-28,10.914999961853027
2025-07-29,10.890000343322754
2025-07-30,11.050000190734863
2025-07-31,11.050000190734863
2025-08-01,11.524999618530273
2025-08-04,11.649999618530273
2025-08-05,11.704999923706055
2025-08-06,11.770000457763672
2025-08-07,11.765000343322754
2025-08-08,11.795000076293945
2025-08-11,11.609999656677246
2025-08-12,11.229999542236328
2025-08-13,11.416999816894531
