INSTRUMENT,INSTRUMENT_WEIGHTS,CURRENCY,EXCHANGE,SECTYPE,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,EXCHANGE_RATE,STANDARD_COST
CL1,0.1666666666666666,USD,NYM,Future,0.01,10.0,1000,22410.0,1.0,0.002
ES1,0.1666666666666666,USD,CME,Future,0.25,12.5,50,46700.0,1.0,0.001
GC1,0.1666666666666666,USD,CMX,Future,0.1,10.0,100,32840.0,1.0,0.001
JY1,0.1666666666666666,USD,CME,Future,0.005,6.25,1250,79125.0,0.006938181,0.002
TY1,0.1666666666666666,USD,CBT,Future,0.016,15.625,1000,79250.0,1.0,0.002
VG1,0.1666666666666666,EUR,EUX,Future,1.0,10.0,10,32650.0,1.1308,0.0026
