date,value
2018-04-10,95.0
2018-04-11,95.0
2018-04-12,95.0
2018-04-13,95.0
2018-04-16,95.0
2018-04-17,83.4759094788435
2018-04-18,83.49561180091321
2018-04-19,84.39289278191188
2018-04-20,84.97121935523793
2018-04-23,85.52303165643609
2018-04-24,85.87845681340131
2018-04-25,85.30543796720838
2018-04-26,85.4972199244362
2018-04-27,86.06398875294211
2018-04-30,86.05228834994861
2018-05-01,86.45619362773718
2018-05-02,86.58760468295193
2018-05-03,86.9929074493603
2018-05-04,86.43276680443734
2018-05-07,86.43588318118002
2018-05-08,86.92957917562906
2018-05-09,85.10429303916989
2018-05-10,85.51998274520989
2018-05-11,85.49161716066055
2018-05-14,85.44685226180925
2018-05-15,85.90375441613087
2018-05-16,86.86409722095355
2018-05-17,86.43366622884659
2018-05-18,85.39553441518345
2018-05-21,85.38794151681921
2018-05-22,85.11886077672804
2018-05-23,86.67754097757447
2018-05-24,86.68118526142078
2018-05-25,85.34122060485159
2018-05-29,84.73691270346474
2018-05-30,84.31504007541744
2018-05-31,84.2353806096266
2018-06-01,84.77826383882282
2018-06-04,84.97529344173728
2018-06-05,85.02785109698684
2018-06-06,86.60709727573048
2018-06-07,85.17029215661603
2018-06-08,85.23147589061432
2018-06-11,86.18735364434953
2018-06-12,87.31495235732027
2018-06-13,87.95969686241322
2018-06-14,88.10742157471267
2018-06-15,86.87842947091329
2018-06-18,84.76132662783397
2018-06-19,84.87569212069393
2018-06-20,84.71177206558714
2018-06-21,85.36227715859461
2018-06-22,85.10907838649783
2018-06-25,85.01743721356428
2018-06-26,84.85205520275443
2018-06-27,83.37937448896903
2018-06-28,83.42092795798364
2018-06-29,85.5589312928149
2018-07-02,87.14575792067417
2018-07-03,86.85919603418566
2018-07-04,86.83132198484572
2018-07-05,87.79318668185968
2018-07-06,86.1943263491538
2018-07-09,85.66693628093263
2018-07-10,85.680270764212
2018-07-11,85.45667204891828
2018-07-12,83.39950449606451
2018-07-13,82.65067055962926
2018-07-16,81.2955526645452
2018-07-17,81.29050631477362
2018-07-18,81.79266324912925
2018-07-19,81.09033398554908
2018-07-20,81.5578855823187
2018-07-23,82.01701292901242
2018-07-24,82.19716136235324
2018-07-25,83.0309426563989
2018-07-26,85.34045949537216
2018-07-27,86.31434672817767
2018-07-30,90.57337331637179
2018-07-31,89.96785851138951
2018-08-01,88.17739706224553
2018-08-02,88.76425379318188
2018-08-03,88.63888695781843
2018-08-06,89.63560126611763
2018-08-07,89.64742421713032
2018-08-08,88.80460468593864
2018-08-09,89.40168777089164
2018-08-10,89.29916728356352
2018-08-13,89.44028609639824
2018-08-14,89.38791473903339
2018-08-15,88.44479038611323
2018-08-16,88.25294943975643
2018-08-17,87.6520052573615
2018-08-20,87.1789051629118
2018-08-21,87.0427068236934
2018-08-22,87.49889236610959
2018-08-23,87.48633396078424
2018-08-24,87.45341920047207
2018-08-27,87.6076645324774
2018-08-28,87.28284541418228
2018-08-29,91.80937207592507
2018-08-30,91.79810438343239
2018-08-31,91.31162789983416
2018-09-03,91.37628050591161
2018-09-04,90.83509736456875
2018-09-05,90.34457222975273
2018-09-06,89.6654938751094
2018-09-07,89.7624664193871
2018-09-10,89.29546493502835
2018-09-11,89.39789054912447
2018-09-12,88.58095131631369
2018-09-13,86.76051855172184
2018-09-14,86.76720374145984
2018-09-17,86.92777339674025
2018-09-18,86.74463222303756
2018-09-19,87.06590818022886
2018-09-20,87.44987817599345
2018-09-21,87.44855828346134
2018-09-24,86.93905682882401
2018-09-25,87.04935025680128
2018-09-26,87.60910451546403
2018-09-27,89.92674930743968
2018-09-28,89.73289107434461
2018-10-01,88.81795595888536
2018-10-02,88.87611638780656
2018-10-03,88.7283956655634
2018-10-04,89.11642306061323
2018-10-05,88.50505327027341
2018-10-08,88.72648836455183
2018-10-09,88.95642677630259
2018-10-10,88.3013862793841
2018-10-11,86.62218519792054
2018-10-12,86.9643770913163
2018-10-15,88.68184841815477
2018-10-16,89.09743404481574
2018-10-17,89.13542691967396
2018-10-18,89.2813014918437
2018-10-19,89.20965685847696
2018-10-22,89.19710481842068
2018-10-23,89.30812464350042
2018-10-24,89.26017799777388
2018-10-25,90.60725220590056
2018-10-26,90.5317946571043
2018-10-29,90.5482616211421
2018-10-30,89.52981939146703
2018-10-31,89.47669921674307
2018-11-01,86.81560069537393
2018-11-02,86.93125741281986
2018-11-05,85.43012003054822
2018-11-06,85.17711118848925
2018-11-07,85.23505451855932
2018-11-08,85.36535224502728
2018-11-09,85.51420232136564
2018-11-12,85.03543750496725
2018-11-13,82.13852019278077
2018-11-14,82.11742729567925
2018-11-15,83.10619986536875
2018-11-16,83.13804808231879
2018-11-19,84.35900965169076
2018-11-20,83.64006811352746
2018-11-21,83.38612770522397
2018-11-22,83.37131902536821
2018-11-23,81.62105405433331
2018-11-26,79.83461680909294
2018-11-27,82.25991744343216
2018-11-28,81.94852237108128
2018-11-29,82.18934342595618
2018-11-30,82.2367364242504
2018-12-03,79.67911058391829
2018-12-04,80.64935273770834
2018-12-05,80.64668763609171
2018-12-06,77.94335982674227
2018-12-07,77.08658557165317
2018-12-10,77.21924179499145
2018-12-11,77.1416960894054
2018-12-12,77.82460299732185
2018-12-13,77.569654580862
2018-12-14,77.60410069465068
2018-12-17,78.98054766954667
2018-12-18,78.51600012685557
2018-12-19,78.43988928924855
2018-12-20,79.09365851836611
2018-12-21,86.25444604312857
2018-12-27,86.23152041624012
2018-12-28,86.29598154398299
2019-01-02,79.01978049654988
2019-01-03,79.01815959417874
2019-01-04,76.78404122604266
2019-01-07,76.31925709097408
2019-01-08,77.66621046553632
2019-01-09,76.46475443179462
2019-01-10,79.3922423584576
2019-01-11,79.2121419423481
2019-01-14,79.25210794192381
2019-01-15,79.9363348764648
2019-01-16,83.13898238503745
2019-01-17,83.85683226958511
2019-01-18,84.51154473513088
2019-01-21,84.7886478395265
2019-01-22,83.89632312000057
2019-01-23,86.09942930559517
2019-01-24,86.45585886301278
2019-01-25,87.32061849181102
2019-01-28,85.8336585972551
2019-01-29,85.37722203720337
2019-01-30,85.56867411193387
2019-01-31,85.54535638694966
2019-02-01,87.23961411550253
2019-02-04,87.17460611928568
2019-02-05,87.82576893199354
2019-02-06,87.72604512533583
2019-02-07,86.96816644935964
2019-02-08,86.98221144586022
2019-02-11,88.75355097866617
2019-02-12,88.78541322399822
2019-02-13,88.97119956799051
2019-02-14,88.8861587111202
2019-02-15,88.30121383783955
2019-02-18,88.24379613708118
2019-02-19,88.32032575979716
2019-02-20,88.20857356741563
2019-02-21,89.89093689550803
2019-02-22,89.69962181856246
2019-02-25,85.2345882168032
2019-02-26,85.6341935314929
2019-02-27,85.48253079802278
2019-02-28,85.42948909860435
2019-03-01,85.87877973641035
2019-03-04,85.8839601369169
2019-03-05,85.93295577190548
2019-03-06,86.33084295704462
2019-03-07,86.26155167181068
2019-03-08,85.90389051607741
2019-03-11,89.22993318382092
2019-03-12,89.30470932352493
2019-03-13,89.74127911857988
2019-03-14,89.93712175966097
2019-03-15,91.64359920526681
2019-03-18,91.81840058662513
2019-03-19,91.99060648044713
2019-03-20,91.29021619718853
2019-03-21,91.14745159547972
2019-03-22,88.54603799703814
2019-03-25,88.4080223938643
2019-03-26,88.40491123095786
2019-03-27,88.41788083620108
2019-03-28,87.64491508825814
2019-03-29,86.42216658168431
