Date,FinalForecast,Multiplier,CARRY_forecast,EWMA004_forecast,EWMA008_forecast,EWMA016_forecast,EWMA032_forecast,EWMA064_forecast
2017-01-03,,,7.701342281879158,-9.108344400398648,-3.684228195177883,-1.4012837539075078,-0.514078352815559,-0.1848894860148574
2017-01-04,,,7.507527484143097,-0.4251284267207923,-0.6788036380065767,-0.3685272416944081,-0.1569759196909648,-0.0605250899735074
2017-01-05,1.4543917920142115,1.5,7.4713651056318655,-3.2017005214410736,-1.701758211228774,-0.7640133351432341,-0.3064999911783122,-0.1154479176095093
2017-01-06,0.34103042840006337,1.4806539908246503,7.162771244289432,2.3856657881095384,0.4528347527093519,0.020055090073044,-0.0280947945750226,-0.0173182939661873
2017-01-09,2.3912730487564264,1.4382279758424799,7.277473605030577,7.265208108468219,2.7229339848945067,0.9189306047542748,0.3038989873550828,0.1019208889710476
2017-01-10,4.404397250477489,1.4215095737083034,7.4253566147448575,7.617273895325279,3.581121268758729,1.3928938530271535,0.503382941626647,0.1779019210929829
2017-01-11,4.8342484762231015,1.4013715460557832,7.77287671007817,8.453564970357586,4.593010499063308,1.9627774907756776,0.7503483021845612,0.2736711914265696
2017-01-12,5.156335433515691,1.2995752664820117,7.852872328588133,11.037715760583689,6.233543665775894,2.794942022264318,1.104644833554116,0.4108398867500833
2017-01-13,6.383693110772326,1.301264928701614,8.074123288872375,12.32470673420119,7.63282508689356,3.6338036044491866,1.4876353136838207,0.5640270781131381
2017-01-16,7.327580870966104,1.3039513393595996,8.460103138088536,12.852859227970852,8.759562404789683,4.427940197418626,1.8761438983474652,0.7246200255267243
2017-01-17,8.071031130524771,1.3052448188152979,8.856422510076197,13.235736496288164,9.782648527071652,5.222862719720919,2.284900993946188,0.8979274221982472
2017-01-18,8.190980478258968,1.220091222629499,8.998387510647326,10.30023426576008,9.26216091392754,5.407578660754861,2.4747841194145663,0.9950975344522018
2017-01-19,7.526000623297232,1.206146445862992,9.378887786244595,6.9906508787946064,8.346518220703038,5.432021988428518,2.617912295111616,1.0800344314962695
2017-01-20,6.677663945116378,1.1837721847547304,9.476389722186394,7.40508579246606,8.41250981952067,5.681944204246402,2.8175177596386143,1.181613707251878
2017-01-23,6.8063524084669575,1.167635260010028,9.587223176852689,9.757002948159696,9.364986167828,6.269589987667271,3.1463522896893994,1.3323213876003497
2017-01-24,7.650959277702816,1.1634235224603922,9.975170443218358,12.267251452061751,10.761085379541788,7.132775272059706,3.610697432121476,1.5411117166003327
2017-01-25,8.641840145926025,1.1449155602330199,8.984963152097501,15.373845600362989,12.42777247578576,8.057073860203126,4.084177492658352,1.7510268633681323
