Date,FinalForecast,Multiplier,CARRY_forecast
2017-07-17,-20.0,1.0,-20.0
2017-07-18,-20.0,1.0,-20.0
2017-07-19,-20.0,1.0,-20.0
2017-07-20,-20.0,1.0,-20.0
2017-07-21,-20.0,1.0,-20.0
2017-07-24,-20.0,1.0,-20.0
2017-07-25,-20.0,1.0,-20.0
2017-07-26,-20.0,1.0,-20.0
2017-07-27,-20.0,1.0,-20.0
2017-07-28,-20.0,1.0,-20.0
2017-07-31,-20.0,1.0,-20.0
2017-08-01,-20.0,1.0,-20.0
2017-08-02,-20.0,1.0,-20.0
2017-08-03,-20.0,1.0,-20.0
2017-08-04,-20.0,1.0,-20.0
2017-08-07,-20.0,1.0,-20.0
2017-08-08,-20.0,1.0,-20.0
2017-08-09,-20.0,1.0,-20.0
2017-08-10,-20.0,1.0,-20.0
2017-08-11,-20.0,1.0,-20.0
2017-08-14,-20.0,1.0,-20.0
2017-08-15,-20.0,1.0,-20.0
2017-08-16,-20.0,1.0,-20.0
2017-08-17,-20.0,1.0,-20.0
2017-08-18,-20.0,1.0,-20.0
2017-08-21,-20.0,1.0,-20.0
2017-08-22,-20.0,1.0,-20.0
2017-08-23,-20.0,1.0,-20.0
2017-08-24,-20.0,1.0,-20.0
2017-08-25,-20.0,1.0,-20.0
2017-08-28,-20.0,1.0,-20.0
2017-08-29,-20.0,1.0,-20.0
2017-08-30,-20.0,1.0,-20.0
2017-08-31,-20.0,1.0,-20.0
2017-09-01,-20.0,1.0,-20.0
2017-09-04,-20.0,1.0,-20.0
2017-09-05,-20.0,1.0,-20.0
2017-09-06,-20.0,1.0,-20.0
2017-09-07,-20.0,1.0,-20.0
2017-09-08,-20.0,1.0,-15.370285436092084
2017-09-11,-15.370285436092084,1.0,-15.765906223477534
2017-09-12,-15.765906223477534,1.0,-15.370542343810923
2017-09-13,-15.370542343810923,1.0,-16.13091088042412
2017-09-14,-16.13091088042412,1.0,-16.556003036629605
2017-09-15,-16.556003036629605,1.0,-17.587417380796644
2017-09-18,-17.587417380796644,1.0,-18.37286213870515
2017-09-19,-18.37286213870515,1.0,-18.47203951898188
2017-09-20,-18.47203951898188,1.0,-18.909058072002495
2017-09-21,-18.909058072002495,1.0,-19.790768415542203
