Date,FinalForecast,Multiplier,EWMA002_forecast,EWMA004_forecast,EWMA008_forecast,EWMA016_forecast,EWMA_NORM_forecast
2021-01-02,,,-4.7111111111111175,-2.117647058823509,-0.8565656565656494,-0.3257918552036185,0.0
2021-01-03,,,-6.209782575564375,-3.5989274493501724,-1.6623579259570314,-0.6772583346972418,-16.17162923170247
2021-01-04,,,-1.5470767904052465,-2.351902068132177,-1.4742977100368675,-0.688162609974392,16.092712825196138
2021-01-05,2.0062547293294912,1.0,14.556085411880728,5.4582901425071,1.7277635839539172,0.519598626326518,20.0
2021-01-06,13.811007086761501,1.6339847598869683,20.0,11.841368765396982,4.888115151286265,1.821526484531172,20.0
2021-01-07,15.832671458661077,1.3520408401297792,19.949953073695017,14.007167695873529,6.8946863622212025,2.841498320789796,20.0
2021-01-08,16.61187108985389,1.304051577463006,20.0,16.04283360727094,7.9276059942578945,3.3499995800131805,20.0
2021-01-09,13.935114070734043,1.0349838949472263,20.0,20.0,10.273056302603468,4.425140742319659,20.0
2021-01-10,15.29782335009745,1.0239754073915208,20.0,20.0,12.064885522869549,5.573418569102111,20.0
2021-01-11,15.815848099160384,1.0185596068935676,19.38968759338693,20.0,13.60481878389822,6.7454610941375055,20.0
2021-01-12,16.23832146027668,1.0182046704556404,20.0,20.0,14.450955866624888,7.379175283616662,20.0
2021-01-13,16.858855771734678,1.0301129629611325,20.0,20.0,16.899185201962773,8.858439147316851,20.0
2021-01-14,17.72264658001705,1.0332985967425483,20.0,20.0,19.333577267667184,10.373359783781384,20.0
2021-01-15,18.63293538496614,1.0385448437660851,20.0,20.0,20.0,12.241260576434904,20.0
2021-01-16,19.14382137534753,1.0377038028163208,20.0,20.0,16.507041741467674,9.03936075029338,20.0
2021-01-17,17.799210717585968,1.0403249113427184,20.0,20.0,19.789131880215574,11.022126539539512,20.0
2021-01-18,18.889771026883697,1.0400566711436747,20.0,20.0,20.0,12.584912707466772,20.0
2021-01-19,19.22041996700385,1.0379887718711303,14.975672576024396,20.0,20.0,13.313466596906778,20.0
2021-01-20,18.269697380548827,1.034651461759307,13.467343485424005,20.0,20.0,14.34002672271014,20.0
2021-01-21,18.184422040069105,1.0354724208779782,5.588158953060499,18.302489378914583,20.0,14.505638852444203,20.0
2021-01-22,16.199456907762382,1.033177557864112,9.469798046594034,17.701847974467366,20.0,14.7018764753959,20.0
2021-01-23,16.99825155866209,1.038079896916467,10.161694147671383,17.67545761265309,20.0,15.680297018705597,20.0
2021-01-24,17.33884041725533,1.038037001293605,6.975403367734436,16.059803799515723,20.0,16.351358959736192,20.0
2021-01-25,16.46857334058473,1.0372393053405082,3.6024204700881395,13.878536714478344,20.0,16.860788253365808,20.0
2021-01-26,15.4136786793036,1.036677212009532,2.357380192266504,12.257936104148673,19.58424885523609,17.37065639001963,20.0
2021-01-27,14.837144134869998,1.0365445163692313,-4.005435578636052,7.946639459887718,17.297825228437087,16.730764133781804,16.933333333333334
2021-01-28,11.392453449344702,1.0375049801041674,-0.7417242841194852,7.343242537829716,16.429552138390346,16.679930528296396,16.933333333333334
2021-01-29,11.799058076074122,1.0415038177712448,-1.6848428806211186,5.958971048805588,15.53777327689336,16.771200687204978,16.933333333333334
2021-01-30,11.144847250292173,1.041254630780916,0.6996371448103441,6.03849881987849,15.132273617734526,16.961991676341054,20.0
2021-01-31,12.264665691554187,1.0423393766990845,8.82232464629095,8.897272072182517,15.095460656517709,16.48792796680834,20.0
2021-02-01,14.54136860028687,1.0491155993186605,8.473383529150054,9.7753917549048,15.537258079875624,17.052871854298317,20.0
2021-02-02,14.858195263470598,1.048731288103474,8.68901143172992,10.553255368904727,16.022067464000106,17.649066457677474,20.0
2021-02-03,15.29528255418786,1.0488663539669019,14.484640355688184,13.219656652469592,16.535691367733463,17.47448726104325,20.0
2021-02-04,17.18048866676786,1.0512512338145859,16.60276625870788,15.614999335086653,17.983795592344457,18.45068092640181,20.0
2021-02-05,18.642477434348393,1.051438575613375,20.0,18.64932579846943,17.54246402072109,16.486820250816,20.0
2021-02-06,19.4928261973698,1.0516356569571732,20.0,20.0,19.94726027110664,17.99815895158132,20.0
2021-02-07,20.59916034023526,1.0515632330594844,20.0,20.0,15.981817412369866,12.770120030812564,20.0
2021-02-08,18.508265701080553,1.0426964320034844,20.0,20.0,16.363558985108657,11.571574827224875,20.0
2021-02-09,18.263326716855243,1.038454479175062,20.0,20.0,20.0,13.597691839475988,20.0
2021-02-10,19.439857173764107,1.03847951758812,20.0,20.0,11.977953750713182,7.044065815862919,20.0
2021-02-11,16.111385766730855,1.0194238172536836,20.0,20.0,13.530900681035256,8.031919581216362,20.0
2021-02-12,16.62667968425102,1.0192560550745247,20.0,20.0,15.267566830098522,9.295672586596094,20.0
2021-02-13,17.237976016037685,1.0192357893892683,12.955334448188728,18.8412389352685,15.620234530693663,10.039504412476406,20.0
2021-02-14,15.784188384338995,1.018909105676132,4.927587499745127,14.809844517651204,14.871490917033084,10.320008810222342,20.0
2021-02-15,13.22714041969462,1.0185860189193816,1.402678808920839,11.90618800554367,14.302134305512764,10.70434188841209,20.0
2021-02-16,11.879000680739548,1.0185141737939027,-1.325483793506435,9.12452376451368,13.44380735210984,10.912115698262763,20.0
