Asset,CAGR,Vol,Sharpe,Sortino,MaxDD,MaxDD_weeks,Calmar,N,CorrToUnderlying,AvgAbsDeltaPos,AvgPos
dax,0.0642023485844394,0.11573546746015786,0.5962818190864893,0.8420476487168213,-0.2436672244817183,129,0.2634837275345431,876,0.9565509058859345,0.03218124183996869,0.5738094116879386
ndx,0.10801573890930749,0.1081990412517539,1.0035976352052551,1.4451686119362148,-0.19732249507743893,113,0.5474071208501436,876,0.9499048245587497,0.03313786243323444,0.5664621964051215
spx,0.07376884867058986,0.09687005406935585,0.7849131885950453,1.066952292032783,-0.2331194219389231,106,0.3164423112284363,876,0.9486282407149581,0.0327065948248662,0.5677598134356016
sx5e,0.03519482504475491,0.11768344762164558,0.3533016586615151,0.48927340956775345,-0.2467139494532673,329,0.1426543781685175,876,0.9634002276845723,0.035634478049044016,0.578255404707998
