0
ret_1w
ret_2w
mom_4_12
rv_4w
rv_4w_ann
vix
vix_chg_1w
vix_ts_slope
vix_short_spread
vrp
ust10y
ust2y
slope_10y_2y
ust10y_chg
slope_chg
dxy_ret_1w
eurusd_ret_1w
usdjpy_ret_1w
wti_ret_1w
brent_ret_1w
gold_ret_1w
copper_ret_1w
hy_oas
hy_oas_chg
ig_oas
ig_oas_chg
hy_ig_oas_spread
hy_ig_oas_spread_chg
cesi_us
cesi_us_chg
jobless_claims
jobless_claims_chg
ndx_ret_1w
rty_ret_1w
ndx_minus_spx_ret
rty_minus_spx_ret
