date,asset,y,er_te,signal_up,position,ret_fwd_1w,strat_ret,turnover
2008-11-29,spx,1.0,0.038276816977413614,1,0.7503036428958942,0.0041777483534419,0.0031345798086897816,0.7503036428958942
2008-11-29,ndx,1.0,0.033582562901450154,1,0.7576868414644109,0.0244339358333265,0.018513271666097245,0.7576868414644109
2008-11-29,dax,1.0,0.0845795810169226,1,0.8526006445313067,0.0643391373214925,0.05485558994889276,0.8526006445313067
2008-11-29,sx5e,1.0,0.0805115471231201,1,0.9598111682922363,0.0740734162489065,0.07109649218926006,0.9598111682922363
2008-12-06,spx,1.0,-0.019283189774714042,0,-0.45046414529833334,0.0092642060632239,-0.004173192666137792,1.2007677881942276
2008-12-06,ndx,1.0,-0.02528596373310648,0,-0.6411389488377013,0.008734927278001,-0.005600302093191325,1.3988257903021122
2008-12-06,dax,1.0,-0.018847069635187664,0,-0.36433515742450984,0.0071471918376624,-0.0026039732633179025,1.2169358019558165
2008-12-06,sx5e,1.0,-0.02810405166330512,0,-0.5976006971420881,0.0104303177877638,-0.0062331651813811685,1.5574118654343243
2008-12-13,spx,0.0,-0.0262853753866579,0,-0.7444793111881916,-0.0169842771545705,0.012644442957063984,0.2940151658898582
2008-12-13,ndx,0.0,-0.03564389503288366,0,-1.0,-0.0260846704294317,0.0260846704294317,0.3588610511622987
2008-12-13,dax,0.0,-0.02166373897522159,0,-0.49888910497557526,-0.0143334681797857,0.007150811111409176,0.13455394755106542
2008-12-13,sx5e,0.0,-0.028120944305202178,0,-0.7187863015363568,-0.0272979452895496,0.019621389134217168,0.12118560439426873
2008-12-20,spx,1.0,-0.003309563630205981,0,-0.167092544805207,0.0675985334555453,-0.011295210980186987,0.5773867663829846
2008-12-20,ndx,1.0,-0.006899429296498871,0,-0.3159348107432948,0.0660176811985422,-0.020857283615172605,0.6840651892567051
2008-12-20,dax,1.0,0.011289309233051052,1,0.3830511280164648,0.0742410430770426,0.028438115295780123,0.88194023299204
2008-12-20,sx5e,1.0,-2.0503730765188013e-05,0,0.0,0.0669002532156706,0.0,0.7187863015363568
2008-12-27,spx,0.0,0.00027547046848600855,1,0.0,-0.0444837948057522,-0.0,0.167092544805207
2008-12-27,ndx,0.0,-0.0007103242209152489,0,-0.027728076520927066,-0.0321990978871568,0.0008928190501199049,0.28820673422236776
2008-12-27,dax,0.0,0.0070212980269685225,1,0.2980574753376925,-0.0380408882239742,-0.011338371103641108,0.08499365267877229
2008-12-27,sx5e,0.0,0.014892548173673595,1,0.49512370876772616,-0.0196651251542496,-0.009736669699753566,0.49512370876772616
2009-01-03,spx,0.0,-0.0008852784235571514,0,-0.029236205458231194,-0.045184478014264,0.0013210226827479526,0.029236205458231194
2009-01-03,ndx,0.0,-0.00986379605355178,0,-0.3302660752746618,-0.0203350749380625,0.006715985390210039,0.3025379987537347
2009-01-03,dax,0.0,-0.00845112749048265,0,-0.3130172268658601,-0.0872950674033058,0.027324859917651118,0.6110747022035525
2009-01-03,sx5e,0.0,-0.012892438651206985,0,-0.45915341799446174,-0.0824985220723965,0.0378794783890324,0.9542771267621879
2009-01-10,spx,0.0,-0.02007333967493968,0,-0.6061060833860616,-0.0213734531595538,0.012954579982972598,0.5768698779278304
2009-01-10,ndx,0.0,-0.03598328917127743,0,-1.0,-0.0185704508655082,0.0185704508655082,0.6697339247253382
2009-01-10,dax,0.0,0.012682785781170866,1,0.3368843217275848,-0.0429060893941753,-0.014454388823539865,0.649901548593445
2009-01-10,sx5e,0.0,0.024166945636620626,1,0.6656407477786319,-0.0585504832453045,-0.038973587450204746,1.1247941657730935
2009-01-17,spx,0.0,-0.030933256650589915,0,-0.9201008983161136,-0.007296111545165,0.006713158786920885,0.313994814930052
2009-01-17,ndx,1.0,-0.03211933241086702,0,-1.0,0.0037078298140131,-0.0037078298140131,0.0
2009-01-17,dax,1.0,-0.04522037372970234,0,-0.9773050117751736,0.0381460370333148,-0.03728031317201993,1.3141893335027584
2009-01-17,sx5e,1.0,-0.026147035154167678,0,-0.6945692598550217,0.0414876133099304,-0.028816020869829706,1.3602100076336536
2009-01-24,spx,1.0,-0.0014022853527904942,0,-0.06496769908372524,0.0517266430958494,-0.0033605609832623976,0.8551331992323884
2009-01-24,ndx,1.0,-0.0143112729328642,0,-0.7027766063673232,0.0823893242957001,-0.05790128972942897,0.2972233936326768
2009-01-24,dax,1.0,-0.01810934956367429,0,-0.6169829551634631,0.0705982689271265,-0.043557928592083406,0.36032205661171046
2009-01-24,sx5e,1.0,-0.012604169459725688,0,-0.38352537739090997,0.0476892953893195,-0.018290055011695346,0.31104388246411174
2009-01-31,spx,0.0,0.003531833323021836,1,0.1238921365549834,-0.0480773658761224,-0.005956407578328456,0.18885983563870865
2009-01-31,ndx,0.0,0.004347521605041892,1,0.14460453622404157,-0.0318123820930106,-0.004600214758741803,0.8473811425913648
2009-01-31,dax,0.0,0.010046123742831784,1,0.2524328945479143,-0.0497865276674353,-0.012567757288580512,0.8694158497113774
2009-01-31,sx5e,0.0,0.003169478493709795,1,0.08993934870502371,-0.0492264236280005,-0.004427392480179955,0.4734647260959337
2009-02-07,spx,0.0,-0.011853350670916193,0,-0.4143003062986055,-0.0686831793333656,0.028455462235375418,0.5381924428535889
2009-02-07,ndx,0.0,-0.016344806859306494,0,-0.5211690963500233,-0.0518575413348424,0.027026547956413793,0.6657736325740649
2009-02-07,dax,0.0,-0.007307006541384752,0,-0.21665978222337326,-0.0903455167116434,0.019574239975602786,0.4690926767712875
2009-02-07,sx5e,0.0,0.009663567458649332,1,0.2969645804542602,-0.0972090706326375,-0.028867650876769745,0.2070252317492365
2009-02-14,spx,0.0,0.036903282612704626,1,1.0,-0.0453996493734172,-0.0453996493734172,1.4143003062986055
2009-02-14,ndx,0.0,0.013750864924163777,1,0.39202316742361365,-0.047513878111383,-0.01862654099380387,0.9131922637736369
2009-02-14,dax,0.0,0.041817940438186346,1,0.8726214797429088,-0.042573966413096,-0.037150957569920734,1.0892812619662822
2009-02-14,sx5e,0.0,0.03446949965844439,1,0.8614644798071049,-0.0176220870118508,-0.01518080202077959,0.5644998993528447
2009-02-21,spx,0.0,0.004308166239356927,1,0.12900875732510725,-0.0703451278074793,-0.009075137522318751,0.8709912426748927
2009-02-21,ndx,0.0,-0.0017434638075530858,0,-0.049053988896180664,-0.0468133107727015,0.002296379626837554,0.44107715631979433
2009-02-21,dax,0.0,0.000527839534538216,1,0.013785962513168513,-0.0461347541717181,-0.0006360119915655504,0.8588355172297403
2009-02-21,sx5e,0.0,-0.004064724615857558,0,-0.11975057552491919,-0.0804511620610961,0.009634072958464801,0.9812150553320241
2009-02-28,spx,1.0,-0.0680378035103469,0,-1.0,0.1070707366326202,-0.1070707366326202,1.1290087573251073
2009-02-28,ndx,1.0,-0.09000524982964984,0,-1.0,0.0975110359725743,-0.0975110359725743,0.9509460111038194
2009-02-28,dax,1.0,-0.0946965460877767,0,-1.0,0.0783300285565444,-0.0783300285565444,1.0137859625131684
2009-02-28,sx5e,1.0,-0.04844735477898063,0,-1.0,0.0837974070568554,-0.0837974070568554,0.8802494244750808
2009-03-07,spx,1.0,-0.04400430060874244,0,-0.9257118214825482,0.015848258542066,-0.01467092028230227,0.07428817851745184
2009-03-07,ndx,1.0,-0.05083988030414346,0,-1.0,0.0159689179474891,-0.0159689179474891,0.0
2009-03-07,dax,1.0,-0.03780909405787109,0,-0.861175349302159,0.0291228247673005,-0.025079858791645575,0.138824650697841
2009-03-07,sx5e,1.0,-0.044876408879250394,0,-0.9400245601977769,0.0413501766927981,-0.0388701816597479,0.059975439802223085
