Asset,N,Sharpe_Strat,Sortino_Strat,CAGR_Strat,Vol_Strat,MaxDD_Strat,Calmar_Strat,Sharpe_Under,Sortino_Under,CAGR_Under,Vol_Under,MaxDD_Under,Calmar_Under,HitRate,CorrToUnderlying,AvgPos,AvgTurnover
dax,876,0.5539699639920139,0.8004551805007606,0.09549128145102426,0.20182606755015878,-0.408170838627392,0.2339492987106696,0.5985464573572719,0.8468481768742565,0.10523098423384836,0.2017269125885449,-0.35034825573823436,0.30036109074415535,0.5570776255707762,0.37814903192085325,0.5753424657534246,0.19292237442922375
ndx,876,0.6065432184608975,0.8513260126277924,0.1049482751334605,0.1970742528821985,-0.4053559357618405,0.2589040047883274,1.0217779956787294,1.5285022930921284,0.1977716440553572,0.19581278660248205,-0.3449099577996946,0.5734007951437936,0.5662100456621004,0.3102491682059486,0.5251141552511416,0.24315068493150685
spx,876,0.5765035063715328,0.7911405988155289,0.08817299038449011,0.173305411381556,-0.3880851793997915,0.22720009694999832,0.7855072885206198,1.1248121448271007,0.12800192725856463,0.17283544147094004,-0.31810328505159513,0.40239108891253106,0.5799086757990868,0.2808134364971453,0.547945205479452,0.23858447488584475
sx5e,876,0.2585728477765882,0.3596033444834049,0.03216138941966773,0.20309271254971537,-0.47677533991438614,0.06745606730717849,0.3618702173442851,0.5005239015278413,0.053957467771799994,0.20296768998512946,-0.3396251629726196,0.1588735866904833,0.54337899543379,0.4408547343615312,0.5730593607305936,0.24771689497716895
Portfolio (EW),876,0.5853926333145825,0.8289888649245841,0.08585007908094844,0.16389216721121866,-0.37067567583964944,0.23160429636091448,0.7638734503451148,1.1080970947403954,0.12441430491905425,0.17346838875793733,-0.31212177737382174,0.39860821620929654,,0.337970217713035,,
