date,roll_corr_to_basket_26w,roll_corr_to_basket_52w
2008-11-29,,
2008-12-06,,
2008-12-13,,
2008-12-20,,
2008-12-27,,
2009-01-03,,
2009-01-10,,
2009-01-17,,
2009-01-24,,
2009-01-31,,
2009-02-07,,
2009-02-14,,
2009-02-21,,
2009-02-28,,
2009-03-07,,
2009-03-14,,
2009-03-21,,
2009-03-28,,
2009-04-04,,
2009-04-11,,
2009-04-18,,
2009-04-25,,
2009-05-02,,
2009-05-09,,
2009-05-16,,
2009-05-23,-0.6085057488629524,
2009-05-30,-0.65399095465935,
2009-06-06,-0.6608302702554535,
2009-06-13,-0.681423229084354,
2009-06-20,-0.8378695351360139,
2009-06-27,-0.8355855825023113,
2009-07-04,-0.8411024561602887,
2009-07-11,-0.880520788726546,
2009-07-18,-0.8719450329889666,
2009-07-25,-0.859720314524298,
2009-08-01,-0.8401682318524496,
2009-08-08,-0.7870167242100388,
2009-08-15,-0.7724393209857435,
2009-08-22,-0.7073801852440605,
2009-08-29,-0.5510045305470219,
2009-09-05,-0.528139538835735,
2009-09-12,-0.6653282959505366,
2009-09-19,-0.5987938025386074,
2009-09-26,-0.4662377717537771,
2009-10-03,-0.45437114168946235,
2009-10-10,-0.45406763228261016,
2009-10-17,-0.275205994664501,
2009-10-24,-0.2163560079757195,
2009-10-31,-0.17130992051489752,
2009-11-07,-0.1567873265181942,
2009-11-14,-0.14024896852359842,
2009-11-21,-0.12834815793564394,-0.4706779584141983
2009-11-28,-0.12310935231836075,-0.49914669794947514
2009-12-05,-0.06554053607396391,-0.49895569088512753
2009-12-12,-0.028965256537084705,-0.5000412140398676
2009-12-19,-0.003321550934767905,-0.5946830903975295
2009-12-26,0.0656817182967298,-0.5781440372338899
2010-01-02,0.43157052059968265,-0.5446689727855484
2010-01-09,0.6330797654863763,-0.5603547113231685
2010-01-16,0.6461412836798336,-0.5446031122638822
2010-01-23,0.6455236867636304,-0.5119297728092879
2010-01-30,0.6126005499208639,-0.49289592722673364
2010-02-06,0.6298403927257241,-0.3936277037405851
2010-02-13,0.6082201729398453,-0.37363490888426726
2010-02-20,0.5835813730664203,-0.2938548458205872
2010-02-27,0.5414467683239057,-0.1448235208448685
2010-03-06,0.5283846095315031,-0.13545793593352012
2010-03-13,0.5144883644246419,-0.21563401197905413
2010-03-20,0.4935234967965003,-0.17834986340423323
2010-03-27,0.4190219360957224,-0.1704665586672946
2010-04-03,0.41400357204546584,-0.15701576170023904
2010-04-10,0.39870224037408997,-0.15862074509194846
2010-04-17,0.08944295354285722,-0.17526423544831296
2010-04-24,0.02562087566432176,-0.14070384764177918
2010-05-01,0.141849090028684,-0.08797347024610788
2010-05-08,0.015335561624327487,-0.11668747142351762
