date,asset,y,p_up,signal_up,position,ret_fwd_1w,strat_ret,turnover
2008-11-29,spx,1.0,0.999999,1,0.09148937485646548,0.0041777483534419,0.0003822195851640274,0.09148937485646548
2008-11-29,ndx,1.0,0.8110531342839996,1,0.0991046849998757,0.0244339358333265,0.002421517514068998,0.0991046849998757
2008-11-29,dax,1.0,0.999999,1,0.07304891485595454,0.0643391373214925,0.004699904164103273,0.07304891485595454
2008-11-29,sx5e,1.0,0.999999,1,0.0854999093660099,0.0740734162489065,0.006333270375712231,0.0854999093660099
2008-12-06,spx,1.0,0.5487804878048781,1,0.0,0.0092642060632239,0.0,0.09148937485646548
2008-12-06,ndx,1.0,0.4423076923076923,0,-0.026864849437284233,0.008734927278001,-0.00023466250616912388,0.1259695344371599
2008-12-06,dax,1.0,0.4166666666666667,0,-0.033238467895228004,0.0071471918376624,-0.00023756170643717732,0.10628738275118255
2008-12-06,sx5e,1.0,0.3669064748201439,0,-0.05283718779586114,0.0104303177877638,-0.0005511086597225868,0.13833709716187104
2008-12-13,spx,0.0,0.999999,1,0.12748871673252257,-0.0169842771545705,-0.0021653036990656933,0.12748871673252257
2008-12-13,ndx,0.0,0.999999,1,0.1539475268952988,-0.0260846704294317,-0.004015670502489942,0.18081237633258304
2008-12-13,dax,0.0,0.999999,1,0.09734894051849645,-0.0143334681797857,-0.0013953479412577197,0.13058740841372446
2008-12-13,sx5e,0.0,0.999999,1,0.11277180973325253,-0.0272979452895496,-0.0030784386923018246,0.16560899752911368
2008-12-20,spx,1.0,0.5068493150684932,0,0.0,0.0675985334555453,0.0,0.12748871673252257
2008-12-20,ndx,1.0,0.5068493150684932,1,0.0,0.0660176811985422,0.0,0.1539475268952988
2008-12-20,dax,1.0,0.5068493150684932,0,0.0,0.0742410430770426,0.0,0.09734894051849645
2008-12-20,sx5e,1.0,0.7368421052631579,1,0.11623437223096209,0.0669002532156706,0.007776108934615875,0.0034625624977095565
2008-12-27,spx,0.0,0.4044158362478903,0,-0.09179452073201103,-0.0444837948057522,0.0040833686245351445,0.09179452073201103
2008-12-27,ndx,0.0,0.4,0,-0.07263680619932618,-0.0321990978871568,0.0023388396330225416,0.07263680619932618
2008-12-27,dax,0.0,0.4,0,-0.10318745606394324,-0.0380408882239742,0.003925342482244714,0.10318745606394324
2008-12-27,sx5e,0.0,0.48717948717948717,0,0.0,-0.0196651251542496,-0.0,0.11623437223096209
