Asset,N,Sharpe_Strat,Sortino_Strat,CAGR_Strat,Vol_Strat,MaxDD_Strat,Calmar_Strat,Sharpe_Under,Sortino_Under,CAGR_Under,Vol_Under,MaxDD_Under,Calmar_Under,HitRate,AvgER,AvgGross,CorrToUnderlying,AvgTurnover
dax,876,0.3438084332638286,0.48834284194050787,0.040438158094186605,0.14664489451026286,-0.31010444443278373,0.13040173664119065,0.5985464573572719,0.8468481768742565,0.10523098423384836,0.2017269125885449,-0.35034825573823436,0.30036109074415535,0.5525114155251142,0.0021496112015029177,0.7211661561724648,0.28469138973635444,0.24161247183334694
ndx,876,0.4449374684095828,0.6046059189673312,0.05136171582114457,0.13262967308360732,-0.27929012873954817,0.18390093503462812,1.0217779956787294,1.5285022930921284,0.1977716440553572,0.19581278660248205,-0.3449099577996946,0.5734007951437936,0.5730593607305936,0.0015978950885776428,0.6484678263547828,0.22285480365691696,0.24895897153492616
spx,876,0.3866922028388819,0.5059542562205208,0.040526251608657526,0.12270056661078428,-0.3064592077263488,0.13224028055585538,0.7855072885206198,1.1248121448271007,0.12800192725856463,0.17283544147094004,-0.31810328505159513,0.40239108891253106,0.5787671232876712,0.0018250874948612201,0.7143013890017718,0.2403089064539046,0.2425914625538672
sx5e,876,0.05855699401394958,0.08058008797681271,-0.0007450989304385036,0.1284799611751842,-0.3605000096689105,-0.002066848572688848,0.3618702173442851,0.5005239015278413,0.053957467771799994,0.20296768998512946,-0.3396251629726196,0.1588735866904833,0.5388127853881278,0.0024274045188502793,0.6466943977174853,0.3964876307036115,0.2528326607847151
Portfolio (EW),876,0.35402124121395345,0.4810896791452632,0.03489977036383385,0.11609502197632178,-0.23100248177729354,0.15107963384341583,0.7638734503451148,1.1080970947403954,0.12441430491905425,0.17346838875793733,-0.31212177737382174,0.39860821620929654,,0.0019999995759480155,0.6826574423116262,0.26884379018938137,
