date,base_corr_26w,combo_corr_26w,base_corr_52w,combo_corr_52w
2008-11-29,,,,
2008-12-06,,,,
2008-12-13,,,,
2008-12-20,,,,
2008-12-27,,,,
2009-01-03,,,,
2009-01-10,,,,
2009-01-17,,,,
2009-01-24,,,,
2009-01-31,,,,
2009-02-07,,,,
2009-02-14,,,,
2009-02-21,,,,
2009-02-28,,,,
2009-03-07,,,,
2009-03-14,,,,
2009-03-21,,,,
2009-03-28,,,,
2009-04-04,,,,
2009-04-11,,,,
2009-04-18,,,,
2009-04-25,,,,
2009-05-02,,,,
2009-05-09,,,,
2009-05-16,,,,
2009-05-23,-0.6160962478108785,-0.6160962478108785,,
2009-05-30,-0.6927575829698518,-0.6927575829698518,,
2009-06-06,-0.6982562431362984,-0.6982562431362984,,
2009-06-13,-0.7238958171168891,-0.7238958171168891,,
2009-06-20,-0.8341388980702655,-0.8341388980702655,,
2009-06-27,-0.8351496473899518,-0.8351496473899518,,
2009-07-04,-0.8720039198853082,-0.8720039198853082,,
2009-07-11,-0.8806382893849183,-0.8806382893849183,,
2009-07-18,-0.877955489657956,-0.877955489657956,,
2009-07-25,-0.8683417761035671,-0.8683417761035671,,
2009-08-01,-0.8515670493764769,-0.8515670493764769,,
2009-08-08,-0.8250357342805478,-0.8250357342805478,,
2009-08-15,-0.8110545239852032,-0.8110545239852032,,
2009-08-22,-0.7570059500700228,-0.7570059500700228,,
2009-08-29,-0.6245139919718713,-0.6245139919718713,,
2009-09-05,-0.6105445263954802,-0.6105445263954802,,
2009-09-12,-0.613607188278787,-0.613607188278787,,
2009-09-19,-0.5635463889892228,-0.5635463889892228,,
2009-09-26,-0.46034589485439625,-0.46034589485439625,,
2009-10-03,-0.44823987344926175,-0.44823987344926175,,
2009-10-10,-0.44812652549347076,-0.44812652549347076,,
2009-10-17,-0.2858059460456474,-0.2858059460456474,,
2009-10-24,-0.221186043858305,-0.221186043858305,,
2009-10-31,-0.10460579962384577,-0.10460579962384577,,
2009-11-07,-0.09343402996816173,-0.09343402996816173,,
2009-11-14,-0.06867063583993543,-0.06867063583993543,,
2009-11-21,-0.03260728509306202,-0.03260728509306202,-0.4293168860240995,-0.4293168860240995
2009-11-28,-0.029426536551263326,-0.029426536551263326,-0.4701452987503475,-0.4701452987503475
2009-12-05,-0.004399308928051934,-0.004399308928051934,-0.4699173820725043,-0.4699173820725043
2009-12-12,0.02814111112062621,0.02814111112062621,-0.470130616082182,-0.470130616082182
2009-12-19,0.06722018601152284,0.06722018601152284,-0.5244204209560137,-0.5244204209560137
2009-12-26,0.12068439109746959,0.12068439109746959,-0.5115898275739302,-0.5115898275739302
2010-01-02,0.7846770358038093,0.7846770358038093,-0.5158832830526053,-0.5158832830526053
