date,n_assets,port_ret,avg_p_up,avg_gross
2008-11-29,4,0.0034592279097621324,0.9527625335709998,0.0872857210195764
2008-12-06,4,-0.000255833218082222,0.44366533039984524,0.028235126282093344
2008-12-13,4,-0.002663690208778795,0.999999,0.12288924846989259
2008-12-20,4,0.0019440272336539687,0.5643475126171593,0.02905859305774052
2008-12-27,4,0.0025868876849506,0.42289883085684443,0.06690469574882012
2009-01-03,4,0.002492277736175546,0.4890498126417823,0.046990960133865806
2009-01-10,4,-0.0014808666620043875,0.5591135254686899,0.04849120888770074
2009-01-17,4,-0.0022255271960189933,0.011905511904761905,0.12865078099430297
2009-01-24,4,-0.011180752471945561,1e-06,0.1741431085174483
2009-01-31,4,0.006036551072715452,0.14583358333333332,0.13652314102663737
2009-02-07,4,0.0057591776308014075,0.38974358974358975,0.07421262047544952
2009-02-14,4,0.0031089377458717675,0.3342217484008529,0.0762724645975588
2009-02-21,4,0.0052277137843428,0.3564189189189189,0.07935315037477039
2009-02-28,4,-0.013712858620115644,0.29423076923076924,0.17691561267762765
2009-03-07,4,-0.0028940977843056825,0.09587399294009669,0.11415663959087335
2009-03-14,4,0.0016497828374449949,0.5703177948126106,0.04468514241892526
2009-03-21,4,-0.0029741064693756536,0.3893892916899052,0.06823495595159276
2009-03-28,4,-0.0028709118798982652,0.3996117186906661,0.12785337697751475
2009-04-04,4,-0.011368611409812556,0.33712121212121215,0.32895931115883126
2009-04-11,4,0.00014117888823431156,0.22110794671893164,0.4095797831069637
2009-04-18,4,-0.004564847750760777,0.27542407653199485,0.24589706520396032
2009-04-25,4,-0.009445067313260311,0.14536368257632945,0.31664057018264885
2009-05-02,4,0.011064768058300992,0.09654469595157972,0.2961959275277076
2009-05-09,4,-0.004562759387095729,0.20402970849751928,0.20627708902685007
2009-05-16,4,-0.005595807155798854,0.014706632352941177,0.21694626127265879
2009-05-23,4,-0.0051128667428892265,0.30068965517241375,0.17672929639331375
2009-05-30,4,-0.00015592296497391153,0.47933202801415764,0.07754434428578466
2009-06-06,4,0.0038639346644885526,0.43829787234042555,0.12024397773711293
2009-06-13,4,0.0008023065508703995,0.42857142857142855,0.09843526282285868
2009-06-20,4,0.004561852324211409,0.1935483870967742,0.26547930651900853
2009-06-27,4,0.0034995162363112052,0.42499999999999993,0.13151633493993822
2009-07-04,4,-0.021880483452704564,0.33783084004603,0.2731465462267106
2009-07-11,4,-0.003539041776692652,0.4192546583850932,0.07721558517016139
2009-07-18,4,0.0003600110235208225,0.5343412396644336,0.04906730942618776
2009-07-25,4,0.0006751447621739231,0.5715718259873013,0.02759248137750239
2009-08-01,4,-0.0012187426373610156,0.6256014910747831,0.0945803214781443
2009-08-08,4,0.0024248547901236897,0.6246008939974457,0.102789721312099
2009-08-15,4,0.0006745228973595399,0.6057493742177722,0.0876350527815368
2009-08-22,4,-0.0046625577947165915,0.9473679210526316,0.3210465500072191
2009-08-29,4,0.004967299145425602,0.6586174242424243,0.15411978871362042
2009-09-05,4,0.0016900487851828948,0.5905594405594405,0.0788865637511158
2009-09-12,4,-0.005749409438161905,0.7752808988764044,0.28460038238016533
2009-09-19,4,-0.00531032535933918,0.875,0.2584124147047929
2009-09-26,4,0.005492370993799056,0.6628890041493776,0.12779158728314388
2009-10-03,4,0.000791591455574219,0.6364010989010989,0.10318206939996383
2009-10-10,4,-2.275811767681362e-05,0.6931818181818181,0.16541964940587092
2009-10-17,4,-0.007548616490906646,0.6816513761467891,0.16110400816721246
2009-10-24,4,0.004662574544128959,0.7519461077844312,0.16426058371551172
2009-10-31,4,-0.0004217551304720647,0.508803013913238,0.07430899890750356
2009-11-07,4,-0.0008342111165077065,0.6321000521104742,0.08774316303070931
2009-11-14,4,6.753006353451131e-05,0.6203839638622247,0.07896119111638321
2009-11-21,4,-0.001129816083864803,0.5062216969008121,0.048649603336735674
2009-11-28,4,-0.0009154838602552799,0.6291585127201565,0.13162683044024517
2009-12-05,4,0.000899618046372456,0.6284403669724771,0.1518245313575301
2009-12-12,4,0.004262411955159469,0.6292682926829268,0.15944000555225896
2009-12-19,4,-0.0005647760418998862,0.6438356164383562,0.16996779351539487
2009-12-26,4,0.0026195003290190207,0.6287570621468926,0.14019201500092313
2010-01-02,4,0.0031736685246860985,0.46473029045643155,0.15018587997855337
