date,n_assets,port_ret_base,port_ret_xs,port_ret_combo,alpha_eff,avg_er,avg_gross
2008-11-29,4,0.029291718728129496,0.028047344582137076,0.029291718728129496,0.0,0.034192865241819734,0.6955934184496757
2008-12-06,4,-0.0009480801536853882,7.446935525334646e-05,-0.0009480801536853882,0.0,-0.0045033601169026565,0.17897218380385443
2008-12-13,4,-0.0207967403709446,-0.006898840854307329,-0.0207967403709446,0.0,0.05327223339940123,0.9736037442129073
2008-12-20,4,0.018950855195284236,-0.002954410007373842,0.018950855195284236,0.0,0.00557111810340186,0.279524273055352
2008-12-27,4,0.009711495337165206,0.017876005517158115,0.009711495337165206,0.0,-0.004914954982500352,0.2932100426907749
2009-01-03,4,0.005199856287381725,0.04862218095221053,0.005199856287381725,0.0,-0.0006376922277530734,0.24526363783833607
2009-01-10,4,-0.007952337835554745,-0.031090130165462835,-0.007952337835554745,0.0,0.0013024153421141449,0.2894326338069473
2009-01-17,4,-0.018951715846990572,0.038755234852847986,-0.018951715846990572,0.0,-0.04677815931617499,0.998436893825152
2009-01-24,4,-0.06310088292699888,-0.03205743384020498,-0.06310088292699888,0.0,-0.06635144323996142,1.0
2009-01-31,4,0.03797632090593533,-0.017583448352379974,0.03797632090593533,0.0,-0.033754393990961,0.8635293531895865
2009-02-07,4,0.027997523956458093,-0.02608583397019449,0.027997523956458093,0.0,-0.008159475022751635,0.3785716085006091
2009-02-14,4,0.022256985839506933,0.012636848952167257,0.022256985839506933,0.0,-0.016193559813062516,0.5213577518178476
2009-02-21,4,0.028249224560292188,0.02808850193102279,0.028249224560292188,0.0,-0.010193416726225032,0.4524027793046542
2009-02-28,4,-0.047554199314606985,0.012428868429374872,-0.047554199314606985,0.0,-0.020597092478610118,0.6419647838011279
2009-03-07,4,-0.022677105989912644,0.011733741681351603,-0.022677105989912644,0.0,-0.038601531637184376,0.8937524772976067
2009-03-14,4,0.010636013413795149,0.02281750689882279,0.010636013413795149,0.0,0.004724658141187477,0.20240379533850697
2009-03-21,4,-0.011871119664433145,-0.010693152014741192,-0.011871119664433145,0.0,-0.009016220529240393,0.30553054059498963
2009-03-28,4,-0.010259037381580897,-0.006639563494109786,-0.010259037381580897,0.0,-0.008393458674821799,0.4644478065210908
2009-04-04,4,-0.022789871340020612,-0.017435263958515818,-0.022789871340020612,0.0,-0.012894390110558504,0.8260706782372865
2009-04-11,4,-0.00020101062457782495,-0.0032719312884001606,-0.00020101062457782495,0.0,-0.028627970176410642,1.0
2009-04-18,4,-0.016690555133366,-0.00029688007384038803,-0.016690555133366,0.0,-0.016716695516214027,0.9213382224014197
2009-04-25,4,-0.031024983181075348,0.029087510649482867,-0.031024983181075348,0.0,-0.028471395528803747,1.0
2009-05-02,4,0.0384260940211975,0.0004263374761492005,0.0384260940211975,0.0,-0.036453616299745945,1.0
2009-05-09,4,-0.018931354026484156,-0.021547325452320912,-0.018931354026484156,0.0,-0.02552937402576179,0.865435712752115
2009-05-16,4,-0.0252786353223603,-0.007843271013969422,-0.0252786353223603,0.0,-0.03851791769891665,1.0
2009-05-23,4,-0.023704412820880004,-0.009266860189414583,-0.023704412820880004,0.0,-0.02143227552828797,0.8212950530927114
2009-05-30,4,-0.00014309314336985687,-0.004130594132923618,-0.0022083902098316657,0.5,-0.0009323860206854476,0.1517774157765934
2009-06-06,4,0.008064965485090421,0.028966714395966087,0.022548322683073465,0.5,-0.0019420003729140657,0.2432506064941723
2009-06-13,4,0.0019405599095152055,0.019357676346497817,0.011619398082764115,0.5,-0.0032421652074199328,0.3029326010770708
2009-06-20,4,0.016822550550506424,0.018603578850087066,0.026124339975549957,0.5,-0.025492839101407337,1.0
2009-06-27,4,0.011995290952606824,-0.0011996978798906321,0.011395442012661508,0.5,-0.0033824064242562782,0.44724942610031093
2009-07-04,4,-0.06649126119611985,-0.005193499276198221,-0.06908801083421896,0.5,-0.009841429965222026,0.8495754002289141
2009-07-11,4,-0.009834614681282345,0.0059233282561719685,-0.006872950553196361,0.5,-0.0033277433541266032,0.21554315375281846
2009-07-18,4,0.0019232733605366336,0.015086111959059347,0.009466329340066307,0.5,0.0012191806855757028,0.09820289859924644
2009-07-25,4,0.0039057729745325385,0.01389294527238243,0.010852245610723753,0.5,0.0023126721714192616,0.1760463405394821
2009-08-01,4,-0.006638536082923359,-0.008414748407374047,-0.010845910286610382,0.5,0.004315821416406785,0.4880181857625924
2009-08-08,4,0.00973737782720636,0.008832536881481796,0.014153646267947257,0.5,0.003670166920604052,0.39891412720518055
2009-08-15,4,0.0033424512186622053,-0.00796140189922312,-0.0006382497309493545,0.5,0.0030215553824028607,0.40799380504220223
2009-08-22,4,-0.015231610612998374,-0.0035441168501578876,-0.017003669038077318,0.5,0.027474360421778178,1.0
2009-08-29,4,0.02583982970016076,-0.0035737540465907297,0.024052952676865396,0.5,0.006609986695296334,0.7936293567720937
2009-09-05,4,0.006653168402025392,0.0037454968360962487,0.008525916820073517,0.5,0.00231037345500664,0.31045684100656057
2009-09-12,4,-0.020255985790628598,-0.003829577687833213,-0.022170774634545205,0.5,0.01537075066209773,1.0
2009-09-19,4,-0.020643758563252224,0.0035263645411161386,-0.018880576292694157,0.5,0.015000799251185902,1.0
2009-09-26,4,0.023034732440084388,-0.0023558561347753635,0.021856804372696707,0.5,0.004778089881609842,0.5334520234912581
2009-10-03,4,0.0035397605694322105,-0.0016635574553115972,0.002707981841776412,0.5,0.00434921766078408,0.4636483400537956
2009-10-10,4,-0.00046347249464564165,0.00920338890647474,0.004138221958591729,0.5,0.010568821945420043,0.9460858404289978
2009-10-17,4,-0.03501734570550025,0.00996672013141292,-0.030033985639793787,0.5,0.006139363020583653,0.7202822078407141
2009-10-24,4,0.018713060566257034,0.01681708245668181,0.027121601794597938,0.5,0.00999770446093121,0.6710219727485807
2009-10-31,4,0.0021853841977081652,0.006237527491001087,0.0053041479432087086,0.5,0.00027165634460094685,0.1738271224597269
2009-11-07,4,-0.0035837137049115012,0.0018789336166781432,-0.0026442468965724294,0.5,0.004207655872827597,0.38860337884783325
2009-11-14,4,0.00034188311872298323,-0.002611202304972801,-0.0009637180337634172,0.5,0.003177374185842556,0.35944937911030544
2009-11-21,4,0.0015219171110598024,-0.00512441807098879,-0.0010402919244345925,0.5,0.0018184402756437085,0.26247811314092123
2009-11-28,4,-0.004154627570021873,0.0031335074210362473,-0.002587873859503749,0.5,0.004061652852919606,0.6176681515736178
2009-12-05,4,0.004417784008103546,0.006240993598085973,0.007538280807146532,0.5,0.003841559794137839,0.7683204774463835
2009-12-12,4,0.01850783886162701,-0.00813927433891471,0.014438201692169656,0.5,0.0038071807788802427,0.7089123475247275
2009-12-19,4,-0.002550104933770624,-0.0024749924518739246,-0.0037876011597075864,0.5,0.004446243808793231,0.7728865176264101
2009-12-26,4,0.011846995884755218,-0.005663288983852639,0.0090153513928289,0.5,0.0039476970608105484,0.6551080710068127
2010-01-02,4,0.0,0.010610590895620182,0.005305295447810091,0.5,-0.0001918755966696054,0.0
2010-01-09,4,-0.01452693399981716,-0.0034024869104007163,-0.01622817745501752,0.5,0.0031088066040384898,0.4042031892535304
2010-01-16,4,-0.016535254693280738,-0.004813299747935578,-0.01894190456724853,0.5,0.008497035177097236,0.7755293301676758
2010-01-23,4,-0.007450805276749472,-0.03602718868536539,-0.025464399619432167,0.5,0.001318189277196882,0.21126353576574858
2010-01-30,4,-0.0017814420149929006,-0.0007180985611404834,-0.0017814420149929006,0.0,0.00035926101101968434,0.43863231499239963
2010-02-06,4,0.012527308433039053,0.0009461456295620195,0.012527308433039053,0.0,0.003572133602046606,0.35623637768419053
2010-02-13,4,0.0001810502398199991,-0.018946774133856478,0.0001810502398199991,0.0,-0.00106983634384598,0.15588325431197578
2010-02-20,4,-0.000451531081821692,0.017140311513220093,-0.000451531081821692,0.0,0.0003161212061602414,0.34128597586364984
2010-02-27,4,-0.0039648933489275975,-0.0049483295050685525,-0.0039648933489275975,0.0,-0.002639110929830023,0.31172921934132786
2010-03-06,4,0.0026373164879902253,0.003771673457212925,0.0026373164879902253,0.0,0.004160027275323693,0.5408092418749859
2010-03-13,4,0.005815460065072378,-0.011339811499277703,0.005815460065072378,0.0,0.004191107207616321,0.47803107101245496
2010-03-20,4,0.00788199929578135,-0.0005379453498345413,0.00788199929578135,0.0,0.003981092932300492,0.6967778619846272
2010-03-27,4,0.008801038799045298,-0.009661036253515345,0.008801038799045298,0.0,0.0038935042816452487,0.9249754443173933
2010-04-03,4,0.0015894574521946331,0.0023486132619050977,0.0015894574521946331,0.0,-0.0012480618095980479,0.3694521057040808
2010-04-10,4,0.0014534051417845837,0.010828769980711769,0.0014534051417845837,0.0,-0.0003159184832128306,0.3647834176420258
2010-04-17,4,0.007239866172491486,-0.013696368023731878,0.007239866172491486,0.0,-0.0016696360118579865,0.29991071895988725
2010-04-24,4,-0.00887852392171425,-0.00476895898412287,-0.00887852392171425,0.0,0.001603555044517392,0.33591240254939425
2010-05-01,4,0.005238053467472238,-0.009943409605209359,0.005238053467472238,0.0,0.001632246031734208,0.1793304330502186
2010-05-08,4,-0.000994883812066646,-0.006635862216458796,-0.000994883812066646,0.0,-0.0006438784053274204,0.10045522665429944
2010-05-15,4,0.0133457056149806,-0.011843334338808725,0.0133457056149806,0.0,0.07835090881777547,1.0
2010-05-22,4,-0.0002441330819178873,0.004837845916012974,-0.0002441330819178873,0.0,-0.00015547053890844153,0.151215011612361
2010-05-29,4,0.008830545158009878,0.018509948429446275,0.008830545158009878,0.0,0.0044666236938297075,0.40114402889092765
2010-06-05,4,0.011575999759060315,-0.004500976968949992,0.011575999759060315,0.0,0.004058483678128383,0.37568839199319004
2010-06-12,4,0.011990417002854121,-0.014566409502014342,0.011990417002854121,0.0,-0.0028361588041611895,0.4088294368891055
2010-06-19,4,-0.021182686960371032,-0.015388062857808475,-0.021182686960371032,0.0,0.004324945833358958,0.4388110349115223
2010-06-26,4,0.008387589769901213,-0.0005292249709371102,0.008387589769901213,0.0,0.002832628073659772,0.1590835544882933
2010-07-03,4,0.00039393392956564067,0.001649046039943371,0.00039393392956564067,0.0,-0.0016840137571428508,0.08856223366986413
2010-07-10,4,0.012452305821271655,0.0026416038911156754,0.012452305821271655,0.0,0.004472540662293514,0.3889093756067741
2010-07-17,4,-0.0002067232744990495,-0.0043111108773605245,-0.0002067232744990495,0.0,0.004451694204303886,0.3988883970657444
2010-07-24,4,0.011164200829301881,0.005837648887062941,0.011164200829301881,0.0,0.005322565991741207,0.6152521273768757
2010-07-31,4,-0.020281030467793275,0.012536018588291216,-0.020281030467793275,0.0,0.004434907186133848,0.6538525285335104
2010-08-07,4,-0.007920053438625327,-0.017899456964514258,-0.007920053438625327,0.0,0.005601041173783386,0.6964873634292921
2010-08-14,4,-0.0013938535695325182,0.005410240471228376,-0.0013938535695325182,0.0,0.001462023340130605,0.16968915036155313
2010-08-21,4,0.006387494302708279,0.00479603323697347,0.006387494302708279,0.0,0.0016759676788169855,0.16106372719901932
2010-08-28,4,0.0026790868562529342,0.0024786173889532206,0.0026790868562529342,0.0,0.0023959115405815853,0.24059414591670214
2010-09-04,4,0.0052303949129540155,-0.005118876727492246,0.0052303949129540155,0.0,0.00487921805747609,0.5495653959122864
2010-09-11,4,0.004173075406004783,-0.009530872335114703,0.004173075406004783,0.0,0.001789036760467485,0.22098367185184575
2010-09-18,4,-0.008840730192201902,0.0015193968890287162,-0.008840730192201902,0.0,0.004555862607388215,0.7265566264537863
2010-09-25,4,0.010323644219089316,-0.004138670150882947,0.010323644219089316,0.0,0.00488662437261586,0.6671380249146435
2010-10-02,4,0.012331602411919735,0.00048479225398997787,0.012331602411919735,0.0,0.0030659398770572404,0.5174273225637487
2010-10-09,4,0.008856896284026064,0.009199181739485673,0.008856896284026064,0.0,0.005628668622108146,0.8900028070378767
2010-10-16,4,-0.00022752536124785033,-0.003480968568524298,-0.00022752536124785033,0.0,0.02093140713604597,1.0
2010-10-23,4,0.021652950555754655,0.004354292922091201,0.021652950555754655,0.0,0.004607050039739781,0.8535301467577132
2010-10-30,4,-0.0074894937304927686,0.01838294218949702,-0.0074894937304927686,0.0,0.0033747113442854438,0.5758853366066055
2010-11-06,4,0.005934366260512693,0.004500846106305024,0.005934366260512693,0.0,0.009269132135253008,0.976295316391437
2010-11-13,4,-0.005998350064854631,0.0025360616972594577,-0.004730319216224902,0.5,0.003900329679285972,0.6154529293224538
