Asset,N,Sharpe_Strat,Sortino_Strat,CAGR_Strat,Vol_Strat,MaxDD_Strat,Calmar_Strat,Sharpe_Under,Sortino_Under,CAGR_Under,Vol_Under,MaxDD_Under,Calmar_Under,CorrToUnderlying,AvgAbsDeltaPos,AvgPos
dax,876,0.5962818190864893,0.8420476487168213,0.0642023485844394,0.11573546746015786,-0.2436672244817183,0.2634837275345431,0.5985464573572719,0.8468481768742565,0.10523098423384836,0.2017269125885449,-0.35034825573823436,0.30036109074415535,0.9565509058859345,0.03218124183996869,0.5738094116879386
ndx,876,1.0035976352052551,1.4451686119362148,0.10801573890930749,0.1081990412517539,-0.19732249507743893,0.5474071208501436,1.0217779956787294,1.5285022930921284,0.1977716440553572,0.19581278660248205,-0.3449099577996946,0.5734007951437936,0.9499048245587497,0.03313786243323444,0.5664621964051215
spx,876,0.7849131885950453,1.066952292032783,0.07376884867058986,0.09687005406935585,-0.2331194219389231,0.3164423112284363,0.7855072885206198,1.1248121448271007,0.12800192725856463,0.17283544147094004,-0.31810328505159513,0.40239108891253106,0.9486282407149581,0.0327065948248662,0.5677598134356016
sx5e,876,0.3533016586615151,0.48927340956775345,0.03519482504475491,0.11768344762164558,-0.2467139494532673,0.1426543781685175,0.3618702173442851,0.5005239015278413,0.053957467771799994,0.20296768998512946,-0.3396251629726196,0.1588735866904833,0.9634002276845723,0.035634478049044016,0.578255404707998
Portfolio (EW),876,0.7611068418108692,1.083224459359522,0.07147170113301682,0.09696785689115776,-0.22070146413020797,0.3238388173575977,0.7638734503451148,1.1080970947403954,0.12441430491905425,0.17346838875793733,-0.31212177737382174,0.39860821620929654,0.9554182509432311,,
