date,asset,y,p_up,signal_up,position,ret_fwd_1w,strat_ret,turnover
2008-11-29,spx,1.0,0.999999,1,1.0,0.0041777483534419,0.0041777483534419,1.0
2008-11-29,ndx,1.0,0.8110531342839996,1,1.0,0.0244339358333265,0.0244339358333265,1.0
2008-11-29,dax,1.0,0.999999,1,1.0,0.0643391373214925,0.0643391373214925,1.0
2008-11-29,sx5e,1.0,0.999999,1,1.0,0.0740734162489065,0.0740734162489065,1.0
2008-12-06,spx,1.0,0.5487804878048781,1,0.0,0.0092642060632239,0.0,1.0
2008-12-06,ndx,1.0,0.4423076923076923,0,0.0,0.008734927278001,0.0,1.0
2008-12-06,dax,1.0,0.4166666666666667,0,-1.0,0.0071471918376624,-0.0071471918376624,2.0
2008-12-06,sx5e,1.0,0.3669064748201439,0,-1.0,0.0104303177877638,-0.0104303177877638,2.0
2008-12-13,spx,0.0,0.999999,1,1.0,-0.0169842771545705,-0.0169842771545705,1.0
2008-12-13,ndx,0.0,0.999999,1,1.0,-0.0260846704294317,-0.0260846704294317,1.0
2008-12-13,dax,0.0,0.999999,1,1.0,-0.0143334681797857,-0.0143334681797857,2.0
2008-12-13,sx5e,0.0,0.999999,1,1.0,-0.0272979452895496,-0.0272979452895496,2.0
2008-12-20,spx,1.0,0.5068493150684932,0,0.0,0.0675985334555453,0.0,1.0
2008-12-20,ndx,1.0,0.5068493150684932,1,0.0,0.0660176811985422,0.0,1.0
2008-12-20,dax,1.0,0.5068493150684932,0,0.0,0.0742410430770426,0.0,1.0
2008-12-20,sx5e,1.0,0.7368421052631579,1,1.0,0.0669002532156706,0.0669002532156706,0.0
2008-12-27,spx,0.0,0.4044158362478903,0,-1.0,-0.0444837948057522,0.0444837948057522,1.0
2008-12-27,ndx,0.0,0.4,0,-1.0,-0.0321990978871568,0.0321990978871568,1.0
2008-12-27,dax,0.0,0.4,0,-1.0,-0.0380408882239742,0.0380408882239742,1.0
2008-12-27,sx5e,0.0,0.48717948717948717,0,0.0,-0.0196651251542496,-0.0,1.0
2009-01-03,spx,0.0,0.6091954022988503,1,0.0,-0.045184478014264,-0.0,1.0
2009-01-03,ndx,0.0,0.5058823529411763,1,0.0,-0.0203350749380625,-0.0,1.0
2009-01-03,dax,0.0,0.4205607476635514,0,-1.0,-0.0872950674033058,0.0872950674033058,0.0
2009-01-03,sx5e,0.0,0.4205607476635514,0,-1.0,-0.0824985220723965,0.0824985220723965,1.0
2009-01-10,spx,0.0,0.5038167938931297,0,0.0,-0.0213734531595538,-0.0,0.0
2009-01-10,ndx,0.0,0.3815028901734104,0,-1.0,-0.0185704508655082,0.0185704508655082,1.0
2009-01-10,dax,0.0,0.5703125,1,0.0,-0.0429060893941753,-0.0,1.0
2009-01-10,sx5e,0.0,0.7808219178082192,1,1.0,-0.0585504832453045,-0.0585504832453045,2.0
