date,n_assets,port_ret,avg_er,avg_gross
2008-11-29,4,0.036899983403234964,0.05923762700472661,0.8301005742959621
2008-12-06,4,-0.004652658301007047,-0.022880068701578327,0.5133847371756581
2008-12-13,4,0.016375328408030507,-0.02792848842499133,0.7405386794250309
2008-12-20,4,-0.0009285948248948673,0.00026495314389525293,0.21651962089124166
2008-12-27,4,-0.005045555438318692,0.00536974811205322,0.20522731515658643
2009-01-03,4,0.018310336594910378,-0.008023160154699642,0.28291823139830374
2009-01-10,4,-0.005475736356315954,-0.004801724357106404,0.6521577882230696
2009-01-17,4,-0.015772751267235464,-0.033604999486331735,0.8979937924865773
2009-01-24,4,-0.030777458579117532,-0.011606769327263667,0.4420631595013554
2009-01-31,4,-0.006887943026457682,0.005273739291151327,0.15271722900799076
2009-02-07,4,0.011547149822655561,-0.006460399153239527,0.3622734413315656
2009-02-14,4,-0.02908948748948035,0.031735396908374784,0.7815272817434069
2009-02-21,4,0.0005548257678545132,-0.00024304566237887517,0.07789982106484392
2009-02-28,4,-0.09167730205464858,-0.07529673855168853,1.0
2009-03-07,4,-0.02364746967029621,-0.04438242096250185,0.931727932745621
2009-03-14,4,-0.04024848557645634,-0.034179379721519874,0.9007561556859822
2009-03-21,4,0.029429337666003176,0.02348710427307779,0.702447315636163
2009-03-28,4,-0.0086872857515422,-0.006489479445164593,0.4220548509881352
2009-04-04,4,0.011164571415231047,0.005687493964085872,0.3555736221843374
2009-04-11,4,-0.0010673072253959328,0.015981282943716948,0.8253436173213746
2009-04-18,4,-0.017833655073180313,-0.023094176100875555,0.9691626790177554
2009-04-25,4,-0.016631593022099586,-0.008325062122939271,0.5692811030145436
2009-05-02,4,-0.007930238556683096,0.004986857851410191,0.48616432883264277
2009-05-09,4,-0.019379448730616342,-0.02103856846135217,0.965345649461468
2009-05-16,4,-0.0252786353223603,-0.02894788431307902,1.0
2009-05-23,4,-0.020970586232587355,-0.014664548937029767,0.7101291090653019
2009-05-30,4,0.0002982889854547412,0.0038524428694574455,0.20639301654701875
2009-06-06,4,0.0038043221258726046,-0.0017151713635734,0.1388553873173425
2009-06-13,4,0.004556413856037797,-0.009940936406376371,0.6232001995988891
2009-06-20,4,-0.016822550550506424,0.02131888452752383,1.0
2009-06-27,4,0.007604306576320763,-0.0027621608693157674,0.30002333010430465
2009-07-04,4,0.07886889934828753,0.018281853936569954,1.0
2009-07-11,4,-0.043043184984475485,-0.031559946839431065,0.9375869043380136
2009-07-18,4,0.01060198202094659,0.019622930946367495,0.7975079135035517
2009-07-25,4,0.014462205660890525,0.016070634306423488,0.709244509203979
2009-08-01,4,-0.009005652781116135,0.01049074066381507,0.674062257009562
2009-08-08,4,-0.01914520244602392,-0.01343779891210672,0.8162204543677694
2009-08-15,4,0.009298694052772925,0.017268474468089698,1.0
2009-08-22,4,-0.015231610612998374,0.013701275577037191,1.0
2009-08-29,4,0.032855245653972145,0.035690655221338616,1.0
2009-09-05,4,0.020511861735967,0.016352019097411172,1.0
2009-09-12,4,0.004417694528149875,-0.0024409091385149163,0.2202910235381837
2009-09-19,4,-0.020643758563252224,0.02326096800168663,1.0
2009-09-26,4,0.043265982229757555,0.023466862376013847,1.0
2009-10-03,4,-0.001395431153851755,-0.0015065984961111906,0.21690092246278903
2009-10-10,4,-0.000580681873384375,0.019764171920330947,1.0
2009-10-17,4,0.035458286031920305,-0.009324374097531625,0.7131674858058454
2009-10-24,4,0.025429368792916796,0.024426392994333072,0.9921212078725365
2009-10-31,4,0.03099906740609633,0.02275444215342758,1.0
2009-11-07,4,-0.002188078531386084,0.0044919253902425725,0.24984765873292192
2009-11-14,4,-0.00046434545366236843,-0.011739249005929948,0.6505737283432987
2009-11-21,4,0.014313422926223389,0.00846665232901734,0.6921681564656824
2009-11-28,4,0.005282158976420193,-0.010509775106065955,0.9175201776158288
2009-12-05,4,-0.004357274507356409,-0.004932412062168764,0.7105042208150301
2009-12-12,4,0.026970422057241726,0.014708407496003188,1.0
2009-12-19,4,-0.002666430015320256,0.0053178359821635345,0.6521954190019502
2009-12-26,4,-0.01886123135593195,-0.018899783755038584,1.0
2010-01-02,4,-0.013167337010422976,0.0047232141752023785,0.6130726907522828
2010-01-09,4,-0.035569814947562076,0.030119156407244548,1.0
2010-01-16,4,-0.020670896472763323,0.027590910599081416,1.0
2010-01-23,4,0.021041050872587445,-0.013604023185250745,0.9536545784632038
2010-01-30,4,-0.008089223773334668,-0.005537141694304656,0.5990196562973513
2010-02-06,4,-0.022760430160785817,-0.007995786283359799,0.6758684309583082
