Asset,N,Sharpe_Strat,Sortino_Strat,CAGR_Strat,Vol_Strat,MaxDD_Strat,Calmar_Strat,Sharpe_Under,Sortino_Under,CAGR_Under,Vol_Under,MaxDD_Under,Calmar_Under
Portfolio – Base,876,0.35402124121395345,0.4810896791452632,0.03489977036383385,0.11609502197632178,-0.23100248177729354,0.15107963384341583,0.7638734503451148,1.1080970947403954,0.12441430491905425,0.17346838875793733,-0.31212177737382174,0.39860821620929654
Portfolio – XS,876,-0.1465668910796825,-0.20029788134243284,-0.02793103343659631,0.13272051993808684,-0.5839186749356451,-0.047833773152870386,0.7638734503451148,1.1080970947403954,0.12441430491905425,0.17346838875793733,-0.31212177737382174,0.39860821620929654
Portfolio – Combo,876,0.35402124121395345,0.4810896791452632,0.03489977036383385,0.11609502197632178,-0.23100248177729354,0.15107963384341583,0.7638734503451148,1.1080970947403954,0.12441430491905425,0.17346838875793733,-0.31212177737382174,0.39860821620929654
