date,n_assets,n_active,port_ret,avg_p_up
2008-11-29,4,4,0.04175605943929185,0.9527625335709998
2008-12-06,4,2,-0.008788754812713101,0.44366533039984524
2008-12-13,4,4,-0.021175090263334376,0.999999
2008-12-20,4,1,0.0669002532156706,0.5643475126171593
2008-12-27,4,3,0.03824126030562773,0.42289883085684443
2009-01-03,4,2,0.08489679473785114,0.4890498126417823
2009-01-10,4,2,-0.019990016189898152,0.5591135254686899
2009-01-17,4,4,-0.019011342153023324,0.011905511904761905
2009-01-24,4,4,-0.06310088292699888,1e-06
2009-01-31,4,4,0.0447256748161422,0.14583358333333332
2009-02-07,4,4,0.07702382700312223,0.38974358974358975
2009-02-14,4,4,0.03827739522743675,0.3342217484008529
2009-02-21,4,4,0.06093608870324875,0.3564189189189189
2009-02-28,4,3,-0.09430393372057963,0.29423076923076924
2009-03-07,4,4,-0.025572544487413425,0.09587399294009669
2009-03-14,4,1,0.0616753844952768,0.5703177948126106
2009-03-21,4,3,-0.04246871359376347,0.3893892916899052
2009-03-28,4,3,-0.021626040400528766,0.3996117186906661
2009-04-04,4,4,-0.027060293101327876,0.33712121212121215
2009-04-11,4,4,-0.00020101062457782495,0.22110794671893164
2009-04-18,4,4,-0.018570728576003923,0.27542407653199485
2009-04-25,4,4,-0.031024983181075348,0.14536368257632945
2009-05-02,4,4,0.0384260940211975,0.09654469595157972
2009-05-09,4,4,-0.019559304442691675,0.20402970849751928
2009-05-16,4,4,-0.0252786353223603,0.014706632352941177
2009-05-23,4,4,-0.027924459726006226,0.30068965517241375
2009-05-30,4,3,-0.0024641962332540997,0.47933202801415764
2009-06-06,4,3,0.03379964263026804,0.43829787234042555
2009-06-13,4,4,0.0069682353007173,0.42857142857142855
2009-06-20,4,4,0.016822550550506424,0.1935483870967742
2009-06-27,4,4,0.026390852009362274,0.42499999999999993
2009-07-04,4,4,-0.07886889934828753,0.33783084004603
2009-07-11,4,4,-0.046189414794722175,0.4192546583850932
2009-07-18,4,1,0.0214383063079806,0.5343412396644336
2009-07-25,4,0,0.0,0.5715718259873013
2009-08-01,4,4,-0.01306506573803425,0.6256014910747831
2009-08-08,4,3,0.02225231364358033,0.6246008939974457
2009-08-15,4,3,0.009065987141945765,0.6057493742177722
2009-08-22,4,4,-0.015231610612998374,0.9473679210526316
2009-08-29,4,4,0.032855245653972145,0.6586174242424243
2009-09-05,4,2,0.02406201656863525,0.5905594405594405
2009-09-12,4,4,-0.020255985790628598,0.7752808988764044
2009-09-19,4,4,-0.020643758563252224,0.875
2009-09-26,4,4,0.043265982229757555,0.6628890041493776
2009-10-03,4,4,0.007813777078702075,0.6364010989010989
2009-10-10,4,4,-0.000580681873384375,0.6931818181818181
2009-10-17,4,4,-0.0488993105808063,0.6816513761467891
2009-10-24,4,3,0.02953643277485943,0.7519461077844312
2009-10-31,4,2,-0.02801877352606345,0.508803013913238
2009-11-07,4,4,-0.00924039757834905,0.6321000521104742
2009-11-14,4,4,0.000998877483230925,0.6203839638622247
2009-11-21,4,1,-0.0232235415373196,0.5062216969008121
2009-11-28,4,3,-0.008986638526631703,0.6291585127201565
2009-12-05,4,4,0.005275321776339949,0.6284403669724771
2009-12-12,4,4,0.026970422057241726,0.6292682926829268
2009-12-19,4,4,-0.003129722985935544,0.6438356164383562
2009-12-26,4,3,0.02066203391211083,0.6287570621468926
2010-01-02,4,1,0.02677218303269,0.46473029045643155
2010-01-09,4,0,0.0,0.5911987256073278
2010-01-16,4,4,-0.020670896472763323,0.7168033926585095
2010-01-23,4,0,0.0,0.5338624338624338
2010-01-30,4,2,-0.0155237537965796,0.5144974453573465
2010-02-06,4,3,0.03353586511727346,0.6146341463414633
2010-02-13,4,4,0.012899166835918876,0.42872165065651113
2010-02-20,4,4,0.008754648087018152,0.5201131363922061
2010-02-27,4,4,-0.01192643949811505,0.4205128205128205
2010-03-06,4,4,0.0047276275041605,0.6292808219178082
2010-03-13,4,3,0.0160972715406017,0.6221577164973391
2010-03-20,4,3,0.013837272758786266,0.6341876359117737
2010-03-27,4,1,0.0050495215712607,0.6121395348837209
2010-04-03,4,4,0.004578714466428025,0.4483247422680412
2010-04-10,4,1,-0.0127214483327671,0.48114499210990436
2010-04-17,4,4,0.026555819936526875,0.4369230769230769
2010-04-24,4,2,0.0023380585109566004,0.5366817226365046
2010-05-01,4,3,0.008298022279990866,0.5545967939948789
2010-05-08,4,3,0.03481834547790846,0.4727130977130977
2010-05-15,4,4,0.0133457056149806,0.999999
2010-05-22,4,3,0.0034566614419573004,0.5179768495444892
2010-05-29,4,4,0.021215424296404824,0.6510067114093959
2010-06-05,4,3,0.03376406184921073,0.6395981652724133
2010-06-12,4,4,0.034637720404470926,0.4169867549668874
2010-06-19,4,3,-0.050303085486342755,0.6419699950811608
2010-06-26,4,2,0.0520881127128708,0.5686100058944886
2010-07-03,4,3,0.0105466880613948,0.4428725782414307
2010-07-10,4,4,0.03100163983461575,0.6513805522208882
2010-07-17,4,4,-0.00038655662338002526,0.6550522648083623
2010-07-24,4,4,0.017694557428935002,0.6542617775619233
2010-07-31,4,4,-0.0328055779712833,0.6472888425443171
2010-08-07,4,4,-0.0110781395941339,0.6779011154011153
2010-08-14,4,0,0.0,0.5101870997219834
2010-08-21,4,1,0.0439094907459087,0.528353955830548
2010-08-28,4,1,0.0130651939321426,0.5487322511072463
2010-09-04,4,4,0.00972955984288685,0.6487068965517241
2010-09-11,4,0,0.0,0.5025518341307814
2010-09-18,4,4,-0.012702215336157325,0.6379420030762045
2010-09-25,4,2,0.01722926003929575,0.6180387409200969
2010-10-02,4,2,0.020681684948155102,0.5879494069149241
2010-10-09,4,4,0.009432023678753426,0.6488549618320609
2010-10-16,4,4,-0.00022752536124785033,0.8462128041871921
2010-10-23,4,3,0.023341269241117464,0.6494360902255639
2010-10-30,4,1,-0.0186060905304005,0.5797079130412462
2010-11-06,4,4,0.005904651556206725,0.7070754716981131
2010-11-13,4,2,-0.018717745022392353,0.6204315852027931
2010-11-20,4,2,0.023142972659069,0.587029927578263
2010-11-27,4,4,-0.013197741520215826,0.39248366013071895
2010-12-04,4,0,0.0,0.532710470607393
2010-12-11,4,4,-0.010187564457576025,0.41984841431532177
2010-12-18,4,4,0.0123389948433913,0.37888198757763975
2010-12-25,4,4,-0.011985601237581424,0.3924716042429363
2011-01-01,4,4,-0.023990495618513224,0.38823529411764707
2011-01-08,4,2,-0.0047641351285786,0.4841507177033493
2011-01-15,4,0,0.0,0.6131687242798354
2011-01-22,4,3,-0.024277849223949766,0.4435317053327621
2011-01-29,4,3,-0.0128369700246437,0.4870065646465525
2011-02-05,4,1,-0.014426144949196,0.5525863084717805
2011-02-12,4,0,0.0,0.5868534482758622
2011-02-19,4,4,0.0015227056200983998,0.3977790645546922
2011-02-26,4,4,0.022035976529180774,0.39316239316239315
2011-03-05,4,4,0.032570375275711425,0.39669421487603307
2011-03-12,4,4,-0.03869086452478883,0.38524590163934425
2011-03-19,4,4,-0.019239809138813523,0.38486516235553114
2011-03-26,4,3,0.0017079555425872001,0.4465360051832654
2011-04-02,4,1,0.006392254003629,0.5232748538011696
2011-04-09,4,4,-0.016467463864059975,0.20930232558139536
2011-04-16,4,4,-0.021602496400939326,0.37362637362637363
2011-04-23,4,4,0.012048547348911224,0.39296875
2011-04-30,4,4,0.00877016298052435,0.41962221781916653
2011-05-07,4,4,0.0118804471149858,0.40476190476190477
2011-05-14,4,4,0.008622464245501449,0.3769230769230769
2011-05-21,4,4,0.015081934843850425,0.3675
2011-05-28,4,4,0.019824802655915425,0.3880042737048269
2011-06-04,4,4,-0.0037034931263034,0.3805309734513274
2011-06-11,4,4,0.0042363841165367,0.4381443298969072
2011-06-18,4,1,-0.0650997266650428,0.5578366715518646
2011-06-25,4,1,0.0297600211428988,0.5473970473970474
2011-07-02,4,3,0.02190315746575163,0.470917588431847
2011-07-09,4,4,-0.0259760211663729,0.3590752398081535
2011-07-16,4,4,0.03160296722564825,0.3116883116883117
2011-07-23,4,3,0.09068349941373106,0.4155107389991621
2011-07-30,4,3,0.020333762530930596,0.42832167832167833
2011-08-06,4,4,0.06584710816647558,0.1400005
2011-08-13,4,4,-0.03328656510852665,1e-06
2011-08-20,4,4,-0.00357071758115405,0.36685936738144886
2011-08-27,4,4,0.03696565869143038,0.3621106902356902
2011-09-03,4,2,-0.059676566596957095,0.46836969667501993
