Asset,N,Sharpe_Strat,Sortino_Strat,CAGR_Strat,Vol_Strat,MaxDD_Strat,Calmar_Strat,Sharpe_Under,Sortino_Under,CAGR_Under,Vol_Under,MaxDD_Under,Calmar_Under,HitRate,PctLong,PctFlat,BaseUpRate,TradeRate,CorrToUnderlying,AvgTurnover
dax,876,0.18347472775609455,0.2679743521899747,0.01624435946337699,0.14491429054524194,-0.39074249832433783,0.04157305522956777,0.5985464573572719,0.8468481768742565,0.10523098423384836,0.2017269125885449,-0.35034825573823436,0.30036109074415535,0.5342465753424658,0.2363013698630137,0.5662100456621004,0.5707762557077626,0.21232876712328766,-0.07645588692824104,0.228310502283105
ndx,876,-0.07185452317948489,-0.09349311626351252,-0.020845849668936767,0.14470520748463228,-0.46413056651794193,-0.04491376171435787,1.0217779956787294,1.5285022930921284,0.1977716440553572,0.19581278660248205,-0.3449099577996946,0.5734007951437936,0.5388127853881278,0.22146118721461186,0.5662100456621004,0.58675799086758,0.2328767123287671,-0.16742533270954785,0.2534246575342466
spx,876,0.04832010686575083,0.06280727658893177,-0.0029217767383890036,0.1353250536015843,-0.35017621514734065,-0.00834373270371785,0.7855072885206198,1.1248121448271007,0.12800192725856463,0.17283544147094004,-0.31810328505159513,0.40239108891253106,0.5388127853881278,0.20776255707762556,0.5833333333333334,0.5844748858447488,0.20662100456621005,-0.11729545325485795,0.22602739726027396
sx5e,876,0.23333580264374817,0.34681348245531274,0.024103381744705832,0.15036819057777168,-0.3024973112930204,0.07968130903933088,0.3618702173442851,0.5005239015278413,0.053957467771799994,0.20296768998512946,-0.3396251629726196,0.1588735866904833,0.5365296803652968,0.2979452054794521,0.5125570776255708,0.5582191780821918,0.2785388127853881,0.0938089657203838,0.3059360730593607
Portfolio (Active EW),876,0.23934928767699282,0.34484240712586584,0.025066483522605543,0.151345977804764,-0.31609205934353213,0.07930121235776767,0.7638734503451148,1.1080970947403954,0.12441430491905425,0.17346838875793733,-0.31212177737382174,0.39860821620929654,,,0.5570776255707762,0.5750570776255708,,-0.011609408051901141,
