date,asset,y,p_up,er_te,signal_up,position,ret_fwd_1w,strat_ret,turnover
2008-11-29,spx,1.0,0.8353950468637469,0.036070256823590975,1,0.7358742809900535,0.0041777483534419,0.003074297565746438,0.7358742809900535
2008-11-29,ndx,1.0,0.7631906563247813,0.016319909017548696,1,0.6252264700600645,0.0244339358333265,0.015276743450744847,0.6252264700600645
2008-11-29,dax,1.0,0.8555322417451211,0.0393182164606208,1,0.663912238617764,0.0643391373214925,0.04271554068984782,0.663912238617764
2008-11-29,sx5e,1.0,0.91846063130453,0.045063078665518445,1,0.7573606841308206,0.0740734162489065,0.05610029320617887,0.7573606841308206
2008-12-06,spx,1.0,0.5641340609224955,0.0024236257025600227,1,0.14701597673269223,0.0092642060632239,0.0013619863030377912,0.5888583042573612
2008-12-06,ndx,1.0,0.46572807657691156,-0.0027553672775229745,0,-0.09535502391695505,0.008734927278001,-0.0008329191995066485,0.7205814939770195
2008-12-06,dax,1.0,0.422333166112654,-0.008840849446323837,0,-0.18809900709755117,0.0071471918376624,-0.0013443796882000197,0.8520112457153153
2008-12-06,sx5e,1.0,0.38221680455364676,-0.008840849446323837,0,-0.2854187274682193,0.0104303177877638,-0.002977008030072676,1.0427794115990399
2008-12-13,spx,0.0,0.8925031713645667,0.05327223339940123,1,1.0,-0.0169842771545705,-0.0169842771545705,0.8529840232673078
2008-12-13,ndx,0.0,0.8796656941303058,0.05327223339940123,1,1.0,-0.0260846704294317,-0.0260846704294317,1.0953550239169552
2008-12-13,dax,0.0,0.9434887452857886,0.05327223339940123,1,0.8944149768516294,-0.0143334681797857,-0.012820068610226594,1.0825139839491806
2008-12-13,sx5e,0.0,0.9372471924968069,0.05327223339940123,1,1.0,-0.0272979452895496,-0.0272979452895496,1.2854187274682194
2008-12-20,spx,1.0,0.5120662874855192,0.002446063595647957,1,0.10940916996700369,0.0675985334555453,0.00739589943635794,0.8905908300329963
2008-12-20,ndx,1.0,0.5730598724702904,0.00409993059517161,1,0.26980006004452867,0.0660176811985422,0.017811574351367238,0.7301999399554713
2008-12-20,dax,1.0,0.541768551477865,0.00409993059517161,1,0.15858809958741568,0.0742410430770426,0.01177374593297565,0.7358268772642137
2008-12-20,sx5e,1.0,0.7068495755790891,0.011638547627616265,1,0.58029976262246,0.0669002532156706,0.038822201060436115,0.41970023737754003
2008-12-27,spx,0.0,0.4397414677482877,-0.006795537302446847,0,-0.2862173190564598,-0.0444837948057522,0.012732032490760067,0.3956264890234635
2008-12-27,ndx,0.0,0.43529837833524765,-0.007755624863171721,0,-0.3109686509681454,-0.0321990978871568,0.010012910032360413,0.580768711012674
2008-12-27,dax,0.0,0.3664289200210005,-0.007755624863171721,0,-0.4751905238870686,-0.0380408882239742,0.01807666960427972,0.6337786234744843
2008-12-27,sx5e,0.0,0.5269101969510764,0.0026469670987888804,1,0.10046367685142582,-0.0196651251542496,-0.001975630778739377,0.47983608577103415
2009-01-03,spx,0.0,0.6045749824418983,0.006619891423078772,1,0.3243352195943742,-0.045184478014264,-0.014654917599013488,0.610552538650834
2009-01-03,ndx,0.0,0.5683853838961677,0.003222885613757895,1,0.19432394556118154,-0.0203350749380625,-0.003951591995246605,0.5052925965293269
2009-01-03,dax,0.0,0.4351071891758192,-0.00619677297392448,0,-0.2624803233404993,-0.0872950674033058,0.022913237518050387,0.2127102005465693
2009-01-03,sx5e,0.0,0.4619766226350177,-0.00619677297392448,0,-0.19991506285728922,-0.0824985220723965,0.016492697225736607,0.30037873970871504
2009-01-10,spx,0.0,0.5085204486524719,0.0018485980018872435,1,0.04397419587213427,-0.0213734531595538,-0.0009398804157021059,0.28036102372224
2009-01-10,ndx,0.0,0.3898445268563973,-0.010616443709450012,0,-0.40354716447026734,-0.0185704508655082,0.007494052789710256,0.5978711100314489
2009-01-10,dax,0.0,0.5722370406725861,0.005606739336698843,1,0.20579683106922694,-0.0429060893941753,-0.008829937230894244,0.4682771544097263
2009-01-10,sx5e,0.0,0.702322937390498,0.008370767739320505,1,0.5044123438161606,-0.0585504832453045,-0.029533586485332886,0.7043274066734498
2009-01-17,spx,0.0,0.14000782061215272,-0.04677815931617499,0,-1.0,-0.007296111545165,0.007296111545165,1.0439741958721342
2009-01-17,ndx,1.0,0.12571943395354437,-0.04677815931617499,0,-1.0,0.0037078298140131,-0.0037078298140131,0.5964528355297327
2009-01-17,dax,1.0,0.12231401812770469,-0.04677815931617499,0,-0.9937475753006082,0.0381460370333148,-0.03790753180918379,1.199544406369835
2009-01-17,sx5e,1.0,0.20715431293576742,-0.04677815931617499,0,-1.0,0.0414876133099304,-0.0414876133099304,1.5044123438161607
2009-01-24,spx,1.0,0.07090057195842879,-0.05205522615375029,0,-1.0,0.0517266430958494,-0.0517266430958494,0.0
2009-01-24,ndx,1.0,0.05181703114821266,-0.07258542044457596,0,-1.0,0.0823893242957001,-0.0823893242957001,0.0
