Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate
27/01/2006,13.47,13.47,12.69,12.72,49,8212,UX1 Index,Future,CBF,USD,0.05,50,1000,12720,12.72,13.35,0.3362380109386799,20,,0.0004,,1
30/01/2006,12.81,12.84,12.5,12.53,769,8670,UX1 Index,Future,CBF,USD,0.05,50,1000,12530,12.53,13.21,0.3373069818429494,21,,0.0004,,1
31/01/2006,12.5,12.8,12.5,12.7,2375,8236,UX1 Index,Future,CBF,USD,0.05,50,1000,12700,12.7,13.19,0.33931941687246026,22,,0.0004,,1
01/02/2006,12.79,12.79,12.61,12.66,147,8182,UX1 Index,Future,CBF,USD,0.05,50,1000,12660,12.66,13.14,0.3479909002641685,23,,0.0004,,1
02/02/2006,12.69,12.94,12.6,12.86,598,8775,UX1 Index,Future,CBF,USD,0.05,50,1000,12860,12.86,13.23,0.35109922624048384,24,,0.0004,,1
03/02/2006,12.91,13.17,12.8,12.87,1439,9973,UX1 Index,Future,CBF,USD,0.05,50,1000,12870,12.87,13.17,0.4335596844726217,25,,0.0004,,1
06/02/2006,12.87,12.87,12.79,12.8,27,7656,UX1 Index,Future,CBF,USD,0.05,50,1000,12800,12.8,13.23,0.3980904419852343,26,,0.0004,,1
07/02/2006,12.8,13.07,12.8,13.02,1115,8541,UX1 Index,Future,CBF,USD,0.05,50,1000,13020,13.02,13.29,0.36792752909596993,27,,0.0004,,1
08/02/2006,12.85,12.9,12.49,12.47,868,8645,UX1 Index,Future,CBF,USD,0.05,50,1000,12470,12.47,13.05,0.35658192139628386,28,,0.0004,,1
09/02/2006,12.39,12.45,12.05,12.41,495,8723,UX1 Index,Future,CBF,USD,0.05,50,1000,12410,12.41,12.89,0.35023230385940324,29,,0.0004,,1
10/02/2006,12.43,12.64,12.36,12.37,238,8708,UX1 Index,Future,CBF,USD,0.05,50,1000,12370,12.37,12.85,0.3542936635052887,30,,0.0004,,1
13/02/2006,12.3,12.72,12.3,12.65,862,8708,UX1 Index,Future,CBF,USD,0.05,50,1000,12650,12.65,13.07,0.35230100766248,31,,0.0004,,1
14/02/2006,12.54,12.54,11.9,11.95,825,8708,UX1 Index,Future,CBF,USD,0.05,50,1000,11950,11.95,13.07,0.40214549605832833,32,,0.0004,,1
15/02/2006,13,13.12,12.95,12.99,278,733,UX1 Index,Future,CBF,USD,0.05,50,1000,12990,12.99,13.07,0.40253074416744733,33,,0.0004,,1
16/02/2006,12.98,12.98,12.7,12.74,102,815,UX1 Index,Future,CBF,USD,0.05,50,1000,12740,12.74,13.07,0.40313066533486674,34,,0.0004,,1
17/02/2006,12.82,12.82,12.65,12.74,31,810,UX1 Index,Future,CBF,USD,0.05,50,1000,12740,12.74,13.07,0.40347160164419543,35,,0.0004,,1
20/02/2006,12.82,12.82,12.65,12.6,31,810,UX1 Index,Future,CBF,USD,0.05,50,1000,12600,12.6,12.93,0.40675463529421807,36,,0.0004,,1
21/02/2006,12.48,12.55,12.43,12.44,32,837,UX1 Index,Future,CBF,USD,0.05,50,1000,12440,12.44,13.67,0.4147219952369689,37,,0.0004,,1
22/02/2006,13.57,13.57,12.87,12.99,41,843,UX1 Index,Future,CBF,USD,0.05,50,1000,12990,12.19,12.99,0.40628684448305624,38,,0.0004,,1
23/02/2006,12.28,12.29,12.28,12.2,62,872,UX1 Index,Future,CBF,USD,0.05,50,1000,12200,12.2,12.94,0.4204493627854204,39,,0.0004,,1
24/02/2006,12.2,12.8,12.1,12.1,38,898,UX1 Index,Future,CBF,USD,0.05,50,1000,12100,12.1,12.76,0.41295681775862825,40,,0.0004,,1
27/02/2006,11.99,12,11.95,11.96,72,909,UX1 Index,Future,CBF,USD,0.05,50,1000,11960,11.96,12.71,0.38476746224180614,41,,0.0004,,1
28/02/2006,12.02,12.25,11.91,12.19,490,1334,UX1 Index,Future,CBF,USD,0.05,50,1000,12190,12.19,12.8,0.3474070619124868,42,,0.0004,,1
01/03/2006,12.17,12.17,12.04,12.05,117,1176,UX1 Index,Future,CBF,USD,0.05,50,1000,12050,12.05,12.75,0.3314428055235671,43,,0.0004,,1
02/03/2006,12.11,12.21,12.1,12.07,44,1176,UX1 Index,Future,CBF,USD,0.05,50,1000,12070,12.07,12.78,0.3362380109386799,44,,0.0004,,1
03/03/2006,12.96,12.96,12.63,12.76,41,1222,UX1 Index,Future,CBF,USD,0.05,50,1000,12760,12.11,12.76,0.3373069818429494,45,,0.0004,,1
06/03/2006,12.2,12.39,12.2,12.34,48,1239,UX1 Index,Future,CBF,USD,0.05,50,1000,12340,12.34,12.85,0.33931941687246026,46,,0.0004,,1
07/03/2006,12.95,13.01,12.94,12.94,71,868,UX1 Index,Future,CBF,USD,0.05,50,1000,12940,12.44,12.94,0.3479909002641685,47,,0.0004,,1
08/03/2006,12.51,12.55,12.14,12.25,51,874,UX1 Index,Future,CBF,USD,0.05,50,1000,12250,12.25,12.85,0.35109922624048384,48,,0.0004,,1
09/03/2006,12.36,12.36,12.3,12.38,8,875,UX1 Index,Future,CBF,USD,0.05,50,1000,12380,12.38,12.9,0.344242162825338,49,,0.0004,,1
10/03/2006,12.8,12.9,12.8,12.81,53,878,UX1 Index,Future,CBF,USD,0.05,50,1000,12810,12.21,12.81,0.3416908934500107,50,,0.0004,,1
13/03/2006,12.75,12.81,12.7,12.77,70,878,UX1 Index,Future,CBF,USD,0.05,50,1000,12770,11.88,12.77,0.3406033861644163,51,,0.0004,,1
14/03/2006,12.75,12.75,12.61,12.66,106,886,UX1 Index,Future,CBF,USD,0.05,50,1000,12660,11.51,12.66,0.32438043508612935,52,,0.0004,,1
15/03/2006,12.67,12.7,12.6,12.66,191,857,UX1 Index,Future,CBF,USD,0.05,50,1000,12660,11.48,12.66,0.32652105598261166,53,,0.0004,,1
16/03/2006,12.65,12.65,12.46,12.45,64,857,UX1 Index,Future,CBF,USD,0.05,50,1000,12450,11.45,12.45,0.32625756696205505,54,,0.0004,,1
17/03/2006,12.5,12.53,12.4,12.47,104,858,UX1 Index,Future,CBF,USD,0.05,50,1000,12470,11.66,12.47,0.3254340691036099,55,,0.0004,,1
20/03/2006,12.55,12.61,12.5,12.56,333,973,UX1 Index,Future,CBF,USD,0.05,50,1000,12560,11.5,12.56,0.32404372132990505,56,,0.0004,,1
21/03/2006,12.6,12.6,12.5,12.62,74,942,UX1 Index,Future,CBF,USD,0.05,50,1000,12620,11.53,12.62,0.3053069493695369,57,,0.0004,,1
22/03/2006,13.34,13.34,13.05,13.05,3679,13141,UX1 Index,Future,CBF,USD,0.05,50,1000,13050,12.43,13.05,0.3094484340456952,58,,0.0004,,1
23/03/2006,13.07,13.13,13.03,13.03,1066,12006,UX1 Index,Future,CBF,USD,0.05,50,1000,13030,12.45,13.03,0.32346921543376095,59,,0.0004,,1
24/03/2006,12.96,13.05,12.94,13.02,36,11902,UX1 Index,Future,CBF,USD,0.05,50,1000,13020,12.36,13.02,0.335883412312466,60,,0.0004,,1
27/03/2006,13.15,13.15,12.9,12.98,16,11897,UX1 Index,Future,CBF,USD,0.05,50,1000,12980,12.38,12.98,0.347359084138205,61,,0.0004,,1
28/03/2006,12.91,13.03,12.89,13,67,11941,UX1 Index,Future,CBF,USD,0.05,50,1000,13000,12.35,13,0.3578672938394889,62,,0.0004,,1
29/03/2006,12.87,12.87,12.77,12.83,1013,12943,UX1 Index,Future,CBF,USD,0.05,50,1000,12830,12.06,12.83,0.3514612354157982,63,,0.0004,,1
30/03/2006,12.69,12.8,12.6,12.75,75,12966,UX1 Index,Future,CBF,USD,0.05,50,1000,12750,12,12.75,0.3447462835187626,64,,0.0004,,1
31/03/2006,12.73,12.81,12.73,12.81,196,13138,UX1 Index,Future,CBF,USD,0.05,50,1000,12810,12.12,12.81,0.33187447426197986,65,,0.0004,,1
